key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXZEs7ixQbUcQ8fuZ8gP,unne.sonar:apache-ant:src/build.xml,unne.sonar:apache-ant,xml:S1135,OPEN,,INFO,"Complete the task associated to this ""TODO"" comment.",695,1cf47bc26b6701497fb487a0f1d6b2f2,,,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,695,695,67,112,CODE_SMELL,unne-sonar-corpus
AXZEs7ixQbUcQ8fuZ8gK,unne.sonar:apache-ant:src/build.xml,unne.sonar:apache-ant,xml:S125,OPEN,,MAJOR,Remove this commented out code.,1450,c11bb7eec8b60626961f63cda07648ac,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,1450,1452,6,9,CODE_SMELL,unne-sonar-corpus
AXZEs7ixQbUcQ8fuZ8gL,unne.sonar:apache-ant:src/build.xml,unne.sonar:apache-ant,xml:S1134,OPEN,,MAJOR,"Take the required action to fix the issue indicated by this ""FIXME"" comment.",1734,9183a1c9ebcce2b1aa8206b423b90a1a,,,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,1734,1741,8,11,CODE_SMELL,unne-sonar-corpus
AXZEs7ixQbUcQ8fuZ8gQ,unne.sonar:apache-ant:src/build.xml,unne.sonar:apache-ant,xml:S1135,OPEN,,INFO,"Complete the task associated to this ""TODO"" comment.",1749,b1c5308b35a8d0b14c446963f1f1589b,,,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,1749,1749,8,124,CODE_SMELL,unne-sonar-corpus
AXZEs7ixQbUcQ8fuZ8gM,unne.sonar:apache-ant:src/build.xml,unne.sonar:apache-ant,xml:S1134,OPEN,,MAJOR,"Take the required action to fix the issue indicated by this ""FIXME"" comment.",1778,d054f530def0cacfbbdffe17f99eb428,,,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,1778,1780,12,15,CODE_SMELL,unne-sonar-corpus
AXZEs7ixQbUcQ8fuZ8gN,unne.sonar:apache-ant:src/build.xml,unne.sonar:apache-ant,xml:S1134,OPEN,,MAJOR,"Take the required action to fix the issue indicated by this ""FIXME"" comment.",1782,d054f530def0cacfbbdffe17f99eb428,,,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,1782,1784,10,13,CODE_SMELL,unne-sonar-corpus
AXZEs7ixQbUcQ8fuZ8gO,unne.sonar:apache-ant:src/build.xml,unne.sonar:apache-ant,xml:S1134,OPEN,,MAJOR,"Take the required action to fix the issue indicated by this ""FIXME"" comment.",1787,d054f530def0cacfbbdffe17f99eb428,,,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,1787,1789,10,13,CODE_SMELL,unne-sonar-corpus
AXZEs7Y8QbUcQ8fuZ8Wg,unne.sonar:apache-ant:src/manual/Tasks/BorlandEJBTasks.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,43,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,43,43,0,20,BUG,unne-sonar-corpus
AXZEs7dVQbUcQ8fuZ8Z6,unne.sonar:apache-ant:src/manual/Tasks/BorlandGenerateClient.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,33,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,33,33,0,20,BUG,unne-sonar-corpus
AXZEs7adQbUcQ8fuZ8XV,unne.sonar:apache-ant:src/manual/Tasks/ant.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,71,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,71,71,0,20,BUG,unne-sonar-corpus
AXZEs7adQbUcQ8fuZ8XW,unne.sonar:apache-ant:src/manual/Tasks/ant.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,137,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,137,137,0,20,BUG,unne-sonar-corpus
AXZEs7adQbUcQ8fuZ8XX,unne.sonar:apache-ant:src/manual/Tasks/ant.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,168,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,168,168,0,20,BUG,unne-sonar-corpus
AXZEs7adQbUcQ8fuZ8XY,unne.sonar:apache-ant:src/manual/Tasks/ant.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,202,fdcbb7ca6d7202e68ff5e231215d38a9,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,202,202,0,7,BUG,unne-sonar-corpus
AXZEs7adQbUcQ8fuZ8XZ,unne.sonar:apache-ant:src/manual/Tasks/ant.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,237,fdcbb7ca6d7202e68ff5e231215d38a9,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,237,237,0,7,BUG,unne-sonar-corpus
AXZEs7YDQbUcQ8fuZ8Vx,unne.sonar:apache-ant:src/manual/Tasks/antcall.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,68,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,68,68,0,20,BUG,unne-sonar-corpus
AXZEs7YDQbUcQ8fuZ8Vy,unne.sonar:apache-ant:src/manual/Tasks/antcall.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,112,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,112,112,0,20,BUG,unne-sonar-corpus
AXZEs7YDQbUcQ8fuZ8Vz,unne.sonar:apache-ant:src/manual/Tasks/antcall.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,143,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,143,143,0,20,BUG,unne-sonar-corpus
AXZEs7deQbUcQ8fuZ8Z8,unne.sonar:apache-ant:src/manual/Tasks/antlr.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,44,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,44,44,0,20,BUG,unne-sonar-corpus
AXZEs7deQbUcQ8fuZ8Z9,unne.sonar:apache-ant:src/manual/Tasks/antlr.html,unne.sonar:apache-ant,Web:AvoidCommentedOutCodeCheck,OPEN,,MAJOR,Remove this commented out code.,104,b6442a9a94ead0e4860a254de25bac3d,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,104,104,0,9,CODE_SMELL,unne-sonar-corpus
AXZEs7Z9QbUcQ8fuZ8XG,unne.sonar:apache-ant:src/manual/Tasks/antstructure.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,54,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,54,54,0,20,BUG,unne-sonar-corpus
AXZEs7ayQbUcQ8fuZ8Xo,unne.sonar:apache-ant:src/manual/Tasks/antversion.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,33,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,33,33,0,20,BUG,unne-sonar-corpus
AXZEs7dvQbUcQ8fuZ8aP,unne.sonar:apache-ant:src/manual/Tasks/apply.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,56,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,56,56,0,20,BUG,unne-sonar-corpus
AXZEs7dvQbUcQ8fuZ8aQ,unne.sonar:apache-ant:src/manual/Tasks/apply.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,296,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,296,296,0,20,BUG,unne-sonar-corpus
AXZEs7dvQbUcQ8fuZ8aR,unne.sonar:apache-ant:src/manual/Tasks/apply.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,319,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,319,319,0,20,BUG,unne-sonar-corpus
AXZEs7aBQbUcQ8fuZ8XH,unne.sonar:apache-ant:src/manual/Tasks/attrib.html,unne.sonar:apache-ant,Web:AvoidCommentedOutCodeCheck,OPEN,,MAJOR,Remove this commented out code.,44,b06c04ac07a210a6bb200fdcdaa311b5,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,44,44,0,73,CODE_SMELL,unne-sonar-corpus
AXZEs7aBQbUcQ8fuZ8XI,unne.sonar:apache-ant:src/manual/Tasks/attrib.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,61,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,61,61,0,20,BUG,unne-sonar-corpus
AXZEs7aBQbUcQ8fuZ8XJ,unne.sonar:apache-ant:src/manual/Tasks/attrib.html,unne.sonar:apache-ant,Web:AvoidCommentedOutCodeCheck,OPEN,,MAJOR,Remove this commented out code.,104,b6442a9a94ead0e4860a254de25bac3d,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,104,104,0,9,CODE_SMELL,unne-sonar-corpus
AXZEs7bGQbUcQ8fuZ8X3,unne.sonar:apache-ant:src/manual/Tasks/augment.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,36,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,36,36,0,20,BUG,unne-sonar-corpus
AXZEs7c1QbUcQ8fuZ8Zw,unne.sonar:apache-ant:src/manual/Tasks/available.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,39,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,39,39,0,20,BUG,unne-sonar-corpus
AXZEs7auQbUcQ8fuZ8Xn,unne.sonar:apache-ant:src/manual/Tasks/basename.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,37,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,37,37,0,20,BUG,unne-sonar-corpus
AXZEs7akQbUcQ8fuZ8Xb,unne.sonar:apache-ant:src/manual/Tasks/bindtargets.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,54,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,54,54,0,20,BUG,unne-sonar-corpus
AXZEs7bKQbUcQ8fuZ8X4,unne.sonar:apache-ant:src/manual/Tasks/buildnumber.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,37,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,37,37,0,20,BUG,unne-sonar-corpus
AXZEs7ZTQbUcQ8fuZ8Wq,unne.sonar:apache-ant:src/manual/Tasks/cab.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,47,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,47,47,0,20,BUG,unne-sonar-corpus
AXZEs7eOQbUcQ8fuZ8ai,unne.sonar:apache-ant:src/manual/Tasks/ccm.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,47,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,47,47,0,20,BUG,unne-sonar-corpus
AXZEs7eOQbUcQ8fuZ8aj,unne.sonar:apache-ant:src/manual/Tasks/ccm.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,89,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,89,89,0,20,BUG,unne-sonar-corpus
AXZEs7eOQbUcQ8fuZ8ak,unne.sonar:apache-ant:src/manual/Tasks/ccm.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,146,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,146,146,0,20,BUG,unne-sonar-corpus
AXZEs7eOQbUcQ8fuZ8al,unne.sonar:apache-ant:src/manual/Tasks/ccm.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,180,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,180,180,0,20,BUG,unne-sonar-corpus
AXZEs7eOQbUcQ8fuZ8am,unne.sonar:apache-ant:src/manual/Tasks/ccm.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,221,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,221,221,0,20,BUG,unne-sonar-corpus
AXZEs7fZQbUcQ8fuZ8bH,unne.sonar:apache-ant:src/manual/Tasks/changelog.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,38,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,38,38,0,20,BUG,unne-sonar-corpus
AXZEs7fZQbUcQ8fuZ8bI,unne.sonar:apache-ant:src/manual/Tasks/changelog.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,149,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,149,149,0,20,BUG,unne-sonar-corpus
AXZEs7fZQbUcQ8fuZ8bJ,unne.sonar:apache-ant:src/manual/Tasks/changelog.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,173,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,173,173,0,20,BUG,unne-sonar-corpus
AXZEs7ZkQbUcQ8fuZ8Ww,unne.sonar:apache-ant:src/manual/Tasks/checksum.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,49,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,49,49,0,20,BUG,unne-sonar-corpus
AXZEs7ZkQbUcQ8fuZ8Wx,unne.sonar:apache-ant:src/manual/Tasks/checksum.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,115,fdcbb7ca6d7202e68ff5e231215d38a9,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,115,115,6,13,BUG,unne-sonar-corpus
AXZEs7cmQbUcQ8fuZ8Zq,unne.sonar:apache-ant:src/manual/Tasks/chgrp.html,unne.sonar:apache-ant,Web:TableWithoutCaptionCheck,OPEN,,MINOR,Add a description to this table.,59,823b2adc1daf0265655a669052175bee,,5min,2020-12-09T00:26:40+0100,2020-12-09T00:26:40+0100,,59,59,0,20,BUG,unne-sonar-corpus
