key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXJ5TYzBW3lGhTLdJHbC,commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java,commons-compress,java:S1128,OPEN,,MINOR,Remove this unused import 'org.apache.commons.compress.utils.CharsetNames'.,45,856373d2a38474f96e51e8e040d52f3d,,2min,2020-06-03T10:29:15+0200,2020-06-03T10:29:15+0200,,45,45,0,54,CODE_SMELL,apache
AXJ5TZJzW3lGhTLdJHbF,commons-compress:src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java,commons-compress,java:S1128,OPEN,,MINOR,Remove this unused import 'org.apache.commons.compress.utils.CharsetNames'.,36,856373d2a38474f96e51e8e040d52f3d,,2min,2020-06-03T10:29:15+0200,2020-06-03T10:29:15+0200,,36,36,0,54,CODE_SMELL,apache
AXJ5TZJzW3lGhTLdJHbG,commons-compress:src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java,commons-compress,java:S1130,OPEN,,MINOR,"Remove the declaration of thrown exception 'java.io.UnsupportedEncodingException', as it cannot be thrown from method's body.",489,65e0409834360845dd3c82cce98863de,,5min,2020-06-03T10:29:15+0200,2020-06-03T10:29:15+0200,,489,489,15,43,CODE_SMELL,apache
AXJ5TY62W3lGhTLdJHbE,commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java,commons-compress,java:S1128,OPEN,,MINOR,Remove this unused import 'java.io.UnsupportedEncodingException'.,21,17391f4ed0d046c653692b63813454eb,,2min,2020-06-03T10:29:15+0200,2020-06-03T10:29:15+0200,,21,21,0,44,CODE_SMELL,apache
AXJ5TY62W3lGhTLdJHbD,commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java,commons-compress,java:S1128,OPEN,,MINOR,Remove this unused import 'org.apache.commons.compress.utils.CharsetNames'.,26,856373d2a38474f96e51e8e040d52f3d,,2min,2020-06-03T10:29:15+0200,2020-06-03T10:29:15+0200,,26,26,0,54,CODE_SMELL,apache
AXJ5TZS5W3lGhTLdJHbH,commons-compress:src/main/java/org/apache/commons/compress/compressors/gzip/GzipCompressorInputStream.java,commons-compress,java:S1128,OPEN,,MINOR,Remove this unused import 'org.apache.commons.compress.utils.CharsetNames'.,36,856373d2a38474f96e51e8e040d52f3d,,2min,2020-06-03T10:29:15+0200,2020-06-03T10:29:15+0200,,36,36,0,54,CODE_SMELL,apache
AXJ5TZTNW3lGhTLdJHbI,commons-compress:src/main/java/org/apache/commons/compress/compressors/gzip/GzipCompressorOutputStream.java,commons-compress,java:S1128,OPEN,,MINOR,Remove this unused import 'org.apache.commons.compress.utils.CharsetNames'.,32,856373d2a38474f96e51e8e040d52f3d,,2min,2020-06-03T10:29:15+0200,2020-06-03T10:29:15+0200,,32,32,0,54,CODE_SMELL,apache
AXJ5TZj8W3lGhTLdJHbJ,commons-compress:src/main/java/org/apache/commons/compress/utils/ArchiveUtils.java,commons-compress,java:S1128,OPEN,,MINOR,Remove this unused import 'java.io.UnsupportedEncodingException'.,21,17391f4ed0d046c653692b63813454eb,,2min,2020-06-03T10:29:15+0200,2020-06-03T10:29:15+0200,,21,21,0,44,CODE_SMELL,apache
AXJ5TZrbW3lGhTLdJHbK,commons-compress:src/test/java/org/apache/commons/compress/utils/CharsetsTest.java,commons-compress,java:S3415,OPEN,,MAJOR,"Swap these 2 arguments so they are in the correct order: expected value, actual value.",39,899c8a52cde1ddfc5954ec537b634674,,2min,2020-06-03T10:29:15+0200,2020-06-03T10:29:15+0200,,39,39,54,76,CODE_SMELL,apache
AXJDJ6zR2m9ZU58WAS0i,commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java,commons-compress,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,1083,0e5d8a25e5fb4b4fbe84940168fe7d3b,,7min,2020-05-23T22:07:43+0200,2020-05-23T22:07:43+0200,,1083,1083,20,34,CODE_SMELL,apache
AXIR3CS3kJkjWOCfrq7Z,commons-compress:src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java,commons-compress,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,348,9853698097e3ab71347e70e5a42c054c,,8min,2020-05-06T10:32:58+0200,2020-06-01T10:59:55+0200,,348,348,27,42,CODE_SMELL,apache
AXIR3B9BkJkjWOCfrq7V,commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java,commons-compress,java:S1155,OPEN,,MINOR,Use isEmpty() to check whether the collection is empty or not.,1318,9fa29e7393d135f69058b29313540f54,,2min,2020-04-22T05:08:22+0200,2020-05-14T08:23:48+0200,,1318,1318,12,43,CODE_SMELL,apache
AXIR3B_skJkjWOCfrq7Y,commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/ParallelScatterZipCreator.java,commons-compress,java:S1130,OPEN,,MINOR,Remove the declaration of thrown exception 'java.lang.IllegalArgumentException' which is a runtime exception.,138,e61b4ed1d4e46357ca6e06197d215fbd,,5min,2020-03-16T12:41:20+0100,2020-05-14T08:23:48+0200,,138,138,72,96,CODE_SMELL,apache
AXI6NHVqxlO8XIh7u19l,commons-compress:src/test/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntryTest.java,commons-compress,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,376,fab3e8c90fbc45e08265e9596cb638a7,,,2020-03-09T02:40:12+0100,2020-05-22T04:25:43+0200,,376,376,12,22,CODE_SMELL,apache
AXIR3B9BkJkjWOCfrq7X,commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java,commons-compress,java:S125,OPEN,,MAJOR,This block of commented-out lines of code should be removed.,1278,5e4fa1c4b2d190ec8cc3eaf9464deb0a,,5min,2020-03-06T03:37:09+0100,2020-05-14T08:23:48+0200,,1278,1278,0,113,CODE_SMELL,apache
AW_RF054xqcnyLmQw0qu,commons-compress:src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java,commons-compress,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.,1063,ea6c17c4d1c7daf1fa23c1b3b3458291,,9min,2020-01-23T07:26:17+0100,2020-01-23T07:26:17+0100,,1063,1063,17,40,CODE_SMELL,apache
AW_RF0z5xqcnyLmQw0qs,commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveOutputStream.java,commons-compress,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.,1325,ea317a9e22b0894eb361211c125bc1f1,,9min,2020-01-23T07:26:17+0100,2020-01-23T07:26:17+0100,,1325,1325,19,42,CODE_SMELL,apache
AW_RF0x0xqcnyLmQw0qq,commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/ZipSplitOutputStream.java,commons-compress,java:S1124,OPEN,,MINOR,Reorder the modifiers to comply with the Java Language Specification.,49,e38960fbc351ee2e5a3902140ad74300,,2min,2020-01-23T07:26:17+0100,2020-01-23T07:26:17+0100,,49,49,18,24,CODE_SMELL,apache
