key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXJ5TYzBW3lGhTLdJHbC,commons-compress:src/main/java/org/apache/commons/compress/archivers/sevenz/SevenZFile.java,commons-compress,java:S1128,OPEN,,MINOR,Remove this unused import 'org.apache.commons.compress.utils.CharsetNames'.,45.0,856373d2a38474f96e51e8e040d52f3d,,2min,2020-06-03 10:29:15+02:00,2020-06-03 10:29:15+02:00,,45.0,45.0,0.0,54.0,CODE_SMELL,apache,1591176555,1591176555,0.0,0,2
AXJ5TZJzW3lGhTLdJHbF,commons-compress:src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java,commons-compress,java:S1128,OPEN,,MINOR,Remove this unused import 'org.apache.commons.compress.utils.CharsetNames'.,36.0,856373d2a38474f96e51e8e040d52f3d,,2min,2020-06-03 10:29:15+02:00,2020-06-03 10:29:15+02:00,,36.0,36.0,0.0,54.0,CODE_SMELL,apache,1591176555,1591176555,0.0,0,2
AXJ5TZJzW3lGhTLdJHbG,commons-compress:src/main/java/org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java,commons-compress,java:S1130,OPEN,,MINOR,"Remove the declaration of thrown exception 'java.io.UnsupportedEncodingException', as it cannot be thrown from method's body.",489.0,65e0409834360845dd3c82cce98863de,,5min,2020-06-03 10:29:15+02:00,2020-06-03 10:29:15+02:00,,489.0,489.0,15.0,43.0,CODE_SMELL,apache,1591176555,1591176555,0.0,0,5
AXJ5TY62W3lGhTLdJHbE,commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java,commons-compress,java:S1128,OPEN,,MINOR,Remove this unused import 'java.io.UnsupportedEncodingException'.,21.0,17391f4ed0d046c653692b63813454eb,,2min,2020-06-03 10:29:15+02:00,2020-06-03 10:29:15+02:00,,21.0,21.0,0.0,44.0,CODE_SMELL,apache,1591176555,1591176555,0.0,0,2
AXJ5TY62W3lGhTLdJHbD,commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/AbstractUnicodeExtraField.java,commons-compress,java:S1128,OPEN,,MINOR,Remove this unused import 'org.apache.commons.compress.utils.CharsetNames'.,26.0,856373d2a38474f96e51e8e040d52f3d,,2min,2020-06-03 10:29:15+02:00,2020-06-03 10:29:15+02:00,,26.0,26.0,0.0,54.0,CODE_SMELL,apache,1591176555,1591176555,0.0,0,2
AXJ5TZS5W3lGhTLdJHbH,commons-compress:src/main/java/org/apache/commons/compress/compressors/gzip/GzipCompressorInputStream.java,commons-compress,java:S1128,OPEN,,MINOR,Remove this unused import 'org.apache.commons.compress.utils.CharsetNames'.,36.0,856373d2a38474f96e51e8e040d52f3d,,2min,2020-06-03 10:29:15+02:00,2020-06-03 10:29:15+02:00,,36.0,36.0,0.0,54.0,CODE_SMELL,apache,1591176555,1591176555,0.0,0,2
AXJ5TZTNW3lGhTLdJHbI,commons-compress:src/main/java/org/apache/commons/compress/compressors/gzip/GzipCompressorOutputStream.java,commons-compress,java:S1128,OPEN,,MINOR,Remove this unused import 'org.apache.commons.compress.utils.CharsetNames'.,32.0,856373d2a38474f96e51e8e040d52f3d,,2min,2020-06-03 10:29:15+02:00,2020-06-03 10:29:15+02:00,,32.0,32.0,0.0,54.0,CODE_SMELL,apache,1591176555,1591176555,0.0,0,2
AXJ5TZj8W3lGhTLdJHbJ,commons-compress:src/main/java/org/apache/commons/compress/utils/ArchiveUtils.java,commons-compress,java:S1128,OPEN,,MINOR,Remove this unused import 'java.io.UnsupportedEncodingException'.,21.0,17391f4ed0d046c653692b63813454eb,,2min,2020-06-03 10:29:15+02:00,2020-06-03 10:29:15+02:00,,21.0,21.0,0.0,44.0,CODE_SMELL,apache,1591176555,1591176555,0.0,0,2
AXJ5TZrbW3lGhTLdJHbK,commons-compress:src/test/java/org/apache/commons/compress/utils/CharsetsTest.java,commons-compress,java:S3415,OPEN,,MAJOR,"Swap these 2 arguments so they are in the correct order: expected value, actual value.",39.0,899c8a52cde1ddfc5954ec537b634674,,2min,2020-06-03 10:29:15+02:00,2020-06-03 10:29:15+02:00,,39.0,39.0,54.0,76.0,CODE_SMELL,apache,1591176555,1591176555,0.0,0,2
AXJDJ6zR2m9ZU58WAS0i,commons-compress:src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveInputStream.java,commons-compress,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,1083.0,0e5d8a25e5fb4b4fbe84940168fe7d3b,,7min,2020-05-23 22:07:43+02:00,2020-05-23 22:07:43+02:00,,1083.0,1083.0,20.0,34.0,CODE_SMELL,apache,1590268063,1590268063,0.0,0,7
