key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXPlPulG9HyyQApxDFkP,commons-geometry:commons-geometry-core/src/test/java/org/apache/commons/geometry/core/GeometryTestUtils.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertNotEquals instead.,131,c4eb677a83febbcd7a185ecd89144d3b,,,2020-08-13T02:35:10+0200,2020-08-13T02:35:10+0200,,131,131,15,26,CODE_SMELL,apache
AXPlPulG9HyyQApxDFkQ,commons-geometry:commons-geometry-core/src/test/java/org/apache/commons/geometry/core/GeometryTestUtils.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertNotEquals instead.,134,6c0c68856e2835a0a3b1fe493e102fd2,,,2020-08-13T02:35:10+0200,2020-08-13T02:35:10+0200,,134,134,19,30,CODE_SMELL,apache
AXPlPulG9HyyQApxDFkR,commons-geometry:commons-geometry-core/src/test/java/org/apache/commons/geometry/core/GeometryTestUtils.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,137,ab1a83ee695f9f3f2c79c728ff102399,,,2020-08-13T02:35:10+0200,2020-08-13T02:35:10+0200,,137,137,15,25,CODE_SMELL,apache
AXMcl962hG9A4E-6nwfF,commons-geometry:commons-geometry-core/src/test/java/org/apache/commons/geometry/core/precision/EpsilonDoublePrecisionContextTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertNotEquals instead.,218,6a90afbd43c7b6f88d0dbf96cdd6d5fb,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,218,218,15,26,CODE_SMELL,apache
AXMcl962hG9A4E-6nwfG,commons-geometry:commons-geometry-core/src/test/java/org/apache/commons/geometry/core/precision/EpsilonDoublePrecisionContextTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,221,8fa541847a2305a034f54dc812400032,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,221,221,15,25,CODE_SMELL,apache
AXMcl962hG9A4E-6nwfH,commons-geometry:commons-geometry-core/src/test/java/org/apache/commons/geometry/core/precision/EpsilonDoublePrecisionContextTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,224,2399f2b3b2ef6bb3be34932d89492902,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,224,224,15,25,CODE_SMELL,apache
AXMcl9hFhG9A4E-6nwe_,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/oned/AffineTransformMatrix1DTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertNotEquals instead.,742,6a90afbd43c7b6f88d0dbf96cdd6d5fb,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,742,742,15,26,CODE_SMELL,apache
AXMcl9hFhG9A4E-6nwfA,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/oned/AffineTransformMatrix1DTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,744,8fa541847a2305a034f54dc812400032,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,744,744,15,25,CODE_SMELL,apache
AXMcl9hFhG9A4E-6nwfB,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/oned/AffineTransformMatrix1DTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,747,2399f2b3b2ef6bb3be34932d89492902,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,747,747,15,25,CODE_SMELL,apache
AXMcl9hzhG9A4E-6nwfC,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/oned/Vector1DTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertNotEquals instead.,607,6a90afbd43c7b6f88d0dbf96cdd6d5fb,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,607,607,15,26,CODE_SMELL,apache
AXMcl9hzhG9A4E-6nwfD,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/oned/Vector1DTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,610,8fa541847a2305a034f54dc812400032,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,610,610,15,25,CODE_SMELL,apache
AXMcl9hzhG9A4E-6nwfE,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/oned/Vector1DTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,613,2399f2b3b2ef6bb3be34932d89492902,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,613,613,15,25,CODE_SMELL,apache
AXMcl9auhG9A4E-6nwez,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/threed/AffineTransformMatrix3DTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertNotEquals instead.,1199,6a90afbd43c7b6f88d0dbf96cdd6d5fb,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,1199,1199,15,26,CODE_SMELL,apache
AXMcl9auhG9A4E-6nwe0,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/threed/AffineTransformMatrix3DTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,1202,8fa541847a2305a034f54dc812400032,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,1202,1202,15,25,CODE_SMELL,apache
AXMcl9auhG9A4E-6nwe1,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/threed/AffineTransformMatrix3DTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,1205,2399f2b3b2ef6bb3be34932d89492902,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,1205,1205,15,25,CODE_SMELL,apache
AXMcl9SrhG9A4E-6nweq,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/threed/SphericalCoordinatesTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertNotEquals instead.,330,6a90afbd43c7b6f88d0dbf96cdd6d5fb,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,330,330,15,26,CODE_SMELL,apache
AXMcl9SrhG9A4E-6nwer,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/threed/SphericalCoordinatesTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,333,8fa541847a2305a034f54dc812400032,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,333,333,15,25,CODE_SMELL,apache
AXMcl9SrhG9A4E-6nwes,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/threed/SphericalCoordinatesTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,336,2399f2b3b2ef6bb3be34932d89492902,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,336,336,15,25,CODE_SMELL,apache
AXMcl9X-hG9A4E-6nwew,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/threed/Vector3DTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertNotEquals instead.,1111,6a90afbd43c7b6f88d0dbf96cdd6d5fb,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,1111,1111,15,26,CODE_SMELL,apache
AXMcl9X-hG9A4E-6nwex,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/threed/Vector3DTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,1113,8fa541847a2305a034f54dc812400032,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,1113,1113,15,25,CODE_SMELL,apache
AXMcl9X-hG9A4E-6nwey,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/threed/Vector3DTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,1116,2399f2b3b2ef6bb3be34932d89492902,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,1116,1116,15,25,CODE_SMELL,apache
AXMcl9W5hG9A4E-6nwet,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/threed/rotation/AxisAngleSequenceTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertNotEquals instead.,95,6a90afbd43c7b6f88d0dbf96cdd6d5fb,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,95,95,15,26,CODE_SMELL,apache
AXMcl9W5hG9A4E-6nweu,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/threed/rotation/AxisAngleSequenceTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,98,8fa541847a2305a034f54dc812400032,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,98,98,15,25,CODE_SMELL,apache
AXMcl9W5hG9A4E-6nwev,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/threed/rotation/AxisAngleSequenceTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,101,2399f2b3b2ef6bb3be34932d89492902,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,101,101,15,25,CODE_SMELL,apache
AXMcl9c4hG9A4E-6nwe2,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/AffineTransformMatrix2DTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertNotEquals instead.,1204,6a90afbd43c7b6f88d0dbf96cdd6d5fb,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,1204,1204,15,26,CODE_SMELL,apache
AXMcl9c4hG9A4E-6nwe3,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/AffineTransformMatrix2DTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,1207,8fa541847a2305a034f54dc812400032,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,1207,1207,15,25,CODE_SMELL,apache
AXMcl9c4hG9A4E-6nwe4,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/AffineTransformMatrix2DTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,1210,2399f2b3b2ef6bb3be34932d89492902,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,1210,1210,15,25,CODE_SMELL,apache
AXMcl9fohG9A4E-6nwe8,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/PolarCoordinatesTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertNotEquals instead.,263,6a90afbd43c7b6f88d0dbf96cdd6d5fb,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,263,263,15,26,CODE_SMELL,apache
AXMcl9fohG9A4E-6nwe9,commons-geometry:commons-geometry-euclidean/src/test/java/org/apache/commons/geometry/euclidean/twod/PolarCoordinatesTest.java,commons-geometry,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,265,8fa541847a2305a034f54dc812400032,,,2020-07-05T03:28:45+0200,2020-07-05T03:28:45+0200,,265,265,15,25,CODE_SMELL,apache
