key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXd_-RXRcAOzOv8R1ElB,apache-dolphinscheduler:dolphinscheduler-server/src/main/java/org/apache/dolphinscheduler/server/worker/task/sql/SqlTask.java,apache-dolphinscheduler,java:S112,CLOSED,FIXED,MAJOR,Define and throw a dedicated exception instead of using a generic one.,,f3826ebaec0cee945dbdbad468bd58e8,,20min,2021-02-08T05:47:16+0100,2021-02-08T07:54:25+0100,,183,183,22,38,CODE_SMELL,apache
AXd_-RXRcAOzOv8R1ElC,apache-dolphinscheduler:dolphinscheduler-server/src/main/java/org/apache/dolphinscheduler/server/worker/task/sql/SqlTask.java,apache-dolphinscheduler,java:S3457,CLOSED,FIXED,MAJOR,"No need to call ""toString()"" method as formatting and string conversion is done by the Formatter.",,d825bf492ecfd39214a0ba4954e758b6,,10min,2021-02-08T05:47:16+0100,2021-02-08T07:54:25+0100,,182,182,59,83,CODE_SMELL,apache
AXd9QSdicAOzOv8Rzq7N,apache-dolphinscheduler:dolphinscheduler-alert-plugin/dolphinscheduler-alert-feishu/src/main/java/org/apache/dolphinscheduler/plugin/alert/feishu/FeiShuSender.java,apache-dolphinscheduler,java:S3740,OPEN,,MAJOR,Provide the parametrized type for this generic.,113,56bf8fab661fe52daa7bccd623f7d94b,,5min,2021-02-07T16:33:30+0100,2021-02-08T09:22:57+0100,,113,113,17,20,CODE_SMELL,apache
AXd7yu1IpwiNktG5UDAa,apache-dolphinscheduler:dolphinscheduler-server/src/main/java/org/apache/dolphinscheduler/server/worker/task/sql/SqlTask.java,apache-dolphinscheduler,java:S112,CLOSED,FIXED,MAJOR,Define and throw a dedicated exception instead of using a generic one.,,fdda924e16c6c8cb6afc035461946766,,20min,2021-02-07T10:18:04+0100,2021-02-07T17:06:55+0100,,183,183,22,38,CODE_SMELL,apache
AXd7yu1IpwiNktG5UDAb,apache-dolphinscheduler:dolphinscheduler-server/src/main/java/org/apache/dolphinscheduler/server/worker/task/sql/SqlTask.java,apache-dolphinscheduler,java:S112,CLOSED,FIXED,MAJOR,Define and throw a dedicated exception instead of using a generic one.,,228afc5ae7b324e7971b19afd17adf60,,20min,2021-02-07T10:18:04+0100,2021-02-07T15:37:46+0100,,388,388,49,58,CODE_SMELL,apache
AXd7yu1IpwiNktG5UDAd,apache-dolphinscheduler:dolphinscheduler-server/src/main/java/org/apache/dolphinscheduler/server/worker/task/sql/SqlTask.java,apache-dolphinscheduler,java:S1155,CLOSED,FIXED,MINOR,Use isEmpty() to check whether the collection is empty or not.,,d1fb49d467f558a3453b95b0e9de56eb,,2min,2021-02-07T10:18:04+0100,2021-02-07T16:18:21+0100,,147,147,16,47,CODE_SMELL,apache
AXd7yu1IpwiNktG5UDAf,apache-dolphinscheduler:dolphinscheduler-server/src/main/java/org/apache/dolphinscheduler/server/worker/task/sql/SqlTask.java,apache-dolphinscheduler,java:S1126,CLOSED,FIXED,MINOR,Replace this if-then-else statement by a single return statement.,,4719cf73f3e354226d29a391a988e771,,2min,2021-02-07T10:18:04+0100,2021-02-07T16:18:21+0100,,188,188,8,10,CODE_SMELL,apache
AXd7yvr7pwiNktG5UDAh,apache-dolphinscheduler:dolphinscheduler-service/src/main/java/org/apache/dolphinscheduler/service/process/ProcessService.java,apache-dolphinscheduler,java:S2629,CLOSED,FIXED,MAJOR,Invoke method(s) only conditionally.,,c7b0bd1c3e482a2709da7fd0ce2be6b6,,5min,2021-02-07T10:18:04+0100,2021-02-07T15:37:46+0100,,1788,1788,97,113,CODE_SMELL,apache
AXd7yvr7pwiNktG5UDAi,apache-dolphinscheduler:dolphinscheduler-service/src/main/java/org/apache/dolphinscheduler/service/process/ProcessService.java,apache-dolphinscheduler,java:S1155,CLOSED,FIXED,MINOR,Use isEmpty() to check whether the collection is empty or not.,,c3bd857206d37829eaba87d7a02013d9,,2min,2021-02-07T10:18:04+0100,2021-02-07T15:37:46+0100,,1732,1732,15,30,CODE_SMELL,apache
AXd7yvr7pwiNktG5UDAj,apache-dolphinscheduler:dolphinscheduler-service/src/main/java/org/apache/dolphinscheduler/service/process/ProcessService.java,apache-dolphinscheduler,java:S1155,CLOSED,FIXED,MINOR,Use isEmpty() to check whether the collection is empty or not.,,e35fdeca3516602049a65a26d422f46b,,2min,2021-02-07T10:18:04+0100,2021-02-07T15:37:46+0100,,1798,1798,16,32,CODE_SMELL,apache
