key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXd_-RXRcAOzOv8R1ElB,apache-dolphinscheduler:dolphinscheduler-server/src/main/java/org/apache/dolphinscheduler/server/worker/task/sql/SqlTask.java,apache-dolphinscheduler,java:S112,CLOSED,FIXED,MAJOR,Define and throw a dedicated exception instead of using a generic one.,,f3826ebaec0cee945dbdbad468bd58e8,,20min,2021-02-08 05:47:16+01:00,2021-02-08 07:54:25+01:00,,183.0,183.0,22.0,38.0,CODE_SMELL,apache,1612759636,1612767265,1.0,2,20
AXd_-RXRcAOzOv8R1ElC,apache-dolphinscheduler:dolphinscheduler-server/src/main/java/org/apache/dolphinscheduler/server/worker/task/sql/SqlTask.java,apache-dolphinscheduler,java:S3457,CLOSED,FIXED,MAJOR,"No need to call ""toString()"" method as formatting and string conversion is done by the Formatter.",,d825bf492ecfd39214a0ba4954e758b6,,10min,2021-02-08 05:47:16+01:00,2021-02-08 07:54:25+01:00,,182.0,182.0,59.0,83.0,CODE_SMELL,apache,1612759636,1612767265,1.0,2,10
AXd9QSdicAOzOv8Rzq7N,apache-dolphinscheduler:dolphinscheduler-alert-plugin/dolphinscheduler-alert-feishu/src/main/java/org/apache/dolphinscheduler/plugin/alert/feishu/FeiShuSender.java,apache-dolphinscheduler,java:S3740,OPEN,,MAJOR,Provide the parametrized type for this generic.,113.0,56bf8fab661fe52daa7bccd623f7d94b,,5min,2021-02-07 16:33:30+01:00,2021-02-08 09:22:57+01:00,,113.0,113.0,17.0,20.0,CODE_SMELL,apache,1612712010,1612772577,1.0,3,5
AXd7yu1IpwiNktG5UDAa,apache-dolphinscheduler:dolphinscheduler-server/src/main/java/org/apache/dolphinscheduler/server/worker/task/sql/SqlTask.java,apache-dolphinscheduler,java:S112,CLOSED,FIXED,MAJOR,Define and throw a dedicated exception instead of using a generic one.,,fdda924e16c6c8cb6afc035461946766,,20min,2021-02-07 10:18:04+01:00,2021-02-07 17:06:55+01:00,,183.0,183.0,22.0,38.0,CODE_SMELL,apache,1612689484,1612714015,1.0,5,20
AXd7yu1IpwiNktG5UDAb,apache-dolphinscheduler:dolphinscheduler-server/src/main/java/org/apache/dolphinscheduler/server/worker/task/sql/SqlTask.java,apache-dolphinscheduler,java:S112,CLOSED,FIXED,MAJOR,Define and throw a dedicated exception instead of using a generic one.,,228afc5ae7b324e7971b19afd17adf60,,20min,2021-02-07 10:18:04+01:00,2021-02-07 15:37:46+01:00,,388.0,388.0,49.0,58.0,CODE_SMELL,apache,1612689484,1612708666,1.0,4,20
AXd7yu1IpwiNktG5UDAd,apache-dolphinscheduler:dolphinscheduler-server/src/main/java/org/apache/dolphinscheduler/server/worker/task/sql/SqlTask.java,apache-dolphinscheduler,java:S1155,CLOSED,FIXED,MINOR,Use isEmpty() to check whether the collection is empty or not.,,d1fb49d467f558a3453b95b0e9de56eb,,2min,2021-02-07 10:18:04+01:00,2021-02-07 16:18:21+01:00,,147.0,147.0,16.0,47.0,CODE_SMELL,apache,1612689484,1612711101,1.0,4,2
AXd7yu1IpwiNktG5UDAf,apache-dolphinscheduler:dolphinscheduler-server/src/main/java/org/apache/dolphinscheduler/server/worker/task/sql/SqlTask.java,apache-dolphinscheduler,java:S1126,CLOSED,FIXED,MINOR,Replace this if-then-else statement by a single return statement.,,4719cf73f3e354226d29a391a988e771,,2min,2021-02-07 10:18:04+01:00,2021-02-07 16:18:21+01:00,,188.0,188.0,8.0,10.0,CODE_SMELL,apache,1612689484,1612711101,1.0,4,2
AXd7yvr7pwiNktG5UDAh,apache-dolphinscheduler:dolphinscheduler-service/src/main/java/org/apache/dolphinscheduler/service/process/ProcessService.java,apache-dolphinscheduler,java:S2629,CLOSED,FIXED,MAJOR,Invoke method(s) only conditionally.,,c7b0bd1c3e482a2709da7fd0ce2be6b6,,5min,2021-02-07 10:18:04+01:00,2021-02-07 15:37:46+01:00,,1788.0,1788.0,97.0,113.0,CODE_SMELL,apache,1612689484,1612708666,1.0,4,5
AXd7yvr7pwiNktG5UDAi,apache-dolphinscheduler:dolphinscheduler-service/src/main/java/org/apache/dolphinscheduler/service/process/ProcessService.java,apache-dolphinscheduler,java:S1155,CLOSED,FIXED,MINOR,Use isEmpty() to check whether the collection is empty or not.,,c3bd857206d37829eaba87d7a02013d9,,2min,2021-02-07 10:18:04+01:00,2021-02-07 15:37:46+01:00,,1732.0,1732.0,15.0,30.0,CODE_SMELL,apache,1612689484,1612708666,1.0,4,2
AXd7yvr7pwiNktG5UDAj,apache-dolphinscheduler:dolphinscheduler-service/src/main/java/org/apache/dolphinscheduler/service/process/ProcessService.java,apache-dolphinscheduler,java:S1155,CLOSED,FIXED,MINOR,Use isEmpty() to check whether the collection is empty or not.,,e35fdeca3516602049a65a26d422f46b,,2min,2021-02-07 10:18:04+01:00,2021-02-07 15:37:46+01:00,,1798.0,1798.0,16.0,32.0,CODE_SMELL,apache,1612689484,1612708666,1.0,4,2
