key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXdAhFywFBqnh-FAgNL7,knox-gateway:gateway-discovery-cm/src/main/java/org/apache/knox/gateway/topology/discovery/cm/ClouderaManagerCluster.java,knox-gateway,java:S1066,OPEN,,MAJOR,Merge this if statement with the enclosing one.,70,8584f29f212d759625eb0717b682e9e9,,5min,2021-01-26T22:01:49+0100,2021-01-26T22:01:49+0100,,70,70,14,16,CODE_SMELL,apache
AXdARYkTrRL0x9apDonj,knox-gateway:gateway-server/src/main/java/org/apache/knox/gateway/services/token/impl/DefaultTokenAuthorityService.java,knox-gateway,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal ""Cannot verify token."" 3 times.",250,ed18cba3b1b515d6005f3a202c69a12f,,8min,2021-01-26T20:50:05+0100,2021-01-26T20:50:05+0100,,250,250,38,60,CODE_SMELL,apache
AXdARaS_rRL0x9apDonl,knox-gateway:gateway-service-knoxtoken/src/main/java/org/apache/knox/gateway/service/knoxtoken/TokenResource.java,knox-gateway,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 34 to the 15 allowed.,116,9d88e69baab630089b43f23a0579e13a,,24min,2021-01-26T20:50:05+0100,2021-01-26T20:50:05+0100,,116,116,14,18,CODE_SMELL,apache
AXdARZUdrRL0x9apDonk,knox-gateway:gateway-spi/src/main/java/org/apache/knox/gateway/services/security/token/TokenUtils.java,knox-gateway,java:S3358,OPEN,,MAJOR,Extract this nested ternary operation into an independent statement.,85,d4418f3a12c1210e547ace96933f88c7,,5min,2021-01-26T20:50:05+0100,2021-01-26T20:50:05+0100,,85,85,21,59,CODE_SMELL,apache
AXcmNP6qD-HLx9axFLlZ,knox-gateway:gateway-discovery-cm/src/main/java/org/apache/knox/gateway/topology/discovery/cm/ClouderaManagerCluster.java,knox-gateway,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.,56,80f87512d35f88674b50f7b941318fbf,,14min,2021-01-21T19:25:00+0100,2021-01-26T22:01:49+0100,,56,56,22,36,CODE_SMELL,apache
AXblVrGaBCpkLzGmofhg,knox-gateway:gateway-adapter/src/main/java/org/apache/hadoop/gateway/dispatch/NiFiHaDispatch.java,knox-gateway,java:S110,OPEN,,MAJOR,This class has 7 parents which is greater than 5 authorized.,34,9e741acbceb8255982fd733d9c7cc8a8,,5h,2021-01-09T05:06:16+0100,2021-01-09T05:06:16+0100,,34,34,13,27,CODE_SMELL,apache
AXblVrIdBCpkLzGmofhh,knox-gateway:gateway-adapter/src/main/java/org/apache/hadoop/gateway/hive/HiveHaDispatch.java,knox-gateway,java:S110,OPEN,,MAJOR,This class has 7 parents which is greater than 5 authorized.,29,05cedea6543f0c56cb9d10d9dfbaea60,,5h,2021-01-09T05:06:16+0100,2021-01-09T05:06:16+0100,,29,29,13,27,CODE_SMELL,apache
AXblVrgUBCpkLzGmofhk,knox-gateway:gateway-provider-ha/src/main/java/org/apache/knox/gateway/ha/dispatch/AtlasApiHaDispatch.java,knox-gateway,java:S110,OPEN,,MAJOR,This class has 6 parents which is greater than 5 authorized.,32,178eed94af54298849f612639dac74f0,,4h30min,2021-01-09T05:06:16+0100,2021-01-09T05:06:16+0100,,32,32,13,31,CODE_SMELL,apache
AXblVrgUBCpkLzGmofhl,knox-gateway:gateway-provider-ha/src/main/java/org/apache/knox/gateway/ha/dispatch/AtlasApiHaDispatch.java,knox-gateway,java:S1874,OPEN,,MINOR,"Remove this use of ""DefaultHaDispatch""; it is deprecated.",32,178eed94af54298849f612639dac74f0,,15min,2021-01-09T05:06:16+0100,2021-01-09T05:06:16+0100,,32,32,40,57,CODE_SMELL,apache
AXblVrgEBCpkLzGmofhi,knox-gateway:gateway-provider-ha/src/main/java/org/apache/knox/gateway/ha/dispatch/AtlasApiTrustedProxyHaDispatch.java,knox-gateway,java:S110,OPEN,,MAJOR,This class has 6 parents which is greater than 5 authorized.,28,a5d263fd1707b914782f8c57a3bff995,,4h30min,2021-01-09T05:06:16+0100,2021-01-09T05:06:16+0100,,28,28,13,43,CODE_SMELL,apache
