key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXdAhFywFBqnh-FAgNL7,knox-gateway:gateway-discovery-cm/src/main/java/org/apache/knox/gateway/topology/discovery/cm/ClouderaManagerCluster.java,knox-gateway,java:S1066,OPEN,,MAJOR,Merge this if statement with the enclosing one.,70.0,8584f29f212d759625eb0717b682e9e9,,5min,2021-01-26 22:01:49+01:00,2021-01-26 22:01:49+01:00,,70.0,70.0,14.0,16.0,CODE_SMELL,apache,1611694909,1611694909,0.0,0,5
AXdARYkTrRL0x9apDonj,knox-gateway:gateway-server/src/main/java/org/apache/knox/gateway/services/token/impl/DefaultTokenAuthorityService.java,knox-gateway,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal ""Cannot verify token."" 3 times.",250.0,ed18cba3b1b515d6005f3a202c69a12f,,8min,2021-01-26 20:50:05+01:00,2021-01-26 20:50:05+01:00,,250.0,250.0,38.0,60.0,CODE_SMELL,apache,1611690605,1611690605,0.0,0,8
AXdARaS_rRL0x9apDonl,knox-gateway:gateway-service-knoxtoken/src/main/java/org/apache/knox/gateway/service/knoxtoken/TokenResource.java,knox-gateway,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 34 to the 15 allowed.,116.0,9d88e69baab630089b43f23a0579e13a,,24min,2021-01-26 20:50:05+01:00,2021-01-26 20:50:05+01:00,,116.0,116.0,14.0,18.0,CODE_SMELL,apache,1611690605,1611690605,0.0,0,24
AXdARZUdrRL0x9apDonk,knox-gateway:gateway-spi/src/main/java/org/apache/knox/gateway/services/security/token/TokenUtils.java,knox-gateway,java:S3358,OPEN,,MAJOR,Extract this nested ternary operation into an independent statement.,85.0,d4418f3a12c1210e547ace96933f88c7,,5min,2021-01-26 20:50:05+01:00,2021-01-26 20:50:05+01:00,,85.0,85.0,21.0,59.0,CODE_SMELL,apache,1611690605,1611690605,0.0,0,5
AXcmNP6qD-HLx9axFLlZ,knox-gateway:gateway-discovery-cm/src/main/java/org/apache/knox/gateway/topology/discovery/cm/ClouderaManagerCluster.java,knox-gateway,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.,56.0,80f87512d35f88674b50f7b941318fbf,,14min,2021-01-21 19:25:00+01:00,2021-01-26 22:01:49+01:00,,56.0,56.0,22.0,36.0,CODE_SMELL,apache,1611253500,1611694909,6.0,3,14
AXblVrGaBCpkLzGmofhg,knox-gateway:gateway-adapter/src/main/java/org/apache/hadoop/gateway/dispatch/NiFiHaDispatch.java,knox-gateway,java:S110,OPEN,,MAJOR,This class has 7 parents which is greater than 5 authorized.,34.0,9e741acbceb8255982fd733d9c7cc8a8,,5h,2021-01-09 05:06:16+01:00,2021-01-09 05:06:16+01:00,,34.0,34.0,13.0,27.0,CODE_SMELL,apache,1610165176,1610165176,0.0,0,300
AXblVrIdBCpkLzGmofhh,knox-gateway:gateway-adapter/src/main/java/org/apache/hadoop/gateway/hive/HiveHaDispatch.java,knox-gateway,java:S110,OPEN,,MAJOR,This class has 7 parents which is greater than 5 authorized.,29.0,05cedea6543f0c56cb9d10d9dfbaea60,,5h,2021-01-09 05:06:16+01:00,2021-01-09 05:06:16+01:00,,29.0,29.0,13.0,27.0,CODE_SMELL,apache,1610165176,1610165176,0.0,0,300
AXblVrgUBCpkLzGmofhk,knox-gateway:gateway-provider-ha/src/main/java/org/apache/knox/gateway/ha/dispatch/AtlasApiHaDispatch.java,knox-gateway,java:S110,OPEN,,MAJOR,This class has 6 parents which is greater than 5 authorized.,32.0,178eed94af54298849f612639dac74f0,,4h30min,2021-01-09 05:06:16+01:00,2021-01-09 05:06:16+01:00,,32.0,32.0,13.0,31.0,CODE_SMELL,apache,1610165176,1610165176,0.0,0,270
AXblVrgUBCpkLzGmofhl,knox-gateway:gateway-provider-ha/src/main/java/org/apache/knox/gateway/ha/dispatch/AtlasApiHaDispatch.java,knox-gateway,java:S1874,OPEN,,MINOR,"Remove this use of ""DefaultHaDispatch""; it is deprecated.",32.0,178eed94af54298849f612639dac74f0,,15min,2021-01-09 05:06:16+01:00,2021-01-09 05:06:16+01:00,,32.0,32.0,40.0,57.0,CODE_SMELL,apache,1610165176,1610165176,0.0,0,15
AXblVrgEBCpkLzGmofhi,knox-gateway:gateway-provider-ha/src/main/java/org/apache/knox/gateway/ha/dispatch/AtlasApiTrustedProxyHaDispatch.java,knox-gateway,java:S110,OPEN,,MAJOR,This class has 6 parents which is greater than 5 authorized.,28.0,a5d263fd1707b914782f8c57a3bff995,,4h30min,2021-01-09 05:06:16+01:00,2021-01-09 05:06:16+01:00,,28.0,28.0,13.0,43.0,CODE_SMELL,apache,1610165176,1610165176,0.0,0,270
