key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXdITSTogqn0Ur50xDhJ,apache_groovy:src/main/java/groovy/lang/Tuple.java,apache_groovy,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,110,5b1146b7c0427d399b4f25e88fb2ea45,,6min,2021-01-28T10:16:29+0100,2021-01-28T10:16:29+0100,,110,110,27,34,CODE_SMELL,apache
AXdITSTogqn0Ur50xDhK,apache_groovy:src/main/java/groovy/lang/Tuple.java,apache_groovy,java:S3358,OPEN,,MAJOR,Extract this nested ternary operation into an independent statement.,117,28e28fb2ed8bea2dbbb1cdc702919aad,,5min,2021-01-28T10:16:29+0100,2021-01-28T10:16:29+0100,,117,121,18,19,CODE_SMELL,apache
AXdITSTogqn0Ur50xDhL,apache_groovy:src/main/java/groovy/lang/Tuple.java,apache_groovy,java:S3358,OPEN,,MAJOR,Extract this nested ternary operation into an independent statement.,119,d2d775b9f00116851d4b8d5f2aa21a7d,,5min,2021-01-28T10:16:29+0100,2021-01-28T10:16:29+0100,,119,121,18,19,CODE_SMELL,apache
AXc3VmEjrWTuIHEkBEVS,apache_groovy:src/main/java/org/codehaus/groovy/transform/stc/StaticTypeCheckingVisitor.java,apache_groovy,java:S1066,OPEN,,MAJOR,Merge this if statement with the enclosing one.,4689,69802b5c566eb6fd13338cddca194d3b,,5min,2021-01-25T03:13:27+0100,2021-01-25T03:13:27+0100,,4689,4689,16,18,CODE_SMELL,apache
AXZ-2W_S7YL0w4ZGFgHb,apache_groovy:src/main/java/org/codehaus/groovy/runtime/DefaultGroovyMethods.java,apache_groovy,java:S100,OPEN,,MINOR,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,3896,bd6051a8a693da640f810cc667431a11,,5min,2020-12-20T07:26:49+0100,2020-12-20T07:26:49+0100,,3896,3896,40,59,CODE_SMELL,apache
AXZ-2W_S7YL0w4ZGFgHc,apache_groovy:src/main/java/org/codehaus/groovy/runtime/DefaultGroovyMethods.java,apache_groovy,java:S1133,OPEN,,INFO,Do not forget to remove this deprecated code someday.,3896,bd6051a8a693da640f810cc667431a11,,10min,2020-12-20T07:26:49+0100,2020-12-20T07:26:49+0100,,3896,3896,40,59,CODE_SMELL,apache
AXZ-2W_S7YL0w4ZGFgHd,apache_groovy:src/main/java/org/codehaus/groovy/runtime/DefaultGroovyMethods.java,apache_groovy,java:S1123,OPEN,,MAJOR,Add the missing @deprecated Javadoc tag.,3896,bd6051a8a693da640f810cc667431a11,,5min,2020-12-20T07:26:49+0100,2020-12-20T07:26:49+0100,,3896,3896,40,59,CODE_SMELL,apache
AXZ-2W_S7YL0w4ZGFgHa,apache_groovy:src/main/java/org/codehaus/groovy/runtime/DefaultGroovyMethods.java,apache_groovy,java:S3740,OPEN,,MAJOR,Provide the parametrized type for this generic.,6739,d74ae2e9f4a1108414ad997d2be159da,,5min,2020-12-20T07:26:49+0100,2020-12-20T07:26:49+0100,,6739,6739,69,76,CODE_SMELL,apache
AXZ4XwiYOz5WO3YQQqbs,apache_groovy:subprojects/groovy-json/src/main/java/groovy/json/StreamingJsonBuilder.java,apache_groovy,java:S3740,OPEN,,MAJOR,Provide the parametrized type for this generic.,698,5270eebee0888bd766614af7f301a6ea,,5min,2020-12-19T01:15:27+0100,2020-12-19T01:15:27+0100,,698,698,123,130,CODE_SMELL,apache
AXZ4XwiYOz5WO3YQQqbt,apache_groovy:subprojects/groovy-json/src/main/java/groovy/json/StreamingJsonBuilder.java,apache_groovy,java:S3740,OPEN,,MAJOR,Provide the parametrized type for this generic.,743,8be70b2dfc5c363a88670588fdd91595,,5min,2020-12-19T01:15:27+0100,2020-12-19T01:15:27+0100,,743,743,134,141,CODE_SMELL,apache
AXZ4XwiYOz5WO3YQQqbu,apache_groovy:subprojects/groovy-json/src/main/java/groovy/json/StreamingJsonBuilder.java,apache_groovy,java:S3740,OPEN,,MAJOR,Provide the parametrized type for this generic.,743,8be70b2dfc5c363a88670588fdd91595,,5min,2020-12-19T01:15:27+0100,2020-12-19T01:15:27+0100,,743,743,34,42,CODE_SMELL,apache
AXZ4XwiYOz5WO3YQQqbv,apache_groovy:subprojects/groovy-json/src/main/java/groovy/json/StreamingJsonBuilder.java,apache_groovy,java:S3740,OPEN,,MAJOR,Provide the parametrized type for this generic.,814,b22d4514525603a6b6c0bfc9408dd18b,,5min,2020-12-19T01:15:27+0100,2020-12-19T01:15:27+0100,,814,814,155,162,CODE_SMELL,apache
AXZ4XwiYOz5WO3YQQqbw,apache_groovy:subprojects/groovy-json/src/main/java/groovy/json/StreamingJsonBuilder.java,apache_groovy,java:S3740,OPEN,,MAJOR,Provide the parametrized type for this generic.,820,e88d8b4596b65217c0e57d68c53de25c,,5min,2020-12-19T01:15:27+0100,2020-12-19T01:15:27+0100,,820,820,149,156,CODE_SMELL,apache
