key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXdITSTogqn0Ur50xDhJ,apache_groovy:src/main/java/groovy/lang/Tuple.java,apache_groovy,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,110.0,5b1146b7c0427d399b4f25e88fb2ea45,,6min,2021-01-28 10:16:29+01:00,2021-01-28 10:16:29+01:00,,110.0,110.0,27.0,34.0,CODE_SMELL,apache,1611825389,1611825389,0.0,0,6
AXdITSTogqn0Ur50xDhK,apache_groovy:src/main/java/groovy/lang/Tuple.java,apache_groovy,java:S3358,OPEN,,MAJOR,Extract this nested ternary operation into an independent statement.,117.0,28e28fb2ed8bea2dbbb1cdc702919aad,,5min,2021-01-28 10:16:29+01:00,2021-01-28 10:16:29+01:00,,117.0,121.0,18.0,19.0,CODE_SMELL,apache,1611825389,1611825389,0.0,0,5
AXdITSTogqn0Ur50xDhL,apache_groovy:src/main/java/groovy/lang/Tuple.java,apache_groovy,java:S3358,OPEN,,MAJOR,Extract this nested ternary operation into an independent statement.,119.0,d2d775b9f00116851d4b8d5f2aa21a7d,,5min,2021-01-28 10:16:29+01:00,2021-01-28 10:16:29+01:00,,119.0,121.0,18.0,19.0,CODE_SMELL,apache,1611825389,1611825389,0.0,0,5
AXc3VmEjrWTuIHEkBEVS,apache_groovy:src/main/java/org/codehaus/groovy/transform/stc/StaticTypeCheckingVisitor.java,apache_groovy,java:S1066,OPEN,,MAJOR,Merge this if statement with the enclosing one.,4689.0,69802b5c566eb6fd13338cddca194d3b,,5min,2021-01-25 03:13:27+01:00,2021-01-25 03:13:27+01:00,,4689.0,4689.0,16.0,18.0,CODE_SMELL,apache,1611540807,1611540807,0.0,0,5
AXZ-2W_S7YL0w4ZGFgHb,apache_groovy:src/main/java/org/codehaus/groovy/runtime/DefaultGroovyMethods.java,apache_groovy,java:S100,OPEN,,MINOR,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,3896.0,bd6051a8a693da640f810cc667431a11,,5min,2020-12-20 07:26:49+01:00,2020-12-20 07:26:49+01:00,,3896.0,3896.0,40.0,59.0,CODE_SMELL,apache,1608445609,1608445609,0.0,0,5
AXZ-2W_S7YL0w4ZGFgHc,apache_groovy:src/main/java/org/codehaus/groovy/runtime/DefaultGroovyMethods.java,apache_groovy,java:S1133,OPEN,,INFO,Do not forget to remove this deprecated code someday.,3896.0,bd6051a8a693da640f810cc667431a11,,10min,2020-12-20 07:26:49+01:00,2020-12-20 07:26:49+01:00,,3896.0,3896.0,40.0,59.0,CODE_SMELL,apache,1608445609,1608445609,0.0,0,10
AXZ-2W_S7YL0w4ZGFgHd,apache_groovy:src/main/java/org/codehaus/groovy/runtime/DefaultGroovyMethods.java,apache_groovy,java:S1123,OPEN,,MAJOR,Add the missing @deprecated Javadoc tag.,3896.0,bd6051a8a693da640f810cc667431a11,,5min,2020-12-20 07:26:49+01:00,2020-12-20 07:26:49+01:00,,3896.0,3896.0,40.0,59.0,CODE_SMELL,apache,1608445609,1608445609,0.0,0,5
AXZ-2W_S7YL0w4ZGFgHa,apache_groovy:src/main/java/org/codehaus/groovy/runtime/DefaultGroovyMethods.java,apache_groovy,java:S3740,OPEN,,MAJOR,Provide the parametrized type for this generic.,6739.0,d74ae2e9f4a1108414ad997d2be159da,,5min,2020-12-20 07:26:49+01:00,2020-12-20 07:26:49+01:00,,6739.0,6739.0,69.0,76.0,CODE_SMELL,apache,1608445609,1608445609,0.0,0,5
AXZ4XwiYOz5WO3YQQqbs,apache_groovy:subprojects/groovy-json/src/main/java/groovy/json/StreamingJsonBuilder.java,apache_groovy,java:S3740,OPEN,,MAJOR,Provide the parametrized type for this generic.,698.0,5270eebee0888bd766614af7f301a6ea,,5min,2020-12-19 01:15:27+01:00,2020-12-19 01:15:27+01:00,,698.0,698.0,123.0,130.0,CODE_SMELL,apache,1608336927,1608336927,0.0,0,5
AXZ4XwiYOz5WO3YQQqbt,apache_groovy:subprojects/groovy-json/src/main/java/groovy/json/StreamingJsonBuilder.java,apache_groovy,java:S3740,OPEN,,MAJOR,Provide the parametrized type for this generic.,743.0,8be70b2dfc5c363a88670588fdd91595,,5min,2020-12-19 01:15:27+01:00,2020-12-19 01:15:27+01:00,,743.0,743.0,134.0,141.0,CODE_SMELL,apache,1608336927,1608336927,0.0,0,5
