key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXdtKDCEuGcOOwSb27eO,hadoop-ozone:hadoop-ozone/ozone-manager/src/main/java/org/apache/hadoop/ozone/om/OzoneManager.java,hadoop-ozone,java:S3252,OPEN,,CRITICAL,"Use static access with ""org.apache.hadoop.ipc.Server"" for ""getRemoteUser"".",1701,c37bb3babd17dac26322e9909cfc993a,,5min,2021-02-04T14:05:00+0100,2021-02-04T14:05:00+0100,,1701,1701,57,70,CODE_SMELL,apache
AXdtKDCEuGcOOwSb27eP,hadoop-ozone:hadoop-ozone/ozone-manager/src/main/java/org/apache/hadoop/ozone/om/OzoneManager.java,hadoop-ozone,java:S3252,OPEN,,CRITICAL,"Use static access with ""org.apache.hadoop.ipc.Server"" for ""getRemoteIp"".",1702,c6ca78be95a0a3e5c33b18d9d76bb37d,,5min,2021-02-04T14:05:00+0100,2021-02-04T14:05:00+0100,,1702,1702,52,63,CODE_SMELL,apache
AXdtKDCEuGcOOwSb27eQ,hadoop-ozone:hadoop-ozone/ozone-manager/src/main/java/org/apache/hadoop/ozone/om/OzoneManager.java,hadoop-ozone,java:S1181,OPEN,,MAJOR,Catch Exception instead of Throwable.,3631,9d94a2e493b16898aa835667125a5484,,20min,2021-02-04T14:05:00+0100,2021-02-04T14:05:00+0100,,3631,3631,13,22,CODE_SMELL,apache
AXdtKDCEuGcOOwSb27eR,hadoop-ozone:hadoop-ozone/ozone-manager/src/main/java/org/apache/hadoop/ozone/om/OzoneManager.java,hadoop-ozone,java:S2737,OPEN,,MINOR,Add logic to this catch clause or eliminate it and rethrow the exception automatically.,3632,cd009a19b4fd38d8494aa43a27a4922d,,5min,2021-02-04T14:05:00+0100,2021-02-04T14:05:00+0100,,3632,3632,6,14,CODE_SMELL,apache
AXdtKDCUuGcOOwSb27eS,hadoop-ozone:hadoop-ozone/ozone-manager/src/main/java/org/apache/hadoop/ozone/om/TrashOzoneFileSystem.java,hadoop-ozone,java:S5803,OPEN,,CRITICAL,"Remove this usage of ""getOmRpcServerAddr"", it is annotated with @VisibleForTesting and should not be accessed from production code.",517,f41e85700af81b585cfd4e49b4768df2,,,2021-02-04T14:05:00+0100,2021-02-04T14:05:00+0100,,517,517,45,63,CODE_SMELL,apache
AXdtKC_KuGcOOwSb27eN,hadoop-ozone:hadoop-ozone/ozone-manager/src/main/java/org/apache/hadoop/ozone/om/request/OMClientRequest.java,hadoop-ozone,java:S5803,OPEN,,CRITICAL,"Remove this usage of ""getOmRpcServerAddr"", it is annotated with @VisibleForTesting and should not be accessed from production code.",155,67b4d46c33aa85b689e7b0d2a863a65b,,,2021-02-04T14:05:00+0100,2021-02-04T14:05:00+0100,,155,155,37,55,CODE_SMELL,apache
AXdsIhl7NBdX10adhax2,hadoop-ozone:hadoop-ozone/common/src/test/java/org/apache/hadoop/ozone/TestOzoneAcls.java,hadoop-ozone,java:S5778,OPEN,,MAJOR,Refactor the body of this try/catch to have only one invocation possibly throwing a runtime exception.,117,80d5b17efc16ace990c07580fc3e85eb,,,2021-02-04T09:18:42+0100,2021-02-04T09:18:42+0100,,117,117,8,11,CODE_SMELL,apache
AXdsDn_Feyqr8qYMg4Yq,hadoop-ozone:hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/common/statemachine/DatanodeStateMachine.java,hadoop-ozone,java:S1141,OPEN,,MAJOR,Extract this nested try block into a separate method.,460,80d5b17efc16ace990c07580fc3e85eb,,20min,2021-02-04T08:56:43+0100,2021-02-04T08:56:43+0100,,460,460,6,9,CODE_SMELL,apache
AXdsDoNgeyqr8qYMg4Yr,hadoop-ozone:hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/replication/TestMeasuredReplicator.java,hadoop-ozone,java:S2925,OPEN,,MAJOR,"Remove this use of ""Thread.sleep()"".",49,d8a29e53fc80c17ac89846d58667d4de,,20min,2021-02-04T08:56:43+0100,2021-02-04T08:56:43+0100,,49,49,15,20,CODE_SMELL,apache
AXdqDfx2vQYo9bTgVwJh,hadoop-ozone:hadoop-ozone/integration-test/src/test/java/org/apache/hadoop/ozone/om/TestOMRatisSnapshots.java,hadoop-ozone,java:S5786,OPEN,,INFO,Remove this 'public' modifier.,58,89803720562ec3e70ab2acd2118137b5,,2min,2021-02-03T23:37:19+0100,2021-02-03T23:37:19+0100,,58,58,0,6,CODE_SMELL,apache
AXdqDfx2vQYo9bTgVwJe,hadoop-ozone:hadoop-ozone/integration-test/src/test/java/org/apache/hadoop/ozone/om/TestOMRatisSnapshots.java,hadoop-ozone,java:S5786,OPEN,,INFO,Remove this 'public' modifier.,128,9334b9ad8ed5309f03d10509ab387e8a,,2min,2021-02-03T23:37:19+0100,2021-02-03T23:37:19+0100,,128,128,2,8,CODE_SMELL,apache
