key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXdtKDCEuGcOOwSb27eO,hadoop-ozone:hadoop-ozone/ozone-manager/src/main/java/org/apache/hadoop/ozone/om/OzoneManager.java,hadoop-ozone,java:S3252,OPEN,,CRITICAL,"Use static access with ""org.apache.hadoop.ipc.Server"" for ""getRemoteUser"".",1701.0,c37bb3babd17dac26322e9909cfc993a,,5min,2021-02-04 14:05:00+01:00,2021-02-04 14:05:00+01:00,,1701.0,1701.0,57.0,70.0,CODE_SMELL,apache,1612443900,1612443900,0.0,0,5
AXdtKDCEuGcOOwSb27eP,hadoop-ozone:hadoop-ozone/ozone-manager/src/main/java/org/apache/hadoop/ozone/om/OzoneManager.java,hadoop-ozone,java:S3252,OPEN,,CRITICAL,"Use static access with ""org.apache.hadoop.ipc.Server"" for ""getRemoteIp"".",1702.0,c6ca78be95a0a3e5c33b18d9d76bb37d,,5min,2021-02-04 14:05:00+01:00,2021-02-04 14:05:00+01:00,,1702.0,1702.0,52.0,63.0,CODE_SMELL,apache,1612443900,1612443900,0.0,0,5
AXdtKDCEuGcOOwSb27eQ,hadoop-ozone:hadoop-ozone/ozone-manager/src/main/java/org/apache/hadoop/ozone/om/OzoneManager.java,hadoop-ozone,java:S1181,OPEN,,MAJOR,Catch Exception instead of Throwable.,3631.0,9d94a2e493b16898aa835667125a5484,,20min,2021-02-04 14:05:00+01:00,2021-02-04 14:05:00+01:00,,3631.0,3631.0,13.0,22.0,CODE_SMELL,apache,1612443900,1612443900,0.0,0,20
AXdtKDCEuGcOOwSb27eR,hadoop-ozone:hadoop-ozone/ozone-manager/src/main/java/org/apache/hadoop/ozone/om/OzoneManager.java,hadoop-ozone,java:S2737,OPEN,,MINOR,Add logic to this catch clause or eliminate it and rethrow the exception automatically.,3632.0,cd009a19b4fd38d8494aa43a27a4922d,,5min,2021-02-04 14:05:00+01:00,2021-02-04 14:05:00+01:00,,3632.0,3632.0,6.0,14.0,CODE_SMELL,apache,1612443900,1612443900,0.0,0,5
AXdtKDCUuGcOOwSb27eS,hadoop-ozone:hadoop-ozone/ozone-manager/src/main/java/org/apache/hadoop/ozone/om/TrashOzoneFileSystem.java,hadoop-ozone,java:S5803,OPEN,,CRITICAL,"Remove this usage of ""getOmRpcServerAddr"", it is annotated with @VisibleForTesting and should not be accessed from production code.",517.0,f41e85700af81b585cfd4e49b4768df2,,,2021-02-04 14:05:00+01:00,2021-02-04 14:05:00+01:00,,517.0,517.0,45.0,63.0,CODE_SMELL,apache,1612443900,1612443900,0.0,0,0
AXdtKC_KuGcOOwSb27eN,hadoop-ozone:hadoop-ozone/ozone-manager/src/main/java/org/apache/hadoop/ozone/om/request/OMClientRequest.java,hadoop-ozone,java:S5803,OPEN,,CRITICAL,"Remove this usage of ""getOmRpcServerAddr"", it is annotated with @VisibleForTesting and should not be accessed from production code.",155.0,67b4d46c33aa85b689e7b0d2a863a65b,,,2021-02-04 14:05:00+01:00,2021-02-04 14:05:00+01:00,,155.0,155.0,37.0,55.0,CODE_SMELL,apache,1612443900,1612443900,0.0,0,0
AXdsIhl7NBdX10adhax2,hadoop-ozone:hadoop-ozone/common/src/test/java/org/apache/hadoop/ozone/TestOzoneAcls.java,hadoop-ozone,java:S5778,OPEN,,MAJOR,Refactor the body of this try/catch to have only one invocation possibly throwing a runtime exception.,117.0,80d5b17efc16ace990c07580fc3e85eb,,,2021-02-04 09:18:42+01:00,2021-02-04 09:18:42+01:00,,117.0,117.0,8.0,11.0,CODE_SMELL,apache,1612426722,1612426722,0.0,0,0
AXdsDn_Feyqr8qYMg4Yq,hadoop-ozone:hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/common/statemachine/DatanodeStateMachine.java,hadoop-ozone,java:S1141,OPEN,,MAJOR,Extract this nested try block into a separate method.,460.0,80d5b17efc16ace990c07580fc3e85eb,,20min,2021-02-04 08:56:43+01:00,2021-02-04 08:56:43+01:00,,460.0,460.0,6.0,9.0,CODE_SMELL,apache,1612425403,1612425403,0.0,0,20
AXdsDoNgeyqr8qYMg4Yr,hadoop-ozone:hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/replication/TestMeasuredReplicator.java,hadoop-ozone,java:S2925,OPEN,,MAJOR,"Remove this use of ""Thread.sleep()"".",49.0,d8a29e53fc80c17ac89846d58667d4de,,20min,2021-02-04 08:56:43+01:00,2021-02-04 08:56:43+01:00,,49.0,49.0,15.0,20.0,CODE_SMELL,apache,1612425403,1612425403,0.0,0,20
AXdqDfx2vQYo9bTgVwJh,hadoop-ozone:hadoop-ozone/integration-test/src/test/java/org/apache/hadoop/ozone/om/TestOMRatisSnapshots.java,hadoop-ozone,java:S5786,OPEN,,INFO,Remove this 'public' modifier.,58.0,89803720562ec3e70ab2acd2118137b5,,2min,2021-02-03 23:37:19+01:00,2021-02-03 23:37:19+01:00,,58.0,58.0,0.0,6.0,CODE_SMELL,apache,1612391839,1612391839,0.0,0,2
