key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXeACwS7fj8BeTo9T2xE,apache_incubator-hop:core/src/main/java/org/apache/hop/core/Result.java,apache_incubator-hop,common-java:DuplicatedBlocks,OPEN,,MAJOR,2 duplicated blocks of code must be removed.,,,,30min,2021-02-08T05:51:32+0100,2021-02-08T05:51:32+0100,,,,,,CODE_SMELL,apache
AXeACxfTfj8BeTo9T2xL,apache_incubator-hop:engine/src/main/java/org/apache/hop/pipeline/PipelineProfileFactory.java,apache_incubator-hop,java:S1481,OPEN,,MINOR,"Remove this unused ""nrNumeric"" local variable.",107,41870ca8ed8aae57e0390fb8c31af13b,,5min,2021-02-08T05:51:32+0100,2021-02-08T05:51:32+0100,,107,107,8,17,CODE_SMELL,apache
AXeACxfTfj8BeTo9T2xM,apache_incubator-hop:engine/src/main/java/org/apache/hop/pipeline/PipelineProfileFactory.java,apache_incubator-hop,java:S1481,OPEN,,MINOR,"Remove this unused ""nrDates"" local variable.",108,1d9d8aa52a396ed6e03bb4e2b37b4b32,,5min,2021-02-08T05:51:32+0100,2021-02-08T05:51:32+0100,,108,108,8,15,CODE_SMELL,apache
AXeACxfTfj8BeTo9T2xN,apache_incubator-hop:engine/src/main/java/org/apache/hop/pipeline/PipelineProfileFactory.java,apache_incubator-hop,java:S1481,OPEN,,MINOR,"Remove this unused ""nrStrings"" local variable.",109,cd9ba956b5300299d73f04cac7ebf319,,5min,2021-02-08T05:51:32+0100,2021-02-08T05:51:32+0100,,109,109,8,17,CODE_SMELL,apache
AXeACxfTfj8BeTo9T2xO,apache_incubator-hop:engine/src/main/java/org/apache/hop/pipeline/PipelineProfileFactory.java,apache_incubator-hop,java:S1481,OPEN,,MINOR,"Remove this unused ""nrBooleans"" local variable.",110,bfd7586c103bc15a036b45ff5a207b21,,5min,2021-02-08T05:51:32+0100,2021-02-08T05:51:32+0100,,110,110,8,18,CODE_SMELL,apache
AXeACxfTfj8BeTo9T2xP,apache_incubator-hop:engine/src/main/java/org/apache/hop/pipeline/PipelineProfileFactory.java,apache_incubator-hop,java:S1481,OPEN,,MINOR,"Remove this unused ""calcIndex"" local variable.",127,388971b5872ddbba37c09e8947359918,,5min,2021-02-08T05:51:32+0100,2021-02-08T05:51:32+0100,,127,127,8,17,CODE_SMELL,apache
AXeACxeofj8BeTo9T2xI,apache_incubator-hop:engine/src/main/java/org/apache/hop/pipeline/transforms/groupby/GroupBy.java,apache_incubator-hop,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.,565,80c1703f6fdd06f51d5d24de1d018ddd,,10min,2021-02-08T05:51:32+0100,2021-02-08T05:51:32+0100,,565,565,7,19,CODE_SMELL,apache
AXeACxeofj8BeTo9T2xJ,apache_incubator-hop:engine/src/main/java/org/apache/hop/pipeline/transforms/groupby/GroupBy.java,apache_incubator-hop,java:S1854,OPEN,,MAJOR,"Remove this useless assignment to local variable ""fieldName"".",698,e1ecc1622301c0236168e5bcba03f615,,15min,2021-02-08T05:51:32+0100,2021-02-08T05:51:32+0100,,698,698,23,47,CODE_SMELL,apache
AXeACxeofj8BeTo9T2xK,apache_incubator-hop:engine/src/main/java/org/apache/hop/pipeline/transforms/groupby/GroupBy.java,apache_incubator-hop,java:S1481,OPEN,,MINOR,"Remove this unused ""fieldName"" local variable.",698,e1ecc1622301c0236168e5bcba03f615,,5min,2021-02-08T05:51:32+0100,2021-02-08T05:51:32+0100,,698,698,13,22,CODE_SMELL,apache
AXeACxeZfj8BeTo9T2xF,apache_incubator-hop:engine/src/main/java/org/apache/hop/pipeline/transforms/groupby/GroupByMeta.java,apache_incubator-hop,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal ""field"" 4 times.",290,df95962a1dff220ac5979da1013d2531,,10min,2021-02-08T05:51:32+0100,2021-02-08T05:51:32+0100,,290,290,54,61,CODE_SMELL,apache
AXeACxhWfj8BeTo9T2xQ,apache_incubator-hop:engine/src/main/java/org/apache/hop/workflow/Workflow.java,apache_incubator-hop,java:S1854,OPEN,,MAJOR,"Remove this useless assignment to local variable ""start"".",570,ce3e22b1177f2abad01ebaf90dcd9d34,,15min,2021-02-08T05:51:32+0100,2021-02-08T05:51:32+0100,,570,570,23,51,CODE_SMELL,apache
