key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXd7YCNBmR8wXoZXKuUX,apache_incubator-iotdb:server/src/main/java/org/apache/iotdb/db/query/dataset/ShowResult.java,apache_incubator-iotdb,java:S1210,OPEN,,MINOR,"Override ""equals(Object obj)"" to comply with the contract of the ""compareTo(T o)"" method.",46,4cbaf600ad0edd54baec034de17f5897,,15min,2021-02-07T08:20:52+0100,2021-02-07T08:20:52+0100,,46,46,13,22,CODE_SMELL,apache
AXdwEQ3puGcOOwSbBwY0,apache_incubator-iotdb:jdbc/src/main/java/org/apache/iotdb/jdbc/IoTDBDatabaseMetadata.java,apache_incubator-iotdb,java:S1192,CLOSED,FIXED,CRITICAL,"Define a constant instead of duplicating this literal ""TABLE_TYPE"" 3 times.",,9478ff6e642ff6b2f55233d3fb8000ea,,8min,2021-02-05T03:38:41+0100,2021-02-05T05:44:38+0100,,1443,1443,23,35,CODE_SMELL,apache
AXdwEQ3puGcOOwSbBwY4,apache_incubator-iotdb:jdbc/src/main/java/org/apache/iotdb/jdbc/IoTDBDatabaseMetadata.java,apache_incubator-iotdb,java:S1192,CLOSED,FIXED,CRITICAL,"Define a constant instead of duplicating this literal ""KEY_SEQ"" 4 times.",,abc64782513e8bb2d2c46f4c6aef9b1d,,10min,2021-02-05T03:38:41+0100,2021-02-05T05:44:38+0100,,597,597,30,39,CODE_SMELL,apache
AXdwEQ3puGcOOwSbBwY5,apache_incubator-iotdb:jdbc/src/main/java/org/apache/iotdb/jdbc/IoTDBDatabaseMetadata.java,apache_incubator-iotdb,java:S1192,CLOSED,FIXED,CRITICAL,"Define a constant instead of duplicating this literal ""PK_NAME"" 5 times.",,9601ec7f574428c99e8ffe7a64d54d5e,,12min,2021-02-05T03:38:41+0100,2021-02-05T05:44:38+0100,,601,601,31,40,CODE_SMELL,apache
AXdwEQ3puGcOOwSbBwY6,apache_incubator-iotdb:jdbc/src/main/java/org/apache/iotdb/jdbc/IoTDBDatabaseMetadata.java,apache_incubator-iotdb,java:S1192,CLOSED,FIXED,CRITICAL,"Define a constant instead of duplicating this literal ""show functions"" 4 times.",,68d294ade78280cc35f111cf7633d010,,10min,2021-02-05T03:38:41+0100,2021-02-05T05:44:38+0100,,712,712,37,53,CODE_SMELL,apache
AXdwEQ3puGcOOwSbBwY7,apache_incubator-iotdb:jdbc/src/main/java/org/apache/iotdb/jdbc/IoTDBDatabaseMetadata.java,apache_incubator-iotdb,java:S1192,CLOSED,FIXED,CRITICAL,"Define a constant instead of duplicating this literal ""NULLABLE"" 4 times.",,bcc5db0405dee4652e64d50f2113aaad,,10min,2021-02-05T03:38:41+0100,2021-02-05T05:44:38+0100,,725,725,31,41,CODE_SMELL,apache
AXdwEQ3puGcOOwSbBwY9,apache_incubator-iotdb:jdbc/src/main/java/org/apache/iotdb/jdbc/IoTDBDatabaseMetadata.java,apache_incubator-iotdb,java:S1192,CLOSED,FIXED,CRITICAL,"Define a constant instead of duplicating this literal ""SPECIFIC_NAME"" 4 times.",,0514cea6889c71e52fbd2f24cf0a898d,,10min,2021-02-05T03:38:41+0100,2021-02-05T05:44:38+0100,,730,730,31,46,CODE_SMELL,apache
AXdwEQ3puGcOOwSbBwY_,apache_incubator-iotdb:jdbc/src/main/java/org/apache/iotdb/jdbc/IoTDBDatabaseMetadata.java,apache_incubator-iotdb,java:S1192,CLOSED,FIXED,CRITICAL,"Define a constant instead of duplicating this literal ""SHOW STORAGE GROUP"" 4 times.",,d56ca1c8b98e5919cca83ff9e9690a39,,10min,2021-02-05T03:38:41+0100,2021-02-05T05:44:38+0100,,507,507,15,35,CODE_SMELL,apache
AXdwEQ3puGcOOwSbBwYr,apache_incubator-iotdb:jdbc/src/main/java/org/apache/iotdb/jdbc/IoTDBDatabaseMetadata.java,apache_incubator-iotdb,java:S2095,CLOSED,FIXED,BLOCKER,"Use try-with-resources or close this ""Statement"" in a ""finally"" clause.",,3f539e6388ba52f78bd604ee5cb62c97,,5min,2021-02-05T03:38:41+0100,2021-02-05T05:44:38+0100,,1239,1239,19,52,BUG,apache
AXdwEQ3puGcOOwSbBwYs,apache_incubator-iotdb:jdbc/src/main/java/org/apache/iotdb/jdbc/IoTDBDatabaseMetadata.java,apache_incubator-iotdb,java:S2095,CLOSED,FIXED,BLOCKER,"Use try-with-resources or close this ""Statement"" in a ""finally"" clause.",,3f539e6388ba52f78bd604ee5cb62c97,,5min,2021-02-05T03:38:41+0100,2021-02-05T05:44:38+0100,,464,464,19,52,BUG,apache
AXdwEQ3puGcOOwSbBwYt,apache_incubator-iotdb:jdbc/src/main/java/org/apache/iotdb/jdbc/IoTDBDatabaseMetadata.java,apache_incubator-iotdb,java:S2095,CLOSED,FIXED,BLOCKER,"Use try-with-resources or close this ""Statement"" in a ""finally"" clause.",,3b25731d959899e3f7970470bdac00fa,,5min,2021-02-05T03:38:41+0100,2021-02-05T05:44:38+0100,,777,777,20,48,BUG,apache
AXdwEQ3puGcOOwSbBwYu,apache_incubator-iotdb:jdbc/src/main/java/org/apache/iotdb/jdbc/IoTDBDatabaseMetadata.java,apache_incubator-iotdb,java:S2095,CLOSED,FIXED,BLOCKER,"Use try-with-resources or close this ""Statement"" in a ""finally"" clause.",,3f539e6388ba52f78bd604ee5cb62c97,,5min,2021-02-05T03:38:41+0100,2021-02-05T05:44:38+0100,,1360,1360,19,52,BUG,apache
AXdwEQ3puGcOOwSbBwYv,apache_incubator-iotdb:jdbc/src/main/java/org/apache/iotdb/jdbc/IoTDBDatabaseMetadata.java,apache_incubator-iotdb,java:S2095,CLOSED,FIXED,BLOCKER,"Use try-with-resources or close this ""Statement"" in a ""finally"" clause.",,3b25731d959899e3f7970470bdac00fa,,5min,2021-02-05T03:38:41+0100,2021-02-05T05:44:38+0100,,711,711,20,48,BUG,apache
AXdwEQ3puGcOOwSbBwYw,apache_incubator-iotdb:jdbc/src/main/java/org/apache/iotdb/jdbc/IoTDBDatabaseMetadata.java,apache_incubator-iotdb,java:S2095,CLOSED,FIXED,BLOCKER,"Use try-with-resources or close this ""Statement"" in a ""finally"" clause.",,3f539e6388ba52f78bd604ee5cb62c97,,5min,2021-02-05T03:38:41+0100,2021-02-05T05:44:38+0100,,505,505,19,52,BUG,apache
