key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AWzKgdbeK8VkDi59Mp56,apache_incubator-tamaya-extensions:modules/resolver/src/main/java/org/apache/tamaya/resolver/internal/DefaultExpressionEvaluator.java,apache_incubator-tamaya-extensions,java:S1117,OPEN,,MAJOR,"Rename ""resolvers"" which hides the field declared at line 41.",210,989bf704fde5f8e04cab996c1819347e,,5min,2019-08-25T22:38:59+0200,2019-08-25T22:38:59+0200,,210,210,39,48,CODE_SMELL,apache
AWtUMkx_JY8hAiaflHk8,apache_incubator-tamaya-extensions:examples/06-distributed/src/main/java/org/apache/tamaya/examples/distributed/DisplayManager.java,apache_incubator-tamaya-extensions,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal ""displays."" 6 times.",129,d9ef6cacaea67825be73d622c89129b5,,14min,2019-06-14T06:02:11+0200,2019-06-14T06:02:11+0200,,129,129,23,34,CODE_SMELL,apache
AWtUMkjgJY8hAiaflHk7,apache_incubator-tamaya-extensions:modules/etcd/src/main/java/org/apache/tamaya/etcd/EtcdAccessor.java,apache_incubator-tamaya-extensions,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal ""value"" 6 times.",179,d805c2356c4c0016026189082baad500,,14min,2019-06-14T06:02:11+0200,2019-06-14T06:02:11+0200,,179,179,45,52,CODE_SMELL,apache
AWtUMkLyJY8hAiaflHk5,apache_incubator-tamaya-extensions:modules/formats/json/src/main/java/org/apache/tamaya/json/JSONFormat.java,apache_incubator-tamaya-extensions,java:S4719,OPEN,,MINOR,Replace Charset.forName() call with StandardCharsets.UTF_8,75,add1980a674362cb91d9e5b70bfcdf9e,,1min,2019-06-14T06:02:11+0200,2019-06-14T06:02:11+0200,,75,75,78,102,CODE_SMELL,apache
AWsxQspnH8jXfOA1yQCR,apache_incubator-tamaya-extensions:examples/06-distributed/src/main/java/org/apache/tamaya/examples/distributed/ContentManagerPanel.java,apache_incubator-tamaya-extensions,java:S110,OPEN,,MAJOR,This class has 6 parents which is greater than 5 authorized.,46,08e80b2b956678bba13fdfa6fb744399,,4h30min,2019-06-07T11:25:24+0200,2019-06-07T11:25:24+0200,,46,46,6,25,CODE_SMELL,apache
AWsxQspnH8jXfOA1yQCS,apache_incubator-tamaya-extensions:examples/06-distributed/src/main/java/org/apache/tamaya/examples/distributed/ContentManagerPanel.java,apache_incubator-tamaya-extensions,java:S1450,OPEN,,MINOR,"Remove the ""config"" field and declare it as a local variable in the relevant methods.",53,63b9309647c3d43ed3355d85c401f94e,,5min,2019-06-07T11:25:24+0200,2019-06-07T11:25:24+0200,,53,53,26,32,CODE_SMELL,apache
AWsxQspnH8jXfOA1yQCT,apache_incubator-tamaya-extensions:examples/06-distributed/src/main/java/org/apache/tamaya/examples/distributed/ContentManagerPanel.java,apache_incubator-tamaya-extensions,java:S1602,OPEN,,MINOR,Remove useless curly braces around statement,89,ac69082dfa330c528f772d10f20d6540,,5min,2019-06-07T11:25:24+0200,2019-06-07T11:25:24+0200,,89,89,48,49,CODE_SMELL,apache
AWsxQspnH8jXfOA1yQCU,apache_incubator-tamaya-extensions:examples/06-distributed/src/main/java/org/apache/tamaya/examples/distributed/ContentManagerPanel.java,apache_incubator-tamaya-extensions,java:S2293,OPEN,,MINOR,"Replace the type specification in this constructor call with the diamond operator (""<>"").",111,18207e590004c81cd5e38535605ede5d,,1min,2019-06-07T11:25:24+0200,2019-06-07T11:25:24+0200,,111,111,50,58,CODE_SMELL,apache
AWsxQsptH8jXfOA1yQCV,apache_incubator-tamaya-extensions:examples/06-distributed/src/main/java/org/apache/tamaya/examples/distributed/Display.java,apache_incubator-tamaya-extensions,common-java:DuplicatedBlocks,OPEN,,MAJOR,2 duplicated blocks of code must be removed.,,,,30min,2019-06-07T11:25:24+0200,2019-06-07T11:25:24+0200,,,,,,CODE_SMELL,apache
AWsxQsptH8jXfOA1yQCZ,apache_incubator-tamaya-extensions:examples/06-distributed/src/main/java/org/apache/tamaya/examples/distributed/Display.java,apache_incubator-tamaya-extensions,java:S1450,OPEN,,MINOR,"Remove the ""scene"" field and declare it as a local variable in the relevant methods.",70,a4ec08a2b1875ba54dbe248fb8421525,,5min,2019-06-07T11:25:24+0200,2019-06-07T11:25:24+0200,,70,70,18,23,CODE_SMELL,apache
AWsxQsptH8jXfOA1yQCW,apache_incubator-tamaya-extensions:examples/06-distributed/src/main/java/org/apache/tamaya/examples/distributed/Display.java,apache_incubator-tamaya-extensions,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal ""title"" 3 times.",76,49c9cd3375e9ac0ffb5fc0b22eeb0e1c,,8min,2019-06-07T11:25:24+0200,2019-06-07T11:25:24+0200,,76,76,49,56,CODE_SMELL,apache
