key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AWzKgdbeK8VkDi59Mp56,apache_incubator-tamaya-extensions:modules/resolver/src/main/java/org/apache/tamaya/resolver/internal/DefaultExpressionEvaluator.java,apache_incubator-tamaya-extensions,java:S1117,OPEN,,MAJOR,"Rename ""resolvers"" which hides the field declared at line 41.",210.0,989bf704fde5f8e04cab996c1819347e,,5min,2019-08-25 22:38:59+02:00,2019-08-25 22:38:59+02:00,,210.0,210.0,39.0,48.0,CODE_SMELL,apache,1566769139,1566769139,0.0,0,5
AWtUMkx_JY8hAiaflHk8,apache_incubator-tamaya-extensions:examples/06-distributed/src/main/java/org/apache/tamaya/examples/distributed/DisplayManager.java,apache_incubator-tamaya-extensions,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal ""displays."" 6 times.",129.0,d9ef6cacaea67825be73d622c89129b5,,14min,2019-06-14 06:02:11+02:00,2019-06-14 06:02:11+02:00,,129.0,129.0,23.0,34.0,CODE_SMELL,apache,1560488531,1560488531,0.0,0,14
AWtUMkjgJY8hAiaflHk7,apache_incubator-tamaya-extensions:modules/etcd/src/main/java/org/apache/tamaya/etcd/EtcdAccessor.java,apache_incubator-tamaya-extensions,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal ""value"" 6 times.",179.0,d805c2356c4c0016026189082baad500,,14min,2019-06-14 06:02:11+02:00,2019-06-14 06:02:11+02:00,,179.0,179.0,45.0,52.0,CODE_SMELL,apache,1560488531,1560488531,0.0,0,14
AWtUMkLyJY8hAiaflHk5,apache_incubator-tamaya-extensions:modules/formats/json/src/main/java/org/apache/tamaya/json/JSONFormat.java,apache_incubator-tamaya-extensions,java:S4719,OPEN,,MINOR,Replace Charset.forName() call with StandardCharsets.UTF_8,75.0,add1980a674362cb91d9e5b70bfcdf9e,,1min,2019-06-14 06:02:11+02:00,2019-06-14 06:02:11+02:00,,75.0,75.0,78.0,102.0,CODE_SMELL,apache,1560488531,1560488531,0.0,0,1
AWsxQspnH8jXfOA1yQCR,apache_incubator-tamaya-extensions:examples/06-distributed/src/main/java/org/apache/tamaya/examples/distributed/ContentManagerPanel.java,apache_incubator-tamaya-extensions,java:S110,OPEN,,MAJOR,This class has 6 parents which is greater than 5 authorized.,46.0,08e80b2b956678bba13fdfa6fb744399,,4h30min,2019-06-07 11:25:24+02:00,2019-06-07 11:25:24+02:00,,46.0,46.0,6.0,25.0,CODE_SMELL,apache,1559903124,1559903124,0.0,0,270
AWsxQspnH8jXfOA1yQCS,apache_incubator-tamaya-extensions:examples/06-distributed/src/main/java/org/apache/tamaya/examples/distributed/ContentManagerPanel.java,apache_incubator-tamaya-extensions,java:S1450,OPEN,,MINOR,"Remove the ""config"" field and declare it as a local variable in the relevant methods.",53.0,63b9309647c3d43ed3355d85c401f94e,,5min,2019-06-07 11:25:24+02:00,2019-06-07 11:25:24+02:00,,53.0,53.0,26.0,32.0,CODE_SMELL,apache,1559903124,1559903124,0.0,0,5
AWsxQspnH8jXfOA1yQCT,apache_incubator-tamaya-extensions:examples/06-distributed/src/main/java/org/apache/tamaya/examples/distributed/ContentManagerPanel.java,apache_incubator-tamaya-extensions,java:S1602,OPEN,,MINOR,Remove useless curly braces around statement,89.0,ac69082dfa330c528f772d10f20d6540,,5min,2019-06-07 11:25:24+02:00,2019-06-07 11:25:24+02:00,,89.0,89.0,48.0,49.0,CODE_SMELL,apache,1559903124,1559903124,0.0,0,5
AWsxQspnH8jXfOA1yQCU,apache_incubator-tamaya-extensions:examples/06-distributed/src/main/java/org/apache/tamaya/examples/distributed/ContentManagerPanel.java,apache_incubator-tamaya-extensions,java:S2293,OPEN,,MINOR,"Replace the type specification in this constructor call with the diamond operator (""<>"").",111.0,18207e590004c81cd5e38535605ede5d,,1min,2019-06-07 11:25:24+02:00,2019-06-07 11:25:24+02:00,,111.0,111.0,50.0,58.0,CODE_SMELL,apache,1559903124,1559903124,0.0,0,1
AWsxQsptH8jXfOA1yQCV,apache_incubator-tamaya-extensions:examples/06-distributed/src/main/java/org/apache/tamaya/examples/distributed/Display.java,apache_incubator-tamaya-extensions,common-java:DuplicatedBlocks,OPEN,,MAJOR,2 duplicated blocks of code must be removed.,,,,30min,2019-06-07 11:25:24+02:00,2019-06-07 11:25:24+02:00,,,,,,CODE_SMELL,apache,1559903124,1559903124,0.0,0,30
AWsxQsptH8jXfOA1yQCZ,apache_incubator-tamaya-extensions:examples/06-distributed/src/main/java/org/apache/tamaya/examples/distributed/Display.java,apache_incubator-tamaya-extensions,java:S1450,OPEN,,MINOR,"Remove the ""scene"" field and declare it as a local variable in the relevant methods.",70.0,a4ec08a2b1875ba54dbe248fb8421525,,5min,2019-06-07 11:25:24+02:00,2019-06-07 11:25:24+02:00,,70.0,70.0,18.0,23.0,CODE_SMELL,apache,1559903124,1559903124,0.0,0,5
