key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXdwfkQPvQYo9bTgn53L,apache_isis:core/config/src/main/java/org/apache/isis/core/config/JdoDatanucleus.java,apache_isis,java:S1133,OPEN,,INFO,Do not forget to remove this deprecated code someday.,28,fa0cc6fc32a0477f2f2292d124b2b6e5,,10min,2021-02-05T05:36:52+0100,2021-02-05T05:36:52+0100,,28,28,6,20,CODE_SMELL,apache
AXdwfkQPvQYo9bTgn53M,apache_isis:core/config/src/main/java/org/apache/isis/core/config/JdoDatanucleus.java,apache_isis,java:S1123,OPEN,,MAJOR,Add the missing @deprecated Javadoc tag.,28,fa0cc6fc32a0477f2f2292d124b2b6e5,,5min,2021-02-05T05:36:52+0100,2021-02-05T05:36:52+0100,,28,28,6,20,CODE_SMELL,apache
AXdwfkcMvQYo9bTgn53N,apache_isis:persistence/jdo/datanucleus/src/main/java/org/apache/isis/persistence/jdo/datanucleus/config/DnSettings.java,apache_isis,java:S125,OPEN,,MAJOR,This block of commented-out lines of code should be removed.,104,0d388191ddc26b2907e5c30c1e03aa12,,5min,2021-02-05T05:36:52+0100,2021-02-05T05:36:52+0100,,104,104,14,103,CODE_SMELL,apache
AXdwfkcMvQYo9bTgn53O,apache_isis:persistence/jdo/datanucleus/src/main/java/org/apache/isis/persistence/jdo/datanucleus/config/DnSettings.java,apache_isis,java:S125,OPEN,,MAJOR,This block of commented-out lines of code should be removed.,120,24c6fa01e16523d81fb3ca93d769376a,,5min,2021-02-05T05:36:52+0100,2021-02-05T05:36:52+0100,,120,120,14,35,CODE_SMELL,apache
AXdrVr6_HzJS5cfsyzW7,apache_isis:api/applib/src/main/java/org/apache/isis/applib/services/wrapper/control/ExecutionMode.java,apache_isis,java:S1128,OPEN,,MINOR,Remove this unused import 'org.apache.isis.commons.collections.ImmutableEnumSet'.,22,b5398b6e0300855929f4730399fc8453,,2min,2021-02-04T05:35:33+0100,2021-02-04T05:35:33+0100,,22,22,0,60,CODE_SMELL,apache
AXdmM9de_NHbVYE_fFf3,apache_isis:commons/src/main/java/org/apache/isis/commons/collections/Can.java,apache_isis,java:S1161,OPEN,,MAJOR,"Add the ""@Override"" annotation above this method signature",401,832b464a742020ad86af69a65c4fd185,,5min,2021-02-03T05:39:15+0100,2021-02-03T05:39:15+0100,,401,401,9,16,CODE_SMELL,apache
AXdmM9bW_NHbVYE_fFf1,apache_isis:commons/src/main/java/org/apache/isis/commons/collections/Can_Empty.java,apache_isis,java:S1186,OPEN,,CRITICAL,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",108,f6b552f725d135343894a7cd5f7135cb,,5min,2021-02-03T05:39:15+0100,2021-02-03T05:39:15+0100,,108,108,16,23,CODE_SMELL,apache
AXdmM9dF_NHbVYE_fFf2,apache_isis:commons/src/main/java/org/apache/isis/commons/collections/Can_Multiple.java,apache_isis,java:S2272,RESOLVED,FALSE-POSITIVE,MINOR,"Add a ""NoSuchElementException"" for iteration beyond the end of the collection.",117,5f534dabeed3e074bbc20afe8856650c,,5min,2021-02-03T05:39:15+0100,2021-02-05T07:03:47+0100,,117,117,31,35,BUG,apache
AXdhETB0ScgMkdT_VYRH,apache_isis:core/config/src/main/java/org/apache/isis/core/config/IsisConfiguration.java,apache_isis,java:S125,CLOSED,FIXED,MAJOR,This block of commented-out lines of code should be removed.,,c74003c4035979f813ed58682cec4e56,,5min,2021-02-02T05:43:30+0100,2021-02-05T05:36:52+0100,,1815,1815,18,58,CODE_SMELL,apache
AXdhETDuScgMkdT_VYRI,apache_isis:core/config/src/main/java/org/apache/isis/core/config/datasources/DataSourceIntrospectionService.java,apache_isis,java:S1128,CLOSED,FIXED,MINOR,Remove this unused import 'javax.inject.Inject'.,,8254bfcc4093a161b9de6234faeb3026,,2min,2021-02-02T05:43:30+0100,2021-02-05T05:36:52+0100,,24,24,0,27,CODE_SMELL,apache
