key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXdPvfxSxYDiaJy6G8Js,apache_jackrabbit-filevault:vault-core/src/main/java/org/apache/jackrabbit/vault/packaging/impl/PackagePropertiesImpl.java,apache_jackrabbit-filevault,java:S1135,OPEN,,INFO,Complete the task associated to this TODO comment.,221,756aabb87d0b0c19f2875ea127faed01,,,2021-01-29T03:41:41+0100,2021-01-29T03:41:41+0100,,221,221,0,47,CODE_SMELL,apache
AXZxPkp0lHDt9lYdE6Lr,apache_jackrabbit-filevault:vault-core/src/main/java/org/apache/jackrabbit/vault/util/RepositoryCopier.java,apache_jackrabbit-filevault,java:S2065,OPEN,,MINOR,"Remove the ""transient"" modifier from this field.",59,be1b2aa0ea3d4760e8efe028899b891b,,2min,2020-12-17T16:05:59+0100,2020-12-17T16:05:59+0100,,59,59,12,21,CODE_SMELL,apache
AXZxPkp0lHDt9lYdE6Ls,apache_jackrabbit-filevault:vault-core/src/main/java/org/apache/jackrabbit/vault/util/RepositoryCopier.java,apache_jackrabbit-filevault,java:S2065,OPEN,,MINOR,"Remove the ""transient"" modifier from this field.",61,9f4ef2842fda2dc37385a83b80bbbe3b,,2min,2020-12-17T16:05:59+0100,2020-12-17T16:05:59+0100,,61,61,12,21,CODE_SMELL,apache
AXZxPkp0lHDt9lYdE6Lt,apache_jackrabbit-filevault:vault-core/src/main/java/org/apache/jackrabbit/vault/util/RepositoryCopier.java,apache_jackrabbit-filevault,java:S2065,OPEN,,MINOR,"Remove the ""transient"" modifier from this field.",63,3b65e538ec4d05465701695e5bb49226,,2min,2020-12-17T16:05:59+0100,2020-12-17T16:05:59+0100,,63,63,12,21,CODE_SMELL,apache
AXZxPkp0lHDt9lYdE6Lu,apache_jackrabbit-filevault:vault-core/src/main/java/org/apache/jackrabbit/vault/util/RepositoryCopier.java,apache_jackrabbit-filevault,java:S2065,OPEN,,MINOR,"Remove the ""transient"" modifier from this field.",65,8058f8a0bf505899030a439ea753292f,,2min,2020-12-17T16:05:59+0100,2020-12-17T16:05:59+0100,,65,65,12,21,CODE_SMELL,apache
AXZxPkp0lHDt9lYdE6Lv,apache_jackrabbit-filevault:vault-core/src/main/java/org/apache/jackrabbit/vault/util/RepositoryCopier.java,apache_jackrabbit-filevault,java:S2065,OPEN,,MINOR,"Remove the ""transient"" modifier from this field.",67,da98e2c3efac010516b6af7395ca9b99,,2min,2020-12-17T16:05:59+0100,2020-12-17T16:05:59+0100,,67,67,12,21,CODE_SMELL,apache
AXZxPkp0lHDt9lYdE6Lw,apache_jackrabbit-filevault:vault-core/src/main/java/org/apache/jackrabbit/vault/util/RepositoryCopier.java,apache_jackrabbit-filevault,java:S2065,OPEN,,MINOR,"Remove the ""transient"" modifier from this field.",69,d0fac96dccc1d7337045848e7cf3aab3,,2min,2020-12-17T16:05:59+0100,2020-12-17T16:05:59+0100,,69,69,12,21,CODE_SMELL,apache
AXZxPkp0lHDt9lYdE6Lx,apache_jackrabbit-filevault:vault-core/src/main/java/org/apache/jackrabbit/vault/util/RepositoryCopier.java,apache_jackrabbit-filevault,java:S2065,OPEN,,MINOR,"Remove the ""transient"" modifier from this field.",71,6bd1c6c7f6e7e315524341934e862720,,2min,2020-12-17T16:05:59+0100,2020-12-17T16:05:59+0100,,71,71,12,21,CODE_SMELL,apache
AXZxPkp0lHDt9lYdE6Ly,apache_jackrabbit-filevault:vault-core/src/main/java/org/apache/jackrabbit/vault/util/RepositoryCopier.java,apache_jackrabbit-filevault,java:S2065,OPEN,,MINOR,"Remove the ""transient"" modifier from this field.",73,5cbad3456ac2d4e8e904cc9f0cd6897c,,2min,2020-12-17T16:05:59+0100,2020-12-17T16:05:59+0100,,73,73,12,21,CODE_SMELL,apache
AXZxPkp0lHDt9lYdE6Lz,apache_jackrabbit-filevault:vault-core/src/main/java/org/apache/jackrabbit/vault/util/RepositoryCopier.java,apache_jackrabbit-filevault,java:S2065,OPEN,,MINOR,"Remove the ""transient"" modifier from this field.",82,d35d8e10368f1161b0441b3bece66aeb,,2min,2020-12-17T16:05:59+0100,2020-12-17T16:05:59+0100,,82,82,12,21,CODE_SMELL,apache
