key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXdAI_FTENBsy5wNtpxG,JMeter:src/components/src/main/java/org/apache/jmeter/visualizers/TableVisualizer.java,JMeter,java:S2293,OPEN,,MINOR,"Replace the type specification in this constructor call with the diamond operator (""<>"").",246,cf6d59aec366daf26816f0106d953735,,1min,2021-01-26T20:13:32+0100,2021-01-26T20:13:32+0100,,246,246,74,82,CODE_SMELL,apache
AXdAI_FTENBsy5wNtpxH,JMeter:src/components/src/main/java/org/apache/jmeter/visualizers/TableVisualizer.java,JMeter,java:S1612,OPEN,,MINOR,Replace this lambda with a method reference.,246,cf6d59aec366daf26816f0106d953735,,2min,2021-01-26T20:13:32+0100,2021-01-26T20:13:32+0100,,246,246,85,87,CODE_SMELL,apache
AXdAJA1-ENBsy5wNtpxJ,JMeter:src/jorphan/src/main/java/org/apache/jorphan/util/AlphaNumericComparator.java,JMeter,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,49,7a1143d6df432e62211cf08b61c08614,,7min,2021-01-26T19:56:28+0100,2021-01-26T20:13:32+0100,,49,49,15,22,CODE_SMELL,apache
AXdAJA1ZENBsy5wNtpxI,JMeter:src/jorphan/src/main/java/org/apache/jorphan/util/AlphaNumericKeyComparator.java,JMeter,java:S2293,OPEN,,MINOR,"Replace the type specification in this constructor call with the diamond operator (""<>"").",36,0bf3effd1e88ce0ff44b87267047d3a4,,1min,2021-01-26T18:36:22+0100,2021-01-26T20:13:32+0100,,36,36,52,79,CODE_SMELL,apache
AXauX4CQ5a0oeSQMGqER,JMeter:src/core/src/main/java/org/apache/jmeter/gui/action/LoadRecentProject.java,JMeter,java:S1612,CLOSED,FIXED,MINOR,Replace this lambda with a method reference.,,d5be7b5d1dbd07c6856c78466584598f,,2min,2020-12-29T12:56:46+0100,2021-01-02T12:45:26+0100,,125,125,28,30,CODE_SMELL,apache
AXauX4CQ5a0oeSQMGqES,JMeter:src/core/src/main/java/org/apache/jmeter/gui/action/LoadRecentProject.java,JMeter,java:S1612,CLOSED,FIXED,MINOR,Replace this lambda with method reference 'Objects::nonNull'.,,ea67be3673487703c0047b454eff9e0e,,2min,2020-12-29T12:56:46+0100,2021-01-02T12:45:26+0100,,126,126,26,28,CODE_SMELL,apache
AXaQcjxOhFtjHKvxvAC8,JMeter:src/protocol/http/src/test/java/org/apache/jmeter/curl/BasicCurlParserTest.java,JMeter,java:S5786,OPEN,,INFO,Remove this 'public' modifier.,448,009e957573a88f05c83bb44d257f03c5,,2min,2020-12-23T17:28:23+0100,2020-12-23T17:28:23+0100,,448,448,4,10,CODE_SMELL,apache
AXaQZYpC8L9hkQskiz56,JMeter:src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/curl/BasicCurlParser.java,JMeter,java:S3626,OPEN,,MINOR,Remove this redundant jump.,212,505b97969baa28c3f607a38ee02f4f2d,,1min,2020-12-23T17:11:57+0100,2020-12-23T17:11:57+0100,,212,212,16,23,CODE_SMELL,apache
AXaQZYoY8L9hkQskiz54,JMeter:src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/gui/action/ParseCurlCommandAction.java,JMeter,java:S1068,CLOSED,FIXED,MAJOR,"Remove this unused ""TYPE_FORM"" private field.",,9ddb8fc6461586698c252b6263237426,,5min,2020-12-23T17:11:57+0100,2021-01-15T22:51:26+0100,,122,122,32,41,CODE_SMELL,apache
AXaQZYoY8L9hkQskiz53,JMeter:src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/gui/action/ParseCurlCommandAction.java,JMeter,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.,529,267d3a3b0224e3bcdfb3698b40242e90,,14min,2020-12-23T17:11:57+0100,2020-12-23T17:11:57+0100,,529,529,17,28,CODE_SMELL,apache
AXaQZYi18L9hkQskiz50,JMeter:src/protocol/http/src/test/java/org/apache/jmeter/curl/BasicCurlParserTest.java,JMeter,java:S5786,OPEN,,INFO,Remove this 'public' modifier.,325,c42c09b1eb2b5abf0fa4087aabad095c,,2min,2020-12-23T17:11:57+0100,2020-12-23T17:11:57+0100,,325,325,4,10,CODE_SMELL,apache
AXaQZYi18L9hkQskiz51,JMeter:src/protocol/http/src/test/java/org/apache/jmeter/curl/BasicCurlParserTest.java,JMeter,java:S5786,OPEN,,INFO,Remove this 'public' modifier.,438,b04c977e81120c217fd47f171cbbd5c1,,2min,2020-12-23T17:11:57+0100,2020-12-23T17:11:57+0100,,438,438,4,10,CODE_SMELL,apache
AXaQZYi18L9hkQskiz52,JMeter:src/protocol/http/src/test/java/org/apache/jmeter/curl/BasicCurlParserTest.java,JMeter,java:S5786,OPEN,,INFO,Remove this 'public' modifier.,492,9f592d9ceb7735e46a477326d311317f,,2min,2020-12-23T17:11:57+0100,2020-12-23T17:11:57+0100,,492,492,4,10,CODE_SMELL,apache
AXaQZYo28L9hkQskiz55,JMeter:src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/curl/FileArgumentHolder.java,JMeter,java:S1116,CLOSED,FIXED,MINOR,Remove this empty statement.,,2145c1b6992c0d519ad223f91671329b,,2min,2020-12-23T16:48:16+0100,2021-01-02T12:45:26+0100,,33,33,5,6,CODE_SMELL,apache
AXaKCoU88_A8sB_0Rc70,JMeter:src/protocol/http/src/test/java/org/apache/jmeter/curl/BasicCurlParserTest.java,JMeter,java:S5786,OPEN,,INFO,Remove this 'public' modifier.,458,e421886ee7692ab66c3838d30787bf80,,2min,2020-12-22T11:35:15+0100,2020-12-22T11:35:15+0100,,458,458,4,10,CODE_SMELL,apache
