key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXdAI_FTENBsy5wNtpxG,JMeter:src/components/src/main/java/org/apache/jmeter/visualizers/TableVisualizer.java,JMeter,java:S2293,OPEN,,MINOR,"Replace the type specification in this constructor call with the diamond operator (""<>"").",246.0,cf6d59aec366daf26816f0106d953735,,1min,2021-01-26 20:13:32+01:00,2021-01-26 20:13:32+01:00,,246.0,246.0,74.0,82.0,CODE_SMELL,apache,1611688412,1611688412,0.0,0,1
AXdAI_FTENBsy5wNtpxH,JMeter:src/components/src/main/java/org/apache/jmeter/visualizers/TableVisualizer.java,JMeter,java:S1612,OPEN,,MINOR,Replace this lambda with a method reference.,246.0,cf6d59aec366daf26816f0106d953735,,2min,2021-01-26 20:13:32+01:00,2021-01-26 20:13:32+01:00,,246.0,246.0,85.0,87.0,CODE_SMELL,apache,1611688412,1611688412,0.0,0,2
AXdAJA1-ENBsy5wNtpxJ,JMeter:src/jorphan/src/main/java/org/apache/jorphan/util/AlphaNumericComparator.java,JMeter,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,49.0,7a1143d6df432e62211cf08b61c08614,,7min,2021-01-26 19:56:28+01:00,2021-01-26 20:13:32+01:00,,49.0,49.0,15.0,22.0,CODE_SMELL,apache,1611687388,1611688412,1.0,0,7
AXdAJA1ZENBsy5wNtpxI,JMeter:src/jorphan/src/main/java/org/apache/jorphan/util/AlphaNumericKeyComparator.java,JMeter,java:S2293,OPEN,,MINOR,"Replace the type specification in this constructor call with the diamond operator (""<>"").",36.0,0bf3effd1e88ce0ff44b87267047d3a4,,1min,2021-01-26 18:36:22+01:00,2021-01-26 20:13:32+01:00,,36.0,36.0,52.0,79.0,CODE_SMELL,apache,1611682582,1611688412,1.0,3,1
AXauX4CQ5a0oeSQMGqER,JMeter:src/core/src/main/java/org/apache/jmeter/gui/action/LoadRecentProject.java,JMeter,java:S1612,CLOSED,FIXED,MINOR,Replace this lambda with a method reference.,,d5be7b5d1dbd07c6856c78466584598f,,2min,2020-12-29 12:56:46+01:00,2021-01-02 12:45:26+01:00,,125.0,125.0,28.0,30.0,CODE_SMELL,apache,1609243006,1609587926,4.0,9,2
AXauX4CQ5a0oeSQMGqES,JMeter:src/core/src/main/java/org/apache/jmeter/gui/action/LoadRecentProject.java,JMeter,java:S1612,CLOSED,FIXED,MINOR,Replace this lambda with method reference 'Objects::nonNull'.,,ea67be3673487703c0047b454eff9e0e,,2min,2020-12-29 12:56:46+01:00,2021-01-02 12:45:26+01:00,,126.0,126.0,26.0,28.0,CODE_SMELL,apache,1609243006,1609587926,4.0,9,2
AXaQcjxOhFtjHKvxvAC8,JMeter:src/protocol/http/src/test/java/org/apache/jmeter/curl/BasicCurlParserTest.java,JMeter,java:S5786,OPEN,,INFO,Remove this 'public' modifier.,448.0,009e957573a88f05c83bb44d257f03c5,,2min,2020-12-23 17:28:23+01:00,2020-12-23 17:28:23+01:00,,448.0,448.0,4.0,10.0,CODE_SMELL,apache,1608740903,1608740903,0.0,0,2
AXaQZYpC8L9hkQskiz56,JMeter:src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/curl/BasicCurlParser.java,JMeter,java:S3626,OPEN,,MINOR,Remove this redundant jump.,212.0,505b97969baa28c3f607a38ee02f4f2d,,1min,2020-12-23 17:11:57+01:00,2020-12-23 17:11:57+01:00,,212.0,212.0,16.0,23.0,CODE_SMELL,apache,1608739917,1608739917,0.0,0,1
AXaQZYoY8L9hkQskiz54,JMeter:src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/gui/action/ParseCurlCommandAction.java,JMeter,java:S1068,CLOSED,FIXED,MAJOR,"Remove this unused ""TYPE_FORM"" private field.",,9ddb8fc6461586698c252b6263237426,,5min,2020-12-23 17:11:57+01:00,2021-01-15 22:51:26+01:00,,122.0,122.0,32.0,41.0,CODE_SMELL,apache,1608739917,1610747486,24.0,28,5
AXaQZYoY8L9hkQskiz53,JMeter:src/protocol/http/src/main/java/org/apache/jmeter/protocol/http/gui/action/ParseCurlCommandAction.java,JMeter,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.,529.0,267d3a3b0224e3bcdfb3698b40242e90,,14min,2020-12-23 17:11:57+01:00,2020-12-23 17:11:57+01:00,,529.0,529.0,17.0,28.0,CODE_SMELL,apache,1608739917,1608739917,0.0,0,14
