key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXbyfhCWQBzIXnvhYcdJ,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/auth/SecurityVerifier.java,jspwiki-builder,java:S116,OPEN,,MINOR,"Rename this field ""m_isSecurityPolicyConfigured"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",67,e52d8bc335b19382c4c6c4cdab386c5c,,2min,2021-01-11T18:26:31+0100,2021-01-11T18:26:31+0100,,67,67,34,62,CODE_SMELL,apache
AXbyfg-vQBzIXnvhYcdG,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/parser/CreoleToJSPWikiTranslator.java,jspwiki-builder,java:S6035,OPEN,,MAJOR,Replace this alternation with a character class.,464,e4aafac8a289d7694d8927ac55339ee2,,5min,2021-01-11T18:26:31+0100,2021-01-11T18:26:31+0100,,464,464,61,65,CODE_SMELL,apache
AXbyfg-vQBzIXnvhYcdH,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/parser/CreoleToJSPWikiTranslator.java,jspwiki-builder,java:S6035,OPEN,,MAJOR,Replace this alternation with a character class.,464,e4aafac8a289d7694d8927ac55339ee2,,5min,2021-01-11T18:26:31+0100,2021-01-11T18:26:31+0100,,464,464,51,55,CODE_SMELL,apache
AXbyfg-vQBzIXnvhYcdI,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/parser/CreoleToJSPWikiTranslator.java,jspwiki-builder,java:S5361,OPEN,,CRITICAL,"Replace this call to ""replaceAll()"" by a call to the ""replace()"" method.",471,95dc4bfa740a3a74612921c7b38b4f62,,2min,2021-01-11T18:26:31+0100,2021-01-11T18:26:31+0100,,471,471,46,56,CODE_SMELL,apache
AXaRoXFBIRxBfwAG97Ce,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/ui/admin/beans/ModuleBean.java,jspwiki-builder,java:S1128,CLOSED,FIXED,MINOR,Remove this unused import 'org.apache.wiki.WikiContext'.,,943859fdd1afdbce19476261814b8385,,2min,2020-12-23T23:00:36+0100,2021-01-11T18:26:31+0100,,22,22,0,35,CODE_SMELL,apache
AXaRSYzUIRxBfwAG9aGk,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/htmltowiki/XHtmlElementToWikiTranslator.java,jspwiki-builder,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 81 to the 15 allowed.,103,0f2700b4491c4ce050278eb43a0a435d,,1h11min,2020-12-23T21:24:22+0100,2020-12-23T21:24:22+0100,,103,103,17,22,CODE_SMELL,apache
AXaRSYkXIRxBfwAG9aGc,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/parser/CreoleToJSPWikiTranslator.java,jspwiki-builder,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 27 to the 15 allowed.,279,c61a50203d0b53d7a430926bce676772,,17min,2020-12-23T21:24:22+0100,2020-12-23T21:24:22+0100,,279,279,26,40,CODE_SMELL,apache
AXaRSYkXIRxBfwAG9aGd,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/parser/CreoleToJSPWikiTranslator.java,jspwiki-builder,java:S2293,OPEN,,MINOR,"Replace the type specification in this constructor call with the diamond operator (""<>"").",401,933ceb8750f5317fb2a8351e10299725,,1min,2020-12-23T21:24:22+0100,2020-12-23T21:24:22+0100,,401,401,56,66,CODE_SMELL,apache
AXaRSYkXIRxBfwAG9aGe,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/parser/CreoleToJSPWikiTranslator.java,jspwiki-builder,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.,418,1e61ad8d8e6f941b7c653d10885a33bd,,14min,2020-12-23T21:24:22+0100,2020-12-23T21:24:22+0100,,418,418,19,35,CODE_SMELL,apache
AXaRSYkXIRxBfwAG9aGf,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/parser/CreoleToJSPWikiTranslator.java,jspwiki-builder,java:S6035,OPEN,,MAJOR,Replace this alternation with a character class.,438,040c207105dcb71d440110352aa5ed39,,5min,2020-12-23T21:24:22+0100,2020-12-23T21:24:22+0100,,438,438,63,70,CODE_SMELL,apache
