key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXbyfhCWQBzIXnvhYcdJ,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/auth/SecurityVerifier.java,jspwiki-builder,java:S116,OPEN,,MINOR,"Rename this field ""m_isSecurityPolicyConfigured"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",67.0,e52d8bc335b19382c4c6c4cdab386c5c,,2min,2021-01-11 18:26:31+01:00,2021-01-11 18:26:31+01:00,,67.0,67.0,34.0,62.0,CODE_SMELL,apache,1610385991,1610385991,0.0,0,2
AXbyfg-vQBzIXnvhYcdG,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/parser/CreoleToJSPWikiTranslator.java,jspwiki-builder,java:S6035,OPEN,,MAJOR,Replace this alternation with a character class.,464.0,e4aafac8a289d7694d8927ac55339ee2,,5min,2021-01-11 18:26:31+01:00,2021-01-11 18:26:31+01:00,,464.0,464.0,61.0,65.0,CODE_SMELL,apache,1610385991,1610385991,0.0,0,5
AXbyfg-vQBzIXnvhYcdH,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/parser/CreoleToJSPWikiTranslator.java,jspwiki-builder,java:S6035,OPEN,,MAJOR,Replace this alternation with a character class.,464.0,e4aafac8a289d7694d8927ac55339ee2,,5min,2021-01-11 18:26:31+01:00,2021-01-11 18:26:31+01:00,,464.0,464.0,51.0,55.0,CODE_SMELL,apache,1610385991,1610385991,0.0,0,5
AXbyfg-vQBzIXnvhYcdI,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/parser/CreoleToJSPWikiTranslator.java,jspwiki-builder,java:S5361,OPEN,,CRITICAL,"Replace this call to ""replaceAll()"" by a call to the ""replace()"" method.",471.0,95dc4bfa740a3a74612921c7b38b4f62,,2min,2021-01-11 18:26:31+01:00,2021-01-11 18:26:31+01:00,,471.0,471.0,46.0,56.0,CODE_SMELL,apache,1610385991,1610385991,0.0,0,2
AXaRoXFBIRxBfwAG97Ce,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/ui/admin/beans/ModuleBean.java,jspwiki-builder,java:S1128,CLOSED,FIXED,MINOR,Remove this unused import 'org.apache.wiki.WikiContext'.,,943859fdd1afdbce19476261814b8385,,2min,2020-12-23 23:00:36+01:00,2021-01-11 18:26:31+01:00,,22.0,22.0,0.0,35.0,CODE_SMELL,apache,1608760836,1610385991,19.0,23,2
AXaRSYzUIRxBfwAG9aGk,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/htmltowiki/XHtmlElementToWikiTranslator.java,jspwiki-builder,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 81 to the 15 allowed.,103.0,0f2700b4491c4ce050278eb43a0a435d,,1h11min,2020-12-23 21:24:22+01:00,2020-12-23 21:24:22+01:00,,103.0,103.0,17.0,22.0,CODE_SMELL,apache,1608755062,1608755062,0.0,0,71
AXaRSYkXIRxBfwAG9aGc,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/parser/CreoleToJSPWikiTranslator.java,jspwiki-builder,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 27 to the 15 allowed.,279.0,c61a50203d0b53d7a430926bce676772,,17min,2020-12-23 21:24:22+01:00,2020-12-23 21:24:22+01:00,,279.0,279.0,26.0,40.0,CODE_SMELL,apache,1608755062,1608755062,0.0,0,17
AXaRSYkXIRxBfwAG9aGd,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/parser/CreoleToJSPWikiTranslator.java,jspwiki-builder,java:S2293,OPEN,,MINOR,"Replace the type specification in this constructor call with the diamond operator (""<>"").",401.0,933ceb8750f5317fb2a8351e10299725,,1min,2020-12-23 21:24:22+01:00,2020-12-23 21:24:22+01:00,,401.0,401.0,56.0,66.0,CODE_SMELL,apache,1608755062,1608755062,0.0,0,1
AXaRSYkXIRxBfwAG9aGe,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/parser/CreoleToJSPWikiTranslator.java,jspwiki-builder,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.,418.0,1e61ad8d8e6f941b7c653d10885a33bd,,14min,2020-12-23 21:24:22+01:00,2020-12-23 21:24:22+01:00,,418.0,418.0,19.0,35.0,CODE_SMELL,apache,1608755062,1608755062,0.0,0,14
AXaRSYkXIRxBfwAG9aGf,jspwiki-builder:jspwiki-main/src/main/java/org/apache/wiki/parser/CreoleToJSPWikiTranslator.java,jspwiki-builder,java:S6035,OPEN,,MAJOR,Replace this alternation with a character class.,438.0,040c207105dcb71d440110352aa5ed39,,5min,2020-12-23 21:24:22+01:00,2020-12-23 21:24:22+01:00,,438.0,438.0,63.0,70.0,CODE_SMELL,apache,1608755062,1608755062,0.0,0,5
