key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXdPOOXdMzpneQ-0uf9R,apache_openmeetings:openmeetings-webservice/src/main/java/org/apache/openmeetings/webservice/NetTestWebService.java,apache_openmeetings,java:S1444,CLOSED,FIXED,MINOR,"Make this ""public static maxClients"" field final",,670d0eccdf737ea8f020a0167ec316ef,,20min,2021-01-29T18:33:12+0100,2021-02-03T16:18:15+0100,,60,60,19,29,CODE_SMELL,apache
AXdPOOXdMzpneQ-0uf9S,apache_openmeetings:openmeetings-webservice/src/main/java/org/apache/openmeetings/webservice/NetTestWebService.java,apache_openmeetings,java:S1104,CLOSED,FIXED,MINOR,Make maxClients a static final constant or non-public and provide accessors if needed.,,670d0eccdf737ea8f020a0167ec316ef,,10min,2021-01-29T18:33:12+0100,2021-02-03T16:18:15+0100,,60,60,19,29,CODE_SMELL,apache
AXdPOOXdMzpneQ-0uf9T,apache_openmeetings:openmeetings-webservice/src/main/java/org/apache/openmeetings/webservice/NetTestWebService.java,apache_openmeetings,java:S2696,RESOLVED,FALSE-POSITIVE,CRITICAL,"Make the enclosing method ""static"" or remove this set.",161,55ae51bea102adb0e04c92d6422976ed,,20min,2021-01-29T18:33:12+0100,2021-02-03T14:49:02+0100,,161,161,2,12,CODE_SMELL,apache
AXdOlp4VJAuKTBMEt6j_,apache_openmeetings:openmeetings-web/src/main/java/org/apache/openmeetings/web/util/FileItemResourceReference.java,apache_openmeetings,java:S2160,OPEN,,MINOR,"Override the ""equals"" method in this class.",45,5e816a96debbd32c05375f826113704f,,30min,2021-01-29T15:35:52+0100,2021-01-29T15:35:52+0100,,45,45,22,47,CODE_SMELL,apache
AXdDAY-NoZkrqI20e5XT,apache_openmeetings:openmeetings-db/src/main/java/org/apache/openmeetings/db/dao/label/LabelDao.java,apache_openmeetings,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal ""rangeStart"" 3 times.",91,38126a8fdd2da2c10d50423e6b15484d,,8min,2021-01-27T09:37:20+0100,2021-01-27T09:37:20+0100,,91,91,18,30,CODE_SMELL,apache
AXcTfA3vQSlARQbF6McF,apache_openmeetings:openmeetings-web/src/main/java/org/apache/openmeetings/web/room/RoomPanel.html,apache_openmeetings,Web:S1135,CLOSED,FIXED,INFO,"Complete the task associated to this ""TODO"" comment.",,c4bb026bbbf5d4ea1d122d84adf40f96,,,2021-01-18T04:11:03+0100,2021-01-21T06:37:10+0100,,68,68,0,62,CODE_SMELL,apache
AXcTfA3vQSlARQbF6McG,apache_openmeetings:openmeetings-web/src/main/java/org/apache/openmeetings/web/room/RoomPanel.html,apache_openmeetings,Web:S1134,CLOSED,FIXED,MAJOR,"Take the required action to fix the issue indicated by this ""FIXME"" comment.",,c4bb026bbbf5d4ea1d122d84adf40f96,,,2021-01-18T04:11:03+0100,2021-01-21T06:37:10+0100,,68,68,0,62,CODE_SMELL,apache
AXa3ABlOLxJYrRFUu3YM,apache_openmeetings:openmeetings-web/src/main/java/org/apache/openmeetings/web/common/tree/FileTreePanel.java,apache_openmeetings,java:S110,OPEN,,MAJOR,This class has 6 parents which is greater than 5 authorized.,302,7585129e6000376d2f8bff1c80eae0fc,,4h30min,2020-12-31T05:10:51+0100,2020-12-31T05:10:51+0100,,302,302,33,36,CODE_SMELL,apache
AXa3ABzILxJYrRFUu3YN,apache_openmeetings:openmeetings-web/src/main/java/org/apache/openmeetings/web/room/RoomPanel.java,apache_openmeetings,java:S110,OPEN,,MAJOR,This class has 7 parents which is greater than 5 authorized.,420,05257da9fcb9c3389d206343f5d37e38,,5h,2020-12-31T05:10:51+0100,2020-12-31T05:10:51+0100,,420,420,14,17,CODE_SMELL,apache
AXa3ABz1LxJYrRFUu3YO,apache_openmeetings:openmeetings-web/src/main/java/org/apache/openmeetings/web/room/menu/SipDialerDialog.java,apache_openmeetings,java:S110,OPEN,,MAJOR,This class has 9 parents which is greater than 5 authorized.,85,f0ac3927bf3322e22882acf99ac5933b,,6h,2020-12-31T05:10:51+0100,2020-12-31T05:10:51+0100,,85,85,12,15,CODE_SMELL,apache
AXaLSXa8YURYRAOe-GIX,apache_openmeetings:openmeetings-core/src/main/java/org/apache/openmeetings/core/remote/AbstractStream.java,apache_openmeetings,java:S5411,CLOSED,FIXED,MINOR,Use the primitive boolean expression here.,,e0ba5e219e5d6713b6c41e92a2582ad8,,5min,2020-12-22T17:25:43+0100,2021-01-18T04:11:03+0100,,54,54,7,11,CODE_SMELL,apache
AXaLSXc9YURYRAOe-GIY,apache_openmeetings:openmeetings-core/src/main/java/org/apache/openmeetings/core/remote/KStream.java,apache_openmeetings,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,107,03b140a5116e70bfe649db7ac8b3f5f1,,6min,2020-12-22T17:25:43+0100,2020-12-22T17:25:43+0100,,107,107,13,27,CODE_SMELL,apache
