key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXdPOOXdMzpneQ-0uf9R,apache_openmeetings:openmeetings-webservice/src/main/java/org/apache/openmeetings/webservice/NetTestWebService.java,apache_openmeetings,java:S1444,CLOSED,FIXED,MINOR,"Make this ""public static maxClients"" field final",,670d0eccdf737ea8f020a0167ec316ef,,20min,2021-01-29 18:33:12+01:00,2021-02-03 16:18:15+01:00,,60.0,60.0,19.0,29.0,CODE_SMELL,apache,1611941592,1612365495,5.0,7,20
AXdPOOXdMzpneQ-0uf9S,apache_openmeetings:openmeetings-webservice/src/main/java/org/apache/openmeetings/webservice/NetTestWebService.java,apache_openmeetings,java:S1104,CLOSED,FIXED,MINOR,Make maxClients a static final constant or non-public and provide accessors if needed.,,670d0eccdf737ea8f020a0167ec316ef,,10min,2021-01-29 18:33:12+01:00,2021-02-03 16:18:15+01:00,,60.0,60.0,19.0,29.0,CODE_SMELL,apache,1611941592,1612365495,5.0,7,10
AXdPOOXdMzpneQ-0uf9T,apache_openmeetings:openmeetings-webservice/src/main/java/org/apache/openmeetings/webservice/NetTestWebService.java,apache_openmeetings,java:S2696,RESOLVED,FALSE-POSITIVE,CRITICAL,"Make the enclosing method ""static"" or remove this set.",161.0,55ae51bea102adb0e04c92d6422976ed,,20min,2021-01-29 18:33:12+01:00,2021-02-03 14:49:02+01:00,,161.0,161.0,2.0,12.0,CODE_SMELL,apache,1611941592,1612360142,5.0,6,20
AXdOlp4VJAuKTBMEt6j_,apache_openmeetings:openmeetings-web/src/main/java/org/apache/openmeetings/web/util/FileItemResourceReference.java,apache_openmeetings,java:S2160,OPEN,,MINOR,"Override the ""equals"" method in this class.",45.0,5e816a96debbd32c05375f826113704f,,30min,2021-01-29 15:35:52+01:00,2021-01-29 15:35:52+01:00,,45.0,45.0,22.0,47.0,CODE_SMELL,apache,1611930952,1611930952,0.0,0,30
AXdDAY-NoZkrqI20e5XT,apache_openmeetings:openmeetings-db/src/main/java/org/apache/openmeetings/db/dao/label/LabelDao.java,apache_openmeetings,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal ""rangeStart"" 3 times.",91.0,38126a8fdd2da2c10d50423e6b15484d,,8min,2021-01-27 09:37:20+01:00,2021-01-27 09:37:20+01:00,,91.0,91.0,18.0,30.0,CODE_SMELL,apache,1611736640,1611736640,0.0,0,8
AXcTfA3vQSlARQbF6McF,apache_openmeetings:openmeetings-web/src/main/java/org/apache/openmeetings/web/room/RoomPanel.html,apache_openmeetings,Web:S1135,CLOSED,FIXED,INFO,"Complete the task associated to this ""TODO"" comment.",,c4bb026bbbf5d4ea1d122d84adf40f96,,,2021-01-18 04:11:03+01:00,2021-01-21 06:37:10+01:00,,68.0,68.0,0.0,62.0,CODE_SMELL,apache,1610939463,1611207430,4.0,4,0
AXcTfA3vQSlARQbF6McG,apache_openmeetings:openmeetings-web/src/main/java/org/apache/openmeetings/web/room/RoomPanel.html,apache_openmeetings,Web:S1134,CLOSED,FIXED,MAJOR,"Take the required action to fix the issue indicated by this ""FIXME"" comment.",,c4bb026bbbf5d4ea1d122d84adf40f96,,,2021-01-18 04:11:03+01:00,2021-01-21 06:37:10+01:00,,68.0,68.0,0.0,62.0,CODE_SMELL,apache,1610939463,1611207430,4.0,4,0
AXa3ABlOLxJYrRFUu3YM,apache_openmeetings:openmeetings-web/src/main/java/org/apache/openmeetings/web/common/tree/FileTreePanel.java,apache_openmeetings,java:S110,OPEN,,MAJOR,This class has 6 parents which is greater than 5 authorized.,302.0,7585129e6000376d2f8bff1c80eae0fc,,4h30min,2020-12-31 05:10:51+01:00,2020-12-31 05:10:51+01:00,,302.0,302.0,33.0,36.0,CODE_SMELL,apache,1609387851,1609387851,0.0,0,270
AXa3ABzILxJYrRFUu3YN,apache_openmeetings:openmeetings-web/src/main/java/org/apache/openmeetings/web/room/RoomPanel.java,apache_openmeetings,java:S110,OPEN,,MAJOR,This class has 7 parents which is greater than 5 authorized.,420.0,05257da9fcb9c3389d206343f5d37e38,,5h,2020-12-31 05:10:51+01:00,2020-12-31 05:10:51+01:00,,420.0,420.0,14.0,17.0,CODE_SMELL,apache,1609387851,1609387851,0.0,0,300
AXa3ABz1LxJYrRFUu3YO,apache_openmeetings:openmeetings-web/src/main/java/org/apache/openmeetings/web/room/menu/SipDialerDialog.java,apache_openmeetings,java:S110,OPEN,,MAJOR,This class has 9 parents which is greater than 5 authorized.,85.0,f0ac3927bf3322e22882acf99ac5933b,,6h,2020-12-31 05:10:51+01:00,2020-12-31 05:10:51+01:00,,85.0,85.0,12.0,15.0,CODE_SMELL,apache,1609387851,1609387851,0.0,0,360
