key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXcK5DD1rwViMNCilY2_,pdfbox-reactor:examples/src/main/java/org/apache/pdfbox/examples/util/SplitBooklet.java,pdfbox-reactor,java:S1220,CLOSED,FIXED,MINOR,Move this file to a named package.,,,,10min,2021-01-16T11:49:13+0100,2021-01-18T13:46:35+0100,,,,,,CODE_SMELL,apache
AXcK5DD1rwViMNCilY3A,pdfbox-reactor:examples/src/main/java/org/apache/pdfbox/examples/util/SplitBooklet.java,pdfbox-reactor,java:S106,OPEN,,MAJOR,Replace this use of System.out or System.err by a logger.,94,c70b52a75913145f69ffb7e2753ed1c9,,10min,2021-01-16T11:49:13+0100,2021-01-16T12:07:01+0100,,94,94,8,18,CODE_SMELL,apache
AXbnGUoj010dc17EcRP4,pdfbox-reactor:pdfbox/src/main/java/org/apache/pdfbox/pdfwriter/COSWriter.java,pdfbox-reactor,java:S1117,CLOSED,FIXED,MAJOR,"Rename ""xRefEntries"" which hides the field declared at line 196.",,5075fecfa1de84555261d39661efc764,,5min,2021-01-09T13:18:04+0100,2021-01-16T12:07:01+0100,,771,771,30,41,CODE_SMELL,apache
AXbnGUoj010dc17EcRP5,pdfbox-reactor:pdfbox/src/main/java/org/apache/pdfbox/pdfwriter/COSWriter.java,pdfbox-reactor,java:S1612,CLOSED,FIXED,MINOR,Replace this lambda with method reference 'NormalXReference.class::cast'.,,81d6e54ed8f91d185f577b60e0243fcd,,2min,2021-01-09T13:18:04+0100,2021-01-16T12:07:01+0100,,804,804,23,25,CODE_SMELL,apache
AXbH-5s06OPCK4dykgOk,pdfbox-reactor:examples/src/main/java/org/apache/pdfbox/examples/signature/ShowSignature.java,pdfbox-reactor,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 27 to the 15 allowed.,436,02c8537e22c00643ccb7184d391def41,,17min,2021-01-03T12:18:07+0100,2021-01-03T12:18:07+0100,,436,436,17,28,CODE_SMELL,apache
AXauzZgeg_74xlSpolQn,pdfbox-reactor:debugger/src/main/java/org/apache/pdfbox/debugger/PDFDebugger.java,pdfbox-reactor,java:S1125,CLOSED,FIXED,MINOR,"Remove the literal ""false"" boolean value.",,d904c76e06e56c47da50527793a54e34,,5min,2020-12-29T14:55:19+0100,2021-01-08T10:22:52+0100,,218,218,42,47,CODE_SMELL,apache
AXauPODCEuOqpBE3Ir6k,pdfbox-reactor:debugger/src/main/java/org/apache/pdfbox/debugger/PDFDebugger.java,pdfbox-reactor,java:S1125,CLOSED,FIXED,MINOR,"Remove the literal ""false"" boolean value.",,d36f13b16d8cafff6968295009b47b45,,5min,2020-12-29T12:18:50+0100,2021-01-08T10:22:52+0100,,289,289,36,41,CODE_SMELL,apache
AXauPODCEuOqpBE3Ir6l,pdfbox-reactor:debugger/src/main/java/org/apache/pdfbox/debugger/PDFDebugger.java,pdfbox-reactor,java:S1125,CLOSED,FIXED,MINOR,"Remove the literal ""false"" boolean value.",,d904c76e06e56c47da50527793a54e34,,5min,2020-12-29T12:18:50+0100,2021-01-08T10:22:52+0100,,294,294,42,47,CODE_SMELL,apache
AXak7FLvx03nnc9Nec0c,pdfbox-reactor:pdfbox/src/main/java/org/apache/pdfbox/pdfparser/COSParser.java,pdfbox-reactor,java:S1128,CLOSED,FIXED,MINOR,Remove this unused import 'org.apache.pdfbox.pdmodel.PDDocument'.,,6a1f802391930168635e14be5237212d,,2min,2020-12-27T16:54:40+0100,2021-01-08T10:22:52+0100,,50,50,0,44,CODE_SMELL,apache
AXafvDexYKrAQDTNIPIi,pdfbox-reactor:debugger/src/main/java/org/apache/pdfbox/debugger/PDFDebugger.java,pdfbox-reactor,java:S1128,CLOSED,FIXED,MINOR,Remove this unused import 'javax.swing.UnsupportedLookAndFeelException'.,,58f54a97e7f72765d5e3604d52b6fada,,2min,2020-12-26T16:44:04+0100,2021-01-08T10:22:52+0100,,69,69,0,51,CODE_SMELL,apache
AXafvDexYKrAQDTNIPIj,pdfbox-reactor:debugger/src/main/java/org/apache/pdfbox/debugger/PDFDebugger.java,pdfbox-reactor,java:S1874,OPEN,,MINOR,"Remove this use of ""getMenuShortcutKeyMask""; it is deprecated.",154,a1fe104bc2a9ac58e2f32875c552671b,,15min,2020-12-26T16:44:04+0100,2020-12-26T16:44:04+0100,,154,154,76,98,CODE_SMELL,apache
AXafhRHJuuvnolTTJ7is,pdfbox-reactor:pdfbox/src/main/java/org/apache/pdfbox/filter/CCITTFaxDecoderStream.java,pdfbox-reactor,java:S1068,OPEN,,MAJOR,"Remove this unused ""optionG3Fill"" private field.",61,eaad7e40a35d26e9635263743a2d9523,,5min,2020-12-26T15:43:51+0100,2020-12-26T15:43:51+0100,,61,61,26,38,CODE_SMELL,apache
AXafhRHJuuvnolTTJ7it,pdfbox-reactor:pdfbox/src/main/java/org/apache/pdfbox/filter/CCITTFaxDecoderStream.java,pdfbox-reactor,java:S1068,OPEN,,MAJOR,"Remove this unused ""optionUncompressed"" private field.",62,13548020541791bb6d8b935010e46f79,,5min,2020-12-26T15:43:51+0100,2020-12-26T15:43:51+0100,,62,62,26,44,CODE_SMELL,apache
AXZlwEQVlU8HMR7LZMYQ,pdfbox-reactor:pdfbox/src/main/java/org/apache/pdfbox/multipdf/PDFMergerUtility.java,pdfbox-reactor,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.,431,201d89c6a051ca5e7b77fe6cdfec4929,,9min,2020-12-15T08:12:09+0100,2020-12-15T10:30:19+0100,,431,431,17,37,CODE_SMELL,apache
AXZhNnNZ_zKhY-LjlYpB,pdfbox-reactor:fontbox/src/main/java/org/apache/fontbox/type1/Type1Lexer.java,pdfbox-reactor,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,401,fc81b360130dbe2284820df49099a0ab,,6min,2020-12-14T13:20:59+0100,2020-12-14T13:20:59+0100,,401,401,18,28,CODE_SMELL,apache
AXZaor76oBC7VRglepZT,pdfbox-reactor:pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/AppearanceGeneratorHelper.java,pdfbox-reactor,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,171,684d8e667ec71ce1d1312c4bbaae06d8,,7min,2020-12-13T06:42:28+0100,2020-12-13T06:42:28+0100,,171,171,16,34,CODE_SMELL,apache
