key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXcK5DD1rwViMNCilY2_,pdfbox-reactor:examples/src/main/java/org/apache/pdfbox/examples/util/SplitBooklet.java,pdfbox-reactor,java:S1220,CLOSED,FIXED,MINOR,Move this file to a named package.,,,,10min,2021-01-16 11:49:13+01:00,2021-01-18 13:46:35+01:00,,,,,,CODE_SMELL,apache,1610794153,1610973995,3.0,10,10
AXcK5DD1rwViMNCilY3A,pdfbox-reactor:examples/src/main/java/org/apache/pdfbox/examples/util/SplitBooklet.java,pdfbox-reactor,java:S106,OPEN,,MAJOR,Replace this use of System.out or System.err by a logger.,94.0,c70b52a75913145f69ffb7e2753ed1c9,,10min,2021-01-16 11:49:13+01:00,2021-01-16 12:07:01+01:00,,94.0,94.0,8.0,18.0,CODE_SMELL,apache,1610794153,1610795221,1.0,2,10
AXbnGUoj010dc17EcRP4,pdfbox-reactor:pdfbox/src/main/java/org/apache/pdfbox/pdfwriter/COSWriter.java,pdfbox-reactor,java:S1117,CLOSED,FIXED,MAJOR,"Rename ""xRefEntries"" which hides the field declared at line 196.",,5075fecfa1de84555261d39661efc764,,5min,2021-01-09 13:18:04+01:00,2021-01-16 12:07:01+01:00,,771.0,771.0,30.0,41.0,CODE_SMELL,apache,1610194684,1610795221,7.0,27,5
AXbnGUoj010dc17EcRP5,pdfbox-reactor:pdfbox/src/main/java/org/apache/pdfbox/pdfwriter/COSWriter.java,pdfbox-reactor,java:S1612,CLOSED,FIXED,MINOR,Replace this lambda with method reference 'NormalXReference.class::cast'.,,81d6e54ed8f91d185f577b60e0243fcd,,2min,2021-01-09 13:18:04+01:00,2021-01-16 12:07:01+01:00,,804.0,804.0,23.0,25.0,CODE_SMELL,apache,1610194684,1610795221,7.0,27,2
AXbH-5s06OPCK4dykgOk,pdfbox-reactor:examples/src/main/java/org/apache/pdfbox/examples/signature/ShowSignature.java,pdfbox-reactor,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 27 to the 15 allowed.,436.0,02c8537e22c00643ccb7184d391def41,,17min,2021-01-03 12:18:07+01:00,2021-01-03 12:18:07+01:00,,436.0,436.0,17.0,28.0,CODE_SMELL,apache,1609672687,1609672687,0.0,0,17
AXauzZgeg_74xlSpolQn,pdfbox-reactor:debugger/src/main/java/org/apache/pdfbox/debugger/PDFDebugger.java,pdfbox-reactor,java:S1125,CLOSED,FIXED,MINOR,"Remove the literal ""false"" boolean value.",,d904c76e06e56c47da50527793a54e34,,5min,2020-12-29 14:55:19+01:00,2021-01-08 10:22:52+01:00,,218.0,218.0,42.0,47.0,CODE_SMELL,apache,1609250119,1610097772,10.0,41,5
AXauPODCEuOqpBE3Ir6k,pdfbox-reactor:debugger/src/main/java/org/apache/pdfbox/debugger/PDFDebugger.java,pdfbox-reactor,java:S1125,CLOSED,FIXED,MINOR,"Remove the literal ""false"" boolean value.",,d36f13b16d8cafff6968295009b47b45,,5min,2020-12-29 12:18:50+01:00,2021-01-08 10:22:52+01:00,,289.0,289.0,36.0,41.0,CODE_SMELL,apache,1609240730,1610097772,10.0,45,5
AXauPODCEuOqpBE3Ir6l,pdfbox-reactor:debugger/src/main/java/org/apache/pdfbox/debugger/PDFDebugger.java,pdfbox-reactor,java:S1125,CLOSED,FIXED,MINOR,"Remove the literal ""false"" boolean value.",,d904c76e06e56c47da50527793a54e34,,5min,2020-12-29 12:18:50+01:00,2021-01-08 10:22:52+01:00,,294.0,294.0,42.0,47.0,CODE_SMELL,apache,1609240730,1610097772,10.0,45,5
AXak7FLvx03nnc9Nec0c,pdfbox-reactor:pdfbox/src/main/java/org/apache/pdfbox/pdfparser/COSParser.java,pdfbox-reactor,java:S1128,CLOSED,FIXED,MINOR,Remove this unused import 'org.apache.pdfbox.pdmodel.PDDocument'.,,6a1f802391930168635e14be5237212d,,2min,2020-12-27 16:54:40+01:00,2021-01-08 10:22:52+01:00,,50.0,50.0,0.0,44.0,CODE_SMELL,apache,1609084480,1610097772,12.0,64,2
AXafvDexYKrAQDTNIPIi,pdfbox-reactor:debugger/src/main/java/org/apache/pdfbox/debugger/PDFDebugger.java,pdfbox-reactor,java:S1128,CLOSED,FIXED,MINOR,Remove this unused import 'javax.swing.UnsupportedLookAndFeelException'.,,58f54a97e7f72765d5e3604d52b6fada,,2min,2020-12-26 16:44:04+01:00,2021-01-08 10:22:52+01:00,,69.0,69.0,0.0,51.0,CODE_SMELL,apache,1608997444,1610097772,13.0,71,2
AXafvDexYKrAQDTNIPIj,pdfbox-reactor:debugger/src/main/java/org/apache/pdfbox/debugger/PDFDebugger.java,pdfbox-reactor,java:S1874,OPEN,,MINOR,"Remove this use of ""getMenuShortcutKeyMask""; it is deprecated.",154.0,a1fe104bc2a9ac58e2f32875c552671b,,15min,2020-12-26 16:44:04+01:00,2020-12-26 16:44:04+01:00,,154.0,154.0,76.0,98.0,CODE_SMELL,apache,1608997444,1608997444,0.0,0,15
