key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXdv4VYH9QOveX66rXw6,apache_plc4x:plc4j/drivers/eip/src/main/java/org/apache/plc4x/java/eip/readwrite/field/EipField.java,apache_plc4x,java:S1192,OPEN,,CRITICAL,Use already-defined constant 'ELEMENTS' instead of duplicating its value here.,156,db9d2931e8f92bf49f3aa0a84dccec77,,4min,2021-02-05T02:47:35+0100,2021-02-05T02:47:35+0100,,156,156,52,63,CODE_SMELL,apache
AXdv4VXw9QOveX66rXw5,apache_plc4x:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/protocol/S7ProtocolLogic.java,apache_plc4x,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal ""Timeout during Connection establishing, closing channel..."" 3 times.",115,0b1b2cf811a0846849160556f2c3d8f4,,8min,2021-02-05T02:47:35+0100,2021-02-05T02:47:35+0100,,115,115,28,88,CODE_SMELL,apache
AXdv4VN89QOveX66rXww,apache_plc4x:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/driver/DriverTestsuiteRunner.java,apache_plc4x,java:S1128,OPEN,,MINOR,Remove this unused import 'java.io.InputStream'.,73,6f8654322123410341aa3598228f7734,,2min,2021-02-05T02:47:35+0100,2021-02-05T02:47:35+0100,,73,73,0,27,CODE_SMELL,apache
AXdv4VN89QOveX66rXwx,apache_plc4x:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/driver/DriverTestsuiteRunner.java,apache_plc4x,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,104,a05fa34a188621a77558daa48c6a8da5,,8min,2021-02-05T02:47:35+0100,2021-02-05T02:47:35+0100,,104,104,28,42,CODE_SMELL,apache
AXdv4VN89QOveX66rXwy,apache_plc4x:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/driver/DriverTestsuiteRunner.java,apache_plc4x,java:S1874,OPEN,,MINOR,"Remove this use of ""enableDefaultTyping""; it is deprecated.",430,504f552c2fc51e0be90422cad0a783db,,15min,2021-02-05T02:47:35+0100,2021-02-05T02:47:35+0100,,430,430,56,75,CODE_SMELL,apache
AXdv4VN89QOveX66rXwz,apache_plc4x:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/driver/DriverTestsuiteRunner.java,apache_plc4x,java:S1874,OPEN,,MINOR,"Remove this use of ""enableDefaultTyping""; it is deprecated.",450,504f552c2fc51e0be90422cad0a783db,,15min,2021-02-05T02:47:35+0100,2021-02-05T02:47:35+0100,,450,450,52,71,CODE_SMELL,apache
AXdv4VQK9QOveX66rXw3,apache_plc4x:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/parserserializer/ParserSerializerTestsuiteRunner.java,apache_plc4x,java:S1130,OPEN,,MINOR,"Remove the declaration of thrown exception 'java.net.URISyntaxException', as it cannot be thrown from method's body.",63,30d677ea0089331997a2523870bacdf2,,5min,2021-02-05T02:47:35+0100,2021-02-05T02:47:35+0100,,63,63,96,114,CODE_SMELL,apache
AXdv4VQK9QOveX66rXw4,apache_plc4x:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/parserserializer/ParserSerializerTestsuiteRunner.java,apache_plc4x,java:S1874,OPEN,,MINOR,"Remove this use of ""enableDefaultTyping""; it is deprecated.",128,736029bd214115c50479948343a05a6b,,15min,2021-02-05T02:47:35+0100,2021-02-05T02:47:35+0100,,128,128,46,65,CODE_SMELL,apache
AXdv4VQA9QOveX66rXw2,apache_plc4x:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/dom4j/LocationAwareDocumentFactory.java,apache_plc4x,java:S1948,OPEN,,CRITICAL,"Make ""locator"" transient or serializable.",29,a04498bfc3d09e45391af11b8ee86494,,30min,2021-02-04T23:10:35+0100,2021-02-05T02:47:35+0100,,29,29,20,27,CODE_SMELL,apache
AXdv4VP59QOveX66rXw0,apache_plc4x:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/dom4j/LocationAwareElement.java,apache_plc4x,java:S1948,OPEN,,CRITICAL,"Make ""location"" transient or serializable.",27,cba935d69dc47a6a30e5e95132d7289d,,30min,2021-02-04T23:10:35+0100,2021-02-05T02:47:35+0100,,27,27,27,35,CODE_SMELL,apache
