key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXdv4VYH9QOveX66rXw6,apache_plc4x:plc4j/drivers/eip/src/main/java/org/apache/plc4x/java/eip/readwrite/field/EipField.java,apache_plc4x,java:S1192,OPEN,,CRITICAL,Use already-defined constant 'ELEMENTS' instead of duplicating its value here.,156.0,db9d2931e8f92bf49f3aa0a84dccec77,,4min,2021-02-05 02:47:35+01:00,2021-02-05 02:47:35+01:00,,156.0,156.0,52.0,63.0,CODE_SMELL,apache,1612489655,1612489655,0.0,0,4
AXdv4VXw9QOveX66rXw5,apache_plc4x:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/protocol/S7ProtocolLogic.java,apache_plc4x,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal ""Timeout during Connection establishing, closing channel..."" 3 times.",115.0,0b1b2cf811a0846849160556f2c3d8f4,,8min,2021-02-05 02:47:35+01:00,2021-02-05 02:47:35+01:00,,115.0,115.0,28.0,88.0,CODE_SMELL,apache,1612489655,1612489655,0.0,0,8
AXdv4VN89QOveX66rXww,apache_plc4x:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/driver/DriverTestsuiteRunner.java,apache_plc4x,java:S1128,OPEN,,MINOR,Remove this unused import 'java.io.InputStream'.,73.0,6f8654322123410341aa3598228f7734,,2min,2021-02-05 02:47:35+01:00,2021-02-05 02:47:35+01:00,,73.0,73.0,0.0,27.0,CODE_SMELL,apache,1612489655,1612489655,0.0,0,2
AXdv4VN89QOveX66rXwx,apache_plc4x:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/driver/DriverTestsuiteRunner.java,apache_plc4x,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,104.0,a05fa34a188621a77558daa48c6a8da5,,8min,2021-02-05 02:47:35+01:00,2021-02-05 02:47:35+01:00,,104.0,104.0,28.0,42.0,CODE_SMELL,apache,1612489655,1612489655,0.0,0,8
AXdv4VN89QOveX66rXwy,apache_plc4x:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/driver/DriverTestsuiteRunner.java,apache_plc4x,java:S1874,OPEN,,MINOR,"Remove this use of ""enableDefaultTyping""; it is deprecated.",430.0,504f552c2fc51e0be90422cad0a783db,,15min,2021-02-05 02:47:35+01:00,2021-02-05 02:47:35+01:00,,430.0,430.0,56.0,75.0,CODE_SMELL,apache,1612489655,1612489655,0.0,0,15
AXdv4VN89QOveX66rXwz,apache_plc4x:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/driver/DriverTestsuiteRunner.java,apache_plc4x,java:S1874,OPEN,,MINOR,"Remove this use of ""enableDefaultTyping""; it is deprecated.",450.0,504f552c2fc51e0be90422cad0a783db,,15min,2021-02-05 02:47:35+01:00,2021-02-05 02:47:35+01:00,,450.0,450.0,52.0,71.0,CODE_SMELL,apache,1612489655,1612489655,0.0,0,15
AXdv4VQK9QOveX66rXw3,apache_plc4x:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/parserserializer/ParserSerializerTestsuiteRunner.java,apache_plc4x,java:S1130,OPEN,,MINOR,"Remove the declaration of thrown exception 'java.net.URISyntaxException', as it cannot be thrown from method's body.",63.0,30d677ea0089331997a2523870bacdf2,,5min,2021-02-05 02:47:35+01:00,2021-02-05 02:47:35+01:00,,63.0,63.0,96.0,114.0,CODE_SMELL,apache,1612489655,1612489655,0.0,0,5
AXdv4VQK9QOveX66rXw4,apache_plc4x:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/parserserializer/ParserSerializerTestsuiteRunner.java,apache_plc4x,java:S1874,OPEN,,MINOR,"Remove this use of ""enableDefaultTyping""; it is deprecated.",128.0,736029bd214115c50479948343a05a6b,,15min,2021-02-05 02:47:35+01:00,2021-02-05 02:47:35+01:00,,128.0,128.0,46.0,65.0,CODE_SMELL,apache,1612489655,1612489655,0.0,0,15
AXdv4VQA9QOveX66rXw2,apache_plc4x:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/dom4j/LocationAwareDocumentFactory.java,apache_plc4x,java:S1948,OPEN,,CRITICAL,"Make ""locator"" transient or serializable.",29.0,a04498bfc3d09e45391af11b8ee86494,,30min,2021-02-04 23:10:35+01:00,2021-02-05 02:47:35+01:00,,29.0,29.0,20.0,27.0,CODE_SMELL,apache,1612476635,1612489655,1.0,1,30
AXdv4VP59QOveX66rXw0,apache_plc4x:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/dom4j/LocationAwareElement.java,apache_plc4x,java:S1948,OPEN,,CRITICAL,"Make ""location"" transient or serializable.",27.0,cba935d69dc47a6a30e5e95132d7289d,,30min,2021-02-04 23:10:35+01:00,2021-02-05 02:47:35+01:00,,27.0,27.0,27.0,35.0,CODE_SMELL,apache,1612476635,1612489655,1.0,1,30
AXdv4VP99QOveX66rXw1,apache_plc4x:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/dom4j/LocationAwareSAXReader.java,apache_plc4x,java:S1185,OPEN,,MINOR,Remove this method to simply inherit it.,34.0,e03107015c609d1740034ab2161e8400,,2min,2021-02-04 23:10:35+01:00,2021-02-05 02:47:35+01:00,,34.0,34.0,16.0,34.0,CODE_SMELL,apache,1612476635,1612489655,1.0,1,2
AXdYk4f791KxgGiIQx88,apache_plc4x:build-utils/language-base-freemarker/src/main/java/org/apache/plc4x/plugins/codegenerator/protocol/freemarker/BaseFreemarkerLanguageTemplateHelper.java,apache_plc4x,java:S1066,OPEN,,MAJOR,Merge this if statement with the enclosing one.,894.0,4f1cb6b53e91f6c0e47bd7e48d9e8429,,5min,2021-01-31 14:10:57+01:00,2021-01-31 14:10:57+01:00,,894.0,894.0,12.0,14.0,CODE_SMELL,apache,1612098657,1612098657,0.0,0,5
AXc4z9ArrWTuIHEkDxn3,apache_plc4x:plc4j/integrations/apache-calcite/src/main/java/org/apache/plc4x/Plc4xBaseTable.java,apache_plc4x,java:S1161,OPEN,,MAJOR,"Add the ""@Override"" annotation above this method signature",74.0,2849fd869f325fffc54492b97e192817,,5min,2021-01-25 10:05:52+01:00,2021-01-25 10:05:52+01:00,,74.0,74.0,26.0,37.0,CODE_SMELL,apache,1611565552,1611565552,0.0,0,5
AXc4z9ArrWTuIHEkDxn4,apache_plc4x:plc4j/integrations/apache-calcite/src/main/java/org/apache/plc4x/Plc4xBaseTable.java,apache_plc4x,java:S1161,OPEN,,MAJOR,"Add the ""@Override"" annotation above this method signature",78.0,6c21c03dc7e514ced10da54ae0b4e9c9,,5min,2021-01-25 10:05:52+01:00,2021-01-25 10:05:52+01:00,,78.0,78.0,27.0,32.0,CODE_SMELL,apache,1611565552,1611565552,0.0,0,5
AXc4z9ArrWTuIHEkDxn5,apache_plc4x:plc4j/integrations/apache-calcite/src/main/java/org/apache/plc4x/Plc4xBaseTable.java,apache_plc4x,java:S1161,OPEN,,MAJOR,"Add the ""@Override"" annotation above this method signature",82.0,d9c41fe6d7fca2db822a5936337c3c15,,5min,2021-01-25 10:05:52+01:00,2021-01-25 10:05:52+01:00,,82.0,82.0,50.0,75.0,CODE_SMELL,apache,1611565552,1611565552,0.0,0,5
AXc4z9ArrWTuIHEkDxn6,apache_plc4x:plc4j/integrations/apache-calcite/src/main/java/org/apache/plc4x/Plc4xBaseTable.java,apache_plc4x,java:S1161,OPEN,,MAJOR,"Add the ""@Override"" annotation above this method signature",86.0,32e8cee1084f559a5e96bb582ccdbfb2,,5min,2021-01-25 10:05:52+01:00,2021-01-25 10:05:52+01:00,,86.0,86.0,38.0,51.0,CODE_SMELL,apache,1611565552,1611565552,0.0,0,5
AXc4z9ArrWTuIHEkDxn7,apache_plc4x:plc4j/integrations/apache-calcite/src/main/java/org/apache/plc4x/Plc4xBaseTable.java,apache_plc4x,java:S1161,OPEN,,MAJOR,"Add the ""@Override"" annotation above this method signature",90.0,eadec11c849396454f45f997ebf4bd67,,5min,2021-01-25 10:05:52+01:00,2021-01-25 10:05:52+01:00,,90.0,90.0,35.0,50.0,CODE_SMELL,apache,1611565552,1611565552,0.0,0,5
AXc1Uxt2-LchQJdsxnSQ,apache_plc4x:plc4j/drivers/knxnetip/src/main/java/org/apache/plc4x/java/knxnetip/protocol/KnxNetIpProtocolLogic.java,apache_plc4x,java:S125,OPEN,,MAJOR,This block of commented-out lines of code should be removed.,417.0,65e4710b3314ac24625d89ee884b951d,,5min,2021-01-24 17:54:08+01:00,2021-01-24 17:54:08+01:00,,417.0,417.0,18.0,78.0,CODE_SMELL,apache,1611507248,1611507248,0.0,0,5
AXck99f7YT3uqTbWWNjP,apache_plc4x:plc4j/integrations/apache-kafka/src/main/java/org/apache/plc4x/kafka/Plc4xSourceTask.java,apache_plc4x,java:S2184,OPEN,,MINOR,"Cast one of the operands of this addition operation to a ""long"".",245.0,3d893da6deb4b454649b6963ec076b76,,5min,2021-01-21 13:40:40+01:00,2021-01-21 13:40:40+01:00,,245.0,245.0,67.0,68.0,BUG,apache,1611232840,1611232840,0.0,0,5
AXck99jWYT3uqTbWWNjc,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/OPCUAServer.java,apache_plc4x,java:S1170,OPEN,,MINOR,Make this final field static too.,208.0,003970f8e69eb7f7c7438099051963e7,,2min,2021-01-21 13:40:40+01:00,2021-01-21 13:40:40+01:00,,208.0,208.0,25.0,44.0,CODE_SMELL,apache,1611232840,1611232840,0.0,0,2
AXck99jWYT3uqTbWWNja,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/OPCUAServer.java,apache_plc4x,java:S112,OPEN,,MAJOR,Define and throw a dedicated exception instead of using a generic one.,210.0,58f5a87f798f02034f05235e434d353e,,20min,2021-01-21 13:40:40+01:00,2021-01-21 13:40:40+01:00,,210.0,210.0,45.0,54.0,CODE_SMELL,apache,1611232840,1611232840,0.0,0,20
AXck99jWYT3uqTbWWNjb,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/OPCUAServer.java,apache_plc4x,java:S2629,OPEN,,MAJOR,Invoke method(s) only conditionally. Use the built-in formatting to construct this argument.,216.0,5b52294eb58c72d8e1ca500e3e3a61f5,,5min,2021-01-21 13:40:40+01:00,2021-01-21 13:40:40+01:00,,216.0,216.0,25.0,120.0,CODE_SMELL,apache,1611232840,1611232840,0.0,0,5
AXck99jWYT3uqTbWWNjd,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/OPCUAServer.java,apache_plc4x,java:S3457,OPEN,,MAJOR,Format specifiers should be used instead of string concatenation.,216.0,5b52294eb58c72d8e1ca500e3e3a61f5,,10min,2021-01-21 13:40:40+01:00,2021-01-21 13:40:40+01:00,,216.0,216.0,12.0,121.0,CODE_SMELL,apache,1611232840,1611232840,0.0,0,10
AXck99jWYT3uqTbWWNjZ,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/OPCUAServer.java,apache_plc4x,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal ""127.0.0.1"" 4 times.",295.0,abd0d6d7d56e682f6408709596f40a81,,10min,2021-01-21 13:40:40+01:00,2021-01-21 13:40:40+01:00,,295.0,295.0,29.0,40.0,CODE_SMELL,apache,1611232840,1611232840,0.0,0,10
AXck99jAYT3uqTbWWNjX,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java,apache_plc4x,java:S116,OPEN,,MINOR,"Rename this field ""BAD_RESPONSE"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",68.0,88d23b7adae842c81175ccdb35d73dbd,,2min,2021-01-21 13:40:40+01:00,2021-01-21 13:40:40+01:00,,68.0,68.0,28.0,40.0,CODE_SMELL,apache,1611232840,1611232840,0.0,0,2
AXck99jAYT3uqTbWWNjW,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java,apache_plc4x,java:S1186,OPEN,,CRITICAL,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",74.0,e5a09e7343a15c44def031da88c5d0d0,,5min,2021-01-21 13:40:40+01:00,2021-01-21 13:40:40+01:00,,74.0,74.0,11.0,29.0,CODE_SMELL,apache,1611232840,1611232840,0.0,0,5
AXck99jAYT3uqTbWWNjR,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java,apache_plc4x,java:S1141,OPEN,,MAJOR,Extract this nested try block into a separate method.,187.0,80d5b17efc16ace990c07580fc3e85eb,,20min,2021-01-21 13:40:40+01:00,2021-01-21 13:40:40+01:00,,187.0,187.0,12.0,15.0,CODE_SMELL,apache,1611232840,1611232840,0.0,0,20
AXck99jAYT3uqTbWWNjS,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java,apache_plc4x,java:S1141,OPEN,,MAJOR,Extract this nested try block into a separate method.,198.0,80d5b17efc16ace990c07580fc3e85eb,,20min,2021-01-21 13:40:40+01:00,2021-01-21 13:40:40+01:00,,198.0,198.0,16.0,19.0,CODE_SMELL,apache,1611232840,1611232840,0.0,0,20
AXck99jAYT3uqTbWWNjT,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java,apache_plc4x,java:S1141,OPEN,,MAJOR,Extract this nested try block into a separate method.,218.0,80d5b17efc16ace990c07580fc3e85eb,,20min,2021-01-21 13:40:40+01:00,2021-01-21 13:40:40+01:00,,218.0,218.0,12.0,15.0,CODE_SMELL,apache,1611232840,1611232840,0.0,0,20
AXck99jAYT3uqTbWWNjU,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java,apache_plc4x,java:S1141,OPEN,,MAJOR,Extract this nested try block into a separate method.,222.0,80d5b17efc16ace990c07580fc3e85eb,,20min,2021-01-21 13:40:40+01:00,2021-01-21 13:40:40+01:00,,222.0,222.0,16.0,19.0,CODE_SMELL,apache,1611232840,1611232840,0.0,0,20
AXck99jAYT3uqTbWWNjV,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java,apache_plc4x,java:S1141,OPEN,,MAJOR,Extract this nested try block into a separate method.,258.0,80d5b17efc16ace990c07580fc3e85eb,,20min,2021-01-21 13:40:40+01:00,2021-01-21 13:40:40+01:00,,258.0,258.0,12.0,15.0,CODE_SMELL,apache,1611232840,1611232840,0.0,0,20
AXck99jAYT3uqTbWWNjY,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java,apache_plc4x,java:S3457,OPEN,,MAJOR,Format specifiers should be used instead of string concatenation.,267.0,be2fe7a62ae8fe4aa477cf21f476876f,,10min,2021-01-21 13:40:40+01:00,2021-01-21 13:40:40+01:00,,267.0,267.0,12.0,89.0,CODE_SMELL,apache,1611232840,1611232840,0.0,0,10
AXck99jhYT3uqTbWWNjp,apache_plc4x:plc4j/integrations/opcua-server/src/test/java/org/apache/plc4x/java/opcuaserver/OpcuaPlcDriverTest.java,apache_plc4x,java:S2699,OPEN,,BLOCKER,Add at least one assertion to this test case.,150.0,df8b09fc457a80d2195e9720f25dc10d,,10min,2021-01-21 13:40:40+01:00,2021-01-21 13:40:40+01:00,,150.0,150.0,16.0,29.0,CODE_SMELL,apache,1611232840,1611232840,0.0,0,10
AXck99jhYT3uqTbWWNjr,apache_plc4x:plc4j/integrations/opcua-server/src/test/java/org/apache/plc4x/java/opcuaserver/OpcuaPlcDriverTest.java,apache_plc4x,java:S5786,OPEN,,INFO,Remove this 'public' modifier.,150.0,df8b09fc457a80d2195e9720f25dc10d,,2min,2021-01-21 13:40:40+01:00,2021-01-21 13:40:40+01:00,,150.0,150.0,4.0,10.0,CODE_SMELL,apache,1611232840,1611232840,0.0,0,2
AXck99jhYT3uqTbWWNjq,apache_plc4x:plc4j/integrations/opcua-server/src/test/java/org/apache/plc4x/java/opcuaserver/OpcuaPlcDriverTest.java,apache_plc4x,java:S2699,OPEN,,BLOCKER,Add at least one assertion to this test case.,199.0,41b892431fed1b3dd566c2730bf38fce,,10min,2021-01-21 13:40:40+01:00,2021-01-21 13:40:40+01:00,,199.0,199.0,16.0,30.0,CODE_SMELL,apache,1611232840,1611232840,0.0,0,10
AXck99jhYT3uqTbWWNjs,apache_plc4x:plc4j/integrations/opcua-server/src/test/java/org/apache/plc4x/java/opcuaserver/OpcuaPlcDriverTest.java,apache_plc4x,java:S5786,OPEN,,INFO,Remove this 'public' modifier.,199.0,41b892431fed1b3dd566c2730bf38fce,,2min,2021-01-21 13:40:40+01:00,2021-01-21 13:40:40+01:00,,199.0,199.0,4.0,10.0,CODE_SMELL,apache,1611232840,1611232840,0.0,0,2
AXck99jaYT3uqTbWWNjh,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/context/CertificateGenerator.java,apache_plc4x,java:S1118,OPEN,,MAJOR,Add a private constructor to hide the implicit public one.,47.0,63c659a82705a77b2f37be964d913dff,,5min,2021-01-21 12:06:31+01:00,2021-01-21 13:40:40+01:00,,47.0,47.0,13.0,33.0,CODE_SMELL,apache,1611227191,1611232840,1.0,1,5
AXck99jaYT3uqTbWWNji,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/context/CertificateGenerator.java,apache_plc4x,java:S2326,OPEN,,MAJOR,PKCS10CertificateRequest is not used in the class.,47.0,63c659a82705a77b2f37be964d913dff,,5min,2021-01-21 12:06:31+01:00,2021-01-21 13:40:40+01:00,,47.0,47.0,34.0,58.0,CODE_SMELL,apache,1611227191,1611232840,1.0,1,5
AXck99jaYT3uqTbWWNjj,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/context/CertificateGenerator.java,apache_plc4x,java:S119,OPEN,,MINOR,Rename this generic name to match the regular expression '^[A-Z][0-9]?$'.,47.0,63c659a82705a77b2f37be964d913dff,,10min,2021-01-21 12:06:31+01:00,2021-01-21 13:40:40+01:00,,47.0,47.0,34.0,58.0,CODE_SMELL,apache,1611227191,1611232840,1.0,1,10
AXck99jaYT3uqTbWWNjg,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/context/CertificateGenerator.java,apache_plc4x,java:S1128,OPEN,,MINOR,Remove this unused import 'java.security.cert.X509Certificate'.,42.0,7fd7aec6abee11dc2db051197d68ca94,,2min,2021-01-17 12:45:46+01:00,2021-01-21 13:40:40+01:00,,42.0,42.0,0.0,42.0,CODE_SMELL,apache,1610883946,1611232840,5.0,7,2
AXck99jaYT3uqTbWWNje,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/context/CertificateGenerator.java,apache_plc4x,java:S2259,OPEN,,MAJOR,"A ""NullPointerException"" could be thrown; ""kpg"" is nullable here.",59.0,32d4ff8a4de7e61cfdc52c883de25be1,,10min,2021-01-17 12:45:46+01:00,2021-01-21 13:40:40+01:00,,59.0,59.0,8.0,22.0,BUG,apache,1610883946,1611232840,5.0,7,10
AXck99jaYT3uqTbWWNjl,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/context/CertificateGenerator.java,apache_plc4x,java:S1854,OPEN,,MAJOR,"Remove this useless assignment to local variable ""caKeys"".",60.0,375e3a422ff1ab403c30f874ce682457,,15min,2021-01-17 12:45:46+01:00,2021-01-21 13:40:40+01:00,,60.0,60.0,23.0,46.0,CODE_SMELL,apache,1610883946,1611232840,5.0,7,15
AXck99jaYT3uqTbWWNjn,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/context/CertificateGenerator.java,apache_plc4x,java:S1481,OPEN,,MINOR,"Remove this unused ""caKeys"" local variable.",60.0,375e3a422ff1ab403c30f874ce682457,,5min,2021-01-17 12:45:46+01:00,2021-01-21 13:40:40+01:00,,60.0,60.0,16.0,22.0,CODE_SMELL,apache,1610883946,1611232840,5.0,7,5
AXck99jaYT3uqTbWWNjk,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/context/CertificateGenerator.java,apache_plc4x,java:S1854,OPEN,,MAJOR,"Remove this useless assignment to local variable ""userKeys"".",61.0,92a1b0f4366e6e5030bb80ef7c80f2fe,,15min,2021-01-17 12:45:46+01:00,2021-01-21 13:40:40+01:00,,61.0,61.0,25.0,48.0,CODE_SMELL,apache,1610883946,1611232840,5.0,7,15
AXck99jaYT3uqTbWWNjo,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/context/CertificateGenerator.java,apache_plc4x,java:S1481,OPEN,,MINOR,"Remove this unused ""userKeys"" local variable.",61.0,92a1b0f4366e6e5030bb80ef7c80f2fe,,5min,2021-01-17 12:45:46+01:00,2021-01-21 13:40:40+01:00,,61.0,61.0,16.0,24.0,CODE_SMELL,apache,1610883946,1611232840,5.0,7,5
AXck99jaYT3uqTbWWNjf,apache_plc4x:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/context/CertificateGenerator.java,apache_plc4x,java:S1488,OPEN,,MINOR,"Immediately return this expression instead of assigning it to the temporary variable ""ckp"".",113.0,f79376f89b2034ae3e80a4a69abd4afd,,2min,2021-01-17 12:45:46+01:00,2021-01-21 13:40:40+01:00,,113.0,113.0,37.0,124.0,CODE_SMELL,apache,1610883946,1611232840,5.0,7,2
AXb7WWJqxjqCgMH9Ndyu,apache_plc4x:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/connection/DefaultNettyPlcConnection.java,apache_plc4x,java:S1124,OPEN,,MINOR,Reorder the modifiers to comply with the Java Language Specification.,45.0,0faafa0cf4a2c0d140134683f2e798a8,,2min,2021-01-13 11:43:13+01:00,2021-01-13 11:43:13+01:00,,45.0,45.0,20.0,26.0,CODE_SMELL,apache,1610534593,1610534593,0.0,0,2
AXb7WWJqxjqCgMH9Ndyt,apache_plc4x:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/connection/DefaultNettyPlcConnection.java,apache_plc4x,java:S3740,OPEN,,MAJOR,Provide the parametrized type for this generic.,61.0,8fbfe0947649bb1b5377a8b18d9cc485,,5min,2021-01-13 11:43:13+01:00,2021-01-13 11:43:13+01:00,,61.0,61.0,77.0,100.0,CODE_SMELL,apache,1610534593,1610534593,0.0,0,5
