key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXdkyVleonT2HI1L52q-,poi-parent:ooxml/src/test/java/org/apache/poi/xssf/usermodel/TestXSSFSheet.java,poi-parent,java:S5786,OPEN,,INFO,Remove this 'public' modifier.,2000.0,fdd389f8865b3c00824b5a1b702cafa3,,2min,2021-02-02 22:49:05+01:00,2021-02-08 09:34:58+01:00,,2000.0,2000.0,4.0,10.0,CODE_SMELL,apache,1612302545,1612773298,6.0,3,2
AXdkyVleonT2HI1L52q9,poi-parent:ooxml/src/test/java/org/apache/poi/xssf/usermodel/TestXSSFSheet.java,poi-parent,java:S2699,OPEN,,BLOCKER,Add at least one assertion to this test case.,2000.0,fdd389f8865b3c00824b5a1b702cafa3,,10min,2021-02-02 22:49:05+01:00,2021-02-08 09:34:58+01:00,,2000.0,2000.0,16.0,24.0,CODE_SMELL,apache,1612302545,1612773298,6.0,3,10
AXdVnwvD7ZW8oBO86U_7,poi-parent:main/src/test/java/org/apache/poi/ss/formula/udf/TestUDFFinder.java,poi-parent,java:S5786,OPEN,,INFO,Remove this 'public' modifier.,31.0,e372c573d962845402e94f1f3c1f7ef1,,2min,2021-01-31 00:19:13+01:00,2021-02-08 09:34:58+01:00,,31.0,31.0,0.0,6.0,CODE_SMELL,apache,1612048753,1612773298,9.0,10,2
AXdVnwki7ZW8oBO86U_6,poi-parent:ooxml/src/test/java/org/apache/poi/xssf/usermodel/TestXSSFPrintSetup.java,poi-parent,java:S1607,OPEN,,MAJOR,"Either add an explanation about why this test is skipped or remove the ""@Disabled"" annotation.",295.0,2e05859e2376ec5e5aa359e6f0ae9588,,10min,2021-01-31 00:19:13+01:00,2021-02-08 09:34:58+01:00,,295.0,295.0,9.0,22.0,CODE_SMELL,apache,1612048753,1612773298,9.0,10,10
AXdUwocQqbV0Rycrj9An,poi-parent:ooxml/src/main/java/org/apache/poi/xssf/streaming/SheetDataWriter.java,poi-parent,java:S125,OPEN,,MAJOR,This block of commented-out lines of code should be removed.,134.0,733f0e79444074fcc54c3f355a20d10a,,5min,2021-01-30 20:04:49+01:00,2021-02-08 09:34:58+01:00,,134.0,134.0,11.0,83.0,CODE_SMELL,apache,1612033489,1612773298,9.0,11,5
AXdUwpFYqbV0Rycrj9Ao,poi-parent:ooxml/src/test/java/org/apache/poi/xwpf/usermodel/TestXWPFBugs.java,poi-parent,java:S5786,OPEN,,INFO,Remove this 'public' modifier.,237.0,ec0325f91e74e95fc2878b94a0f7c6b5,,2min,2021-01-30 20:04:49+01:00,2021-02-08 09:34:58+01:00,,237.0,237.0,4.0,10.0,CODE_SMELL,apache,1612033489,1612773298,9.0,11,2
AXc2IC2sRtck0LdzC0Et,poi-parent:ooxml/src/test/java/org/apache/poi/xssf/usermodel/charts/TestXSSFLineChartData.java,poi-parent,java:S5785,OPEN,,MAJOR,Use assertSame instead.,71.0,a21fddff4cf6b054ba2644337003c4fa,,,2021-01-24 21:19:15+01:00,2021-02-08 09:34:58+01:00,,71.0,71.0,8.0,18.0,CODE_SMELL,apache,1611519555,1612773298,15.0,18,0
AXc2IC1IRtck0LdzC0Es,poi-parent:ooxml/src/test/java/org/apache/poi/xssf/usermodel/charts/TestXSSFScatterChartData.java,poi-parent,java:S5785,OPEN,,MAJOR,Use assertSame instead.,74.0,d785c8509ecafa4397b2e96df0aa227a,,,2021-01-24 21:19:15+01:00,2021-02-08 09:34:58+01:00,,74.0,74.0,8.0,18.0,CODE_SMELL,apache,1611519555,1612773298,15.0,18,0
AXcxlB19JVyhouwVC2EZ,poi-parent:scratchpad/src/main/java/org/apache/poi/hwpf/converter/AbstractWordConverter.java,poi-parent,java:S1210,OPEN,,MINOR,"Override ""equals(Object obj)"" to comply with the contract of the ""compareTo(T o)"" method.",96.0,32132c111b56f82d2c72ce8455f4d1ae,,15min,2021-01-24 00:20:39+01:00,2021-02-08 09:34:58+01:00,,96.0,96.0,19.0,28.0,CODE_SMELL,apache,1611444039,1612773298,16.0,19,15
AXcxlB19JVyhouwVC2EV,poi-parent:scratchpad/src/main/java/org/apache/poi/hwpf/converter/AbstractWordConverter.java,poi-parent,java:S135,OPEN,,MINOR,Reduce the total number of break and continue statements in this loop to use at most one.,209.0,6203c874a40b88b11a3109a95e9db5dc,,40min,2021-01-24 00:20:39+01:00,2021-02-08 09:34:58+01:00,,209.0,209.0,8.0,11.0,CODE_SMELL,apache,1611444039,1612773298,16.0,19,40
