key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXc8zkSmcozU_fYfCX4u,apache_incubator-ratis:ratis-server/src/main/java/org/apache/ratis/server/impl/LeaderElection.java,apache_incubator-ratis,java:S1481,OPEN,,MINOR,"Remove this unused ""proxy"" local variable.",194,5b1651655c51f37717beb7a4e5abed79,,5min,2021-01-26T04:47:10+0100,2021-01-26T04:47:10+0100,,194,194,20,25,CODE_SMELL,apache
AXcuivUWPMMwbdX3Hg3x,apache_incubator-ratis:ratis-common/src/main/java/org/apache/ratis/util/NetUtils.java,apache_incubator-ratis,java:S2093,OPEN,,CRITICAL,"Change this ""try"" to a try-with-resources.",124,80d5b17efc16ace990c07580fc3e85eb,,15min,2021-01-23T10:18:49+0100,2021-01-23T10:18:49+0100,,124,124,4,7,CODE_SMELL,apache
AXcuivLDPMMwbdX3Hg3u,apache_incubator-ratis:ratis-grpc/src/main/java/org/apache/ratis/grpc/GrpcConfigKeys.java,apache_incubator-ratis,common-java:DuplicatedBlocks,OPEN,,MAJOR,2 duplicated blocks of code must be removed.,,,,30min,2021-01-23T10:18:49+0100,2021-01-23T10:18:49+0100,,,,,,CODE_SMELL,apache
AXcuivLDPMMwbdX3Hg3v,apache_incubator-ratis:ratis-grpc/src/main/java/org/apache/ratis/grpc/GrpcConfigKeys.java,apache_incubator-ratis,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal "".port"" 3 times.",102,493702ffcd3722517ae6d2bc4d1ef2fd,,8min,2021-01-23T10:18:49+0100,2021-01-23T10:18:49+0100,,102,102,31,38,CODE_SMELL,apache
AXcuivLDPMMwbdX3Hg3w,apache_incubator-ratis:ratis-grpc/src/main/java/org/apache/ratis/grpc/GrpcConfigKeys.java,apache_incubator-ratis,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal "".tls.conf"" 3 times.",113,7ec99a3eafb977c9074a668490115b83,,8min,2021-01-23T10:18:49+0100,2021-01-23T10:18:49+0100,,113,113,41,52,CODE_SMELL,apache
AXcuivIpPMMwbdX3Hg3t,apache_incubator-ratis:ratis-grpc/src/main/java/org/apache/ratis/grpc/server/GrpcService.java,apache_incubator-ratis,java:S107,OPEN,,MAJOR,"Constructor has 12 parameters, which is greater than 7 authorized.",131,9f4c00c4d13dd7b44e1d12a0eed751e0,,20min,2021-01-23T10:18:49+0100,2021-01-23T10:18:49+0100,,131,131,10,21,CODE_SMELL,apache
AXb71hFHoLmr35dOU8OQ,apache_incubator-ratis:ratis-grpc/src/main/java/org/apache/ratis/grpc/client/GrpcClientProtocolClient.java,apache_incubator-ratis,java:S1068,CLOSED,FIXED,MAJOR,"Remove this unused ""blockingStub"" private field.",,2809da5b0d69fc8c07acd45aa722c799,,5min,2021-01-13T14:00:24+0100,2021-01-23T10:18:49+0100,,88,88,54,66,CODE_SMELL,apache
AXb71hTWoLmr35dOU8OR,apache_incubator-ratis:ratis-server/src/main/java/org/apache/ratis/server/impl/VoteContext.java,apache_incubator-ratis,java:S1066,OPEN,,MAJOR,Merge this if statement with the enclosing one.,95,01b1dbcffb1abdd9917fa79669acb8c4,,5min,2021-01-13T14:00:24+0100,2021-01-13T14:00:24+0100,,95,95,6,8,CODE_SMELL,apache
AXbcw52QFEOhq2iC05Q-,apache_incubator-ratis:ratis-server/src/main/java/org/apache/ratis/server/impl/LeaderElection.java,apache_incubator-ratis,java:S2629,OPEN,,MAJOR,Invoke method(s) only conditionally.,93,0fa3e7387509fce8212f09c72109cd2c,,5min,2021-01-07T13:11:48+0100,2021-01-07T13:11:48+0100,,93,93,41,90,CODE_SMELL,apache
AXbcw52QFEOhq2iC05Q9,apache_incubator-ratis:ratis-server/src/main/java/org/apache/ratis/server/impl/LeaderElection.java,apache_incubator-ratis,java:S1066,OPEN,,MAJOR,Merge this if statement with the enclosing one.,238,f4c2f5802fc33ea00996db894e9def0d,,5min,2021-01-07T13:11:48+0100,2021-01-07T13:11:48+0100,,238,238,8,10,CODE_SMELL,apache
AXbcw52QFEOhq2iC05Q_,apache_incubator-ratis:ratis-server/src/main/java/org/apache/ratis/server/impl/LeaderElection.java,apache_incubator-ratis,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 36 to the 15 allowed.,363,d42a41af72d92970dc64fa190773d587,,26min,2021-01-07T13:11:48+0100,2021-01-07T13:11:48+0100,,363,363,24,38,CODE_SMELL,apache
AXbYKKUE7P_lN_ZuSGNf,apache_incubator-ratis:ratis-common/src/main/java/org/apache/ratis/protocol/RoutingTable.java,apache_incubator-ratis,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal ""Invalid routing table: the peer "" 3 times.",110,56721ecf44463072b4c98fb8d0cf5565,,8min,2021-01-06T15:44:09+0100,2021-01-06T15:44:09+0100,,110,110,70,104,CODE_SMELL,apache
AXbYKKbe7P_lN_ZuSGNg,apache_incubator-ratis:ratis-server/src/main/java/org/apache/ratis/server/impl/LeaderElection.java,apache_incubator-ratis,java:S1125,CLOSED,FIXED,MINOR,"Remove the literal ""true"" boolean value.",,41d354e68b2f6d4e99b0da49e5ae34cc,,5min,2021-01-06T15:44:09+0100,2021-01-07T13:11:48+0100,,183,183,36,40,CODE_SMELL,apache
AXbYKKcL7P_lN_ZuSGNh,apache_incubator-ratis:ratis-server/src/main/java/org/apache/ratis/server/impl/RaftServerImpl.java,apache_incubator-ratis,java:S2629,CLOSED,FIXED,MAJOR,Invoke method(s) only conditionally.,,53a94eb56d3f2ba437ba9f9172e46269,,5min,2021-01-06T15:44:09+0100,2021-01-13T14:00:24+0100,,1100,1100,25,74,CODE_SMELL,apache
AXbYKKdV7P_lN_ZuSGNi,apache_incubator-ratis:ratis-server/src/test/java/org/apache/ratis/server/impl/LeaderElectionTests.java,apache_incubator-ratis,java:S3415,OPEN,,MAJOR,"Swap these 2 arguments so they are in the correct order: expected value, actual value.",381,c04d248d323c6ff16ad2fc8c5104c6d4,,2min,2021-01-06T15:44:09+0100,2021-01-06T15:44:09+0100,,381,381,39,40,CODE_SMELL,apache
AXbYKKdV7P_lN_ZuSGNj,apache_incubator-ratis:ratis-server/src/test/java/org/apache/ratis/server/impl/LeaderElectionTests.java,apache_incubator-ratis,java:S2925,OPEN,,MAJOR,"Remove this use of ""Thread.sleep()"".",391,12caed46e4fe2469c52877ce14a59cbc,,20min,2021-01-06T15:44:09+0100,2021-01-06T15:44:09+0100,,391,391,15,20,CODE_SMELL,apache
AXbYKKdV7P_lN_ZuSGNk,apache_incubator-ratis:ratis-server/src/test/java/org/apache/ratis/server/impl/LeaderElectionTests.java,apache_incubator-ratis,java:S2925,OPEN,,MAJOR,"Remove this use of ""Thread.sleep()"".",393,12caed46e4fe2469c52877ce14a59cbc,,20min,2021-01-06T15:44:09+0100,2021-01-06T15:44:09+0100,,393,393,15,20,CODE_SMELL,apache
AXay7AijClFpZkD4xdNV,apache_incubator-ratis:ratis-common/src/main/java/org/apache/ratis/datastream/impl/DataStreamPacketImpl.java,apache_incubator-ratis,java:S5993,OPEN,,MAJOR,"Change the visibility of this constructor to ""protected"".",36,42472fd261b96e561b5b502d8d540d73,,2min,2020-12-30T10:11:54+0100,2020-12-30T10:11:54+0100,,36,36,2,8,CODE_SMELL,apache
AXaiiChNx03nnc9NeGm9,apache_incubator-ratis:ratis-grpc/src/main/java/org/apache/ratis/grpc/server/GrpcServerProtocolClient.java,apache_incubator-ratis,java:S1488,OPEN,,MINOR,"Immediately return this expression instead of assigning it to the temporary variable ""r"".",105,d72ae7ba665565321edce3522dd49e1d,,2min,2020-12-27T05:48:58+0100,2020-12-27T05:48:58+0100,,105,106,8,41,CODE_SMELL,apache
AXaiiCi6x03nnc9NeGm-,apache_incubator-ratis:ratis-grpc/src/main/java/org/apache/ratis/grpc/server/GrpcServerProtocolService.java,apache_incubator-ratis,java:S1181,OPEN,,MAJOR,Catch Exception instead of Throwable.,186,0325224bb45891ffbfad721ffec46148,,20min,2020-12-27T05:48:58+0100,2020-12-27T05:48:58+0100,,186,186,13,22,CODE_SMELL,apache
AXaZnsUPFCV6aS80oiAf,apache_incubator-ratis:ratis-server/src/test/java/org/apache/ratis/server/impl/LeaderElectionTests.java,apache_incubator-ratis,java:S5785,OPEN,,MAJOR,Use assertEquals instead.,151,824de74b874be578666f687dd9fb7bc6,,,2020-12-25T12:17:11+0100,2020-12-25T12:17:11+0100,,151,151,15,25,CODE_SMELL,apache
AXaZnsUPFCV6aS80oiAg,apache_incubator-ratis:ratis-server/src/test/java/org/apache/ratis/server/impl/LeaderElectionTests.java,apache_incubator-ratis,java:S3415,OPEN,,MAJOR,"Swap these 2 arguments so they are in the correct order: expected value, actual value.",167,b510c43abc36f99e04e56e4ad2b115b5,,2min,2020-12-25T12:17:11+0100,2020-12-25T12:17:11+0100,,167,167,46,47,CODE_SMELL,apache
