key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXc8zkSmcozU_fYfCX4u,apache_incubator-ratis:ratis-server/src/main/java/org/apache/ratis/server/impl/LeaderElection.java,apache_incubator-ratis,java:S1481,OPEN,,MINOR,"Remove this unused ""proxy"" local variable.",194.0,5b1651655c51f37717beb7a4e5abed79,,5min,2021-01-26 04:47:10+01:00,2021-01-26 04:47:10+01:00,,194.0,194.0,20.0,25.0,CODE_SMELL,apache,1611632830,1611632830,0.0,0,5
AXcuivUWPMMwbdX3Hg3x,apache_incubator-ratis:ratis-common/src/main/java/org/apache/ratis/util/NetUtils.java,apache_incubator-ratis,java:S2093,OPEN,,CRITICAL,"Change this ""try"" to a try-with-resources.",124.0,80d5b17efc16ace990c07580fc3e85eb,,15min,2021-01-23 10:18:49+01:00,2021-01-23 10:18:49+01:00,,124.0,124.0,4.0,7.0,CODE_SMELL,apache,1611393529,1611393529,0.0,0,15
AXcuivLDPMMwbdX3Hg3u,apache_incubator-ratis:ratis-grpc/src/main/java/org/apache/ratis/grpc/GrpcConfigKeys.java,apache_incubator-ratis,common-java:DuplicatedBlocks,OPEN,,MAJOR,2 duplicated blocks of code must be removed.,,,,30min,2021-01-23 10:18:49+01:00,2021-01-23 10:18:49+01:00,,,,,,CODE_SMELL,apache,1611393529,1611393529,0.0,0,30
AXcuivLDPMMwbdX3Hg3v,apache_incubator-ratis:ratis-grpc/src/main/java/org/apache/ratis/grpc/GrpcConfigKeys.java,apache_incubator-ratis,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal "".port"" 3 times.",102.0,493702ffcd3722517ae6d2bc4d1ef2fd,,8min,2021-01-23 10:18:49+01:00,2021-01-23 10:18:49+01:00,,102.0,102.0,31.0,38.0,CODE_SMELL,apache,1611393529,1611393529,0.0,0,8
AXcuivLDPMMwbdX3Hg3w,apache_incubator-ratis:ratis-grpc/src/main/java/org/apache/ratis/grpc/GrpcConfigKeys.java,apache_incubator-ratis,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal "".tls.conf"" 3 times.",113.0,7ec99a3eafb977c9074a668490115b83,,8min,2021-01-23 10:18:49+01:00,2021-01-23 10:18:49+01:00,,113.0,113.0,41.0,52.0,CODE_SMELL,apache,1611393529,1611393529,0.0,0,8
AXcuivIpPMMwbdX3Hg3t,apache_incubator-ratis:ratis-grpc/src/main/java/org/apache/ratis/grpc/server/GrpcService.java,apache_incubator-ratis,java:S107,OPEN,,MAJOR,"Constructor has 12 parameters, which is greater than 7 authorized.",131.0,9f4c00c4d13dd7b44e1d12a0eed751e0,,20min,2021-01-23 10:18:49+01:00,2021-01-23 10:18:49+01:00,,131.0,131.0,10.0,21.0,CODE_SMELL,apache,1611393529,1611393529,0.0,0,20
AXb71hFHoLmr35dOU8OQ,apache_incubator-ratis:ratis-grpc/src/main/java/org/apache/ratis/grpc/client/GrpcClientProtocolClient.java,apache_incubator-ratis,java:S1068,CLOSED,FIXED,MAJOR,"Remove this unused ""blockingStub"" private field.",,2809da5b0d69fc8c07acd45aa722c799,,5min,2021-01-13 14:00:24+01:00,2021-01-23 10:18:49+01:00,,88.0,88.0,54.0,66.0,CODE_SMELL,apache,1610542824,1611393529,10.0,6,5
AXb71hTWoLmr35dOU8OR,apache_incubator-ratis:ratis-server/src/main/java/org/apache/ratis/server/impl/VoteContext.java,apache_incubator-ratis,java:S1066,OPEN,,MAJOR,Merge this if statement with the enclosing one.,95.0,01b1dbcffb1abdd9917fa79669acb8c4,,5min,2021-01-13 14:00:24+01:00,2021-01-13 14:00:24+01:00,,95.0,95.0,6.0,8.0,CODE_SMELL,apache,1610542824,1610542824,0.0,0,5
AXbcw52QFEOhq2iC05Q-,apache_incubator-ratis:ratis-server/src/main/java/org/apache/ratis/server/impl/LeaderElection.java,apache_incubator-ratis,java:S2629,OPEN,,MAJOR,Invoke method(s) only conditionally.,93.0,0fa3e7387509fce8212f09c72109cd2c,,5min,2021-01-07 13:11:48+01:00,2021-01-07 13:11:48+01:00,,93.0,93.0,41.0,90.0,CODE_SMELL,apache,1610021508,1610021508,0.0,0,5
AXbcw52QFEOhq2iC05Q9,apache_incubator-ratis:ratis-server/src/main/java/org/apache/ratis/server/impl/LeaderElection.java,apache_incubator-ratis,java:S1066,OPEN,,MAJOR,Merge this if statement with the enclosing one.,238.0,f4c2f5802fc33ea00996db894e9def0d,,5min,2021-01-07 13:11:48+01:00,2021-01-07 13:11:48+01:00,,238.0,238.0,8.0,10.0,CODE_SMELL,apache,1610021508,1610021508,0.0,0,5
