key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXbWikthsG7HOCkj6uF-,roller-master:app/src/main/java/org/apache/roller/weblogger/business/startup/DatabaseInstaller.java,roller-master,java:S2095,CLOSED,FIXED,BLOCKER,"Use try-with-resources or close this ""PreparedStatement"" in a ""finally"" clause.",,6224e29a9bb603fc69a5f5d1dfe7fb4d,,5min,2021-01-06 08:09:44+01:00,2021-01-06 08:34:07+01:00,,933.0,933.0,37.0,114.0,BUG,apache,1609916984,1609918447,1.0,1,5
AXbWikthsG7HOCkj6uF9,roller-master:app/src/main/java/org/apache/roller/weblogger/business/startup/DatabaseInstaller.java,roller-master,java:S2095,CLOSED,FIXED,BLOCKER,"Use try-with-resources or close this ""PreparedStatement"" in a ""finally"" clause.",,9326a7cd48a6f324df90efffc9ec2f41,,5min,2021-01-06 08:09:44+01:00,2021-01-06 08:34:07+01:00,,914.0,914.0,37.0,102.0,BUG,apache,1609916984,1609918447,1.0,1,5
AXbWilEtsG7HOCkj6uIv,roller-master:app/src/main/webapp/themes/gaurav/css/bootstrap-reboot.css,roller-master,css:S4656,CLOSED,FIXED,MAJOR,"Unexpected duplicate ""text-decoration""",,f01c587935046615d9cc68610a576703,,1min,2021-01-06 08:09:44+01:00,2021-01-06 08:15:58+01:00,,60.0,60.0,0.0,36.0,BUG,apache,1609916984,1609917358,1.0,0,1
AXbWilEZsG7HOCkj6uIp,roller-master:app/src/main/webapp/themes/gaurav/css/bootstrap.css,roller-master,css:S4656,CLOSED,FIXED,MAJOR,"Unexpected duplicate ""text-decoration""",,f01c587935046615d9cc68610a576703,,1min,2021-01-06 08:09:44+01:00,2021-01-06 08:15:58+01:00,,90.0,90.0,0.0,36.0,BUG,apache,1609916984,1609917358,1.0,0,1
AXbWilEZsG7HOCkj6uIq,roller-master:app/src/main/webapp/themes/gaurav/css/bootstrap.css,roller-master,css:S4666,CLOSED,FIXED,MAJOR,"Unexpected duplicate selector "".dropright .dropdown-toggle::after"", first used at line 3307",,6ea2963640f81b1b28115ff34af4c95c,,1min,2021-01-06 08:09:44+01:00,2021-01-06 08:15:58+01:00,,3322.0,3322.0,0.0,36.0,CODE_SMELL,apache,1609916984,1609917358,1.0,0,1
AXbWilEZsG7HOCkj6uIr,roller-master:app/src/main/webapp/themes/gaurav/css/bootstrap.css,roller-master,css:S4666,CLOSED,FIXED,MAJOR,"Unexpected duplicate selector "".dropleft .dropdown-toggle::after"", first used at line 3334",,99264812627eaed2a062f52a2baf2ec5,,1min,2021-01-06 08:09:44+01:00,2021-01-06 08:15:58+01:00,,3341.0,3341.0,0.0,35.0,CODE_SMELL,apache,1609916984,1609917358,1.0,0,1
AXbWilEZsG7HOCkj6uIs,roller-master:app/src/main/webapp/themes/gaurav/css/bootstrap.css,roller-master,css:S4666,CLOSED,FIXED,MAJOR,"Unexpected duplicate selector "".dropleft .dropdown-toggle::before"", first used at line 3345",,76327e24d04692abdff8c62757d073d6,,1min,2021-01-06 08:09:44+01:00,2021-01-06 08:15:58+01:00,,3359.0,3359.0,0.0,36.0,CODE_SMELL,apache,1609916984,1609917358,1.0,0,1
AXbWilEZsG7HOCkj6uIt,roller-master:app/src/main/webapp/themes/gaurav/css/bootstrap.css,roller-master,css:S4666,CLOSED,FIXED,MAJOR,"Unexpected duplicate selector "".navbar-expand > .container,
.navbar-expand > .container-fluid, .navbar-expand > .container-sm, .navbar-expand > .container-md, .navbar-expand > .container-lg, .navbar-expand > .container-xl"", first used at line 4585 (no-duplicate-selectors)",,8dcce73dd580152599f5803ec0820a03,,1min,2021-01-06 08:09:44+01:00,2021-01-06 08:15:58+01:00,,4605.0,4605.0,0.0,28.0,CODE_SMELL,apache,1609916984,1609917358,1.0,0,1
AXbWilEZsG7HOCkj6uIu,roller-master:app/src/main/webapp/themes/gaurav/css/bootstrap.css,roller-master,css:S4666,CLOSED,FIXED,MAJOR,"Unexpected duplicate selector "".breadcrumb-item + .breadcrumb-item:hover::before"", first used at line 4991",,9a0c8b7270901d08af872e3d7379ed9d,,1min,2021-01-06 08:09:44+01:00,2021-01-06 08:15:58+01:00,,4995.0,4995.0,0.0,51.0,CODE_SMELL,apache,1609916984,1609917358,1.0,0,1
AXbWilEAsG7HOCkj6uH_,roller-master:app/src/main/webapp/themes/gaurav/js/bootstrap.bundle.js,roller-master,javascript:S905,CLOSED,FIXED,MAJOR,Expected an assignment or function call and instead saw an expression.,,cd0ecf020527f51acbf672c83c194c11,,10min,2021-01-06 08:09:44+01:00,2021-01-06 08:15:58+01:00,,7.0,9.0,2.0,124.0,BUG,apache,1609916984,1609917358,1.0,0,10
