key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXLjtt03eAYwie69eYpa,servicecomb-pack:alpha/alpha-fsm/src/main/java/org/apache/servicecomb/pack/alpha/fsm/SagaActor.java,servicecomb-pack,java:S1066,OPEN,,MAJOR,Merge this if statement with the enclosing one.,519,e7da7c104cba4824d37ecfb7ba4fea19,,5min,2020-06-24T01:39:04+0200,2020-06-24T02:24:03+0200,,519,519,14,16,CODE_SMELL,apache
AXLjtt03eAYwie69eYpb,servicecomb-pack:alpha/alpha-fsm/src/main/java/org/apache/servicecomb/pack/alpha/fsm/SagaActor.java,servicecomb-pack,java:S1066,OPEN,,MAJOR,Merge this if statement with the enclosing one.,537,e7da7c104cba4824d37ecfb7ba4fea19,,5min,2020-06-24T01:39:04+0200,2020-06-24T02:24:03+0200,,537,537,16,18,CODE_SMELL,apache
AXLjtt03eAYwie69eYpc,servicecomb-pack:alpha/alpha-fsm/src/main/java/org/apache/servicecomb/pack/alpha/fsm/SagaActor.java,servicecomb-pack,java:S1066,OPEN,,MAJOR,Merge this if statement with the enclosing one.,559,e7da7c104cba4824d37ecfb7ba4fea19,,5min,2020-06-24T01:39:04+0200,2020-06-24T02:24:03+0200,,559,559,14,16,CODE_SMELL,apache
AXLjtt03eAYwie69eYpd,servicecomb-pack:alpha/alpha-fsm/src/main/java/org/apache/servicecomb/pack/alpha/fsm/SagaActor.java,servicecomb-pack,java:S1172,OPEN,,MAJOR,"Remove this unused method parameter ""event"".",602,aff1bc087404a269fef0ef60bae2998b,,5min,2020-06-24T01:39:04+0200,2020-06-24T02:24:03+0200,,602,602,43,48,CODE_SMELL,apache
AXLjtt03eAYwie69eYpe,servicecomb-pack:alpha/alpha-fsm/src/main/java/org/apache/servicecomb/pack/alpha/fsm/SagaActor.java,servicecomb-pack,java:S1193,OPEN,,MAJOR,"Replace the usage of the ""instanceof"" operator by a catch block.",643,f7ee901b84f4555ff46c466182858883,,10min,2020-06-24T01:39:04+0200,2020-06-24T02:24:03+0200,,643,643,13,23,CODE_SMELL,apache
AXIRJcKgmDywjajRKbJJ,servicecomb-pack:alpha/alpha-server/src/main/java/org/apache/servicecomb/pack/alpha/server/AlphaConfig.java,servicecomb-pack,java:S3740,OPEN,,MAJOR,Provide the parametrized type for this generic.,173,8ebf5c99896a6f89dde8c0fe67b74f1e,,5min,2020-05-05T16:20:51+0200,2020-05-05T16:34:52+0200,,173,173,49,58,CODE_SMELL,apache
AXIRJcKgmDywjajRKbJK,servicecomb-pack:alpha/alpha-server/src/main/java/org/apache/servicecomb/pack/alpha/server/AlphaConfig.java,servicecomb-pack,java:S3740,OPEN,,MAJOR,Provide the parametrized type for this generic.,195,8ebf5c99896a6f89dde8c0fe67b74f1e,,5min,2020-05-05T16:20:51+0200,2020-05-05T16:34:52+0200,,195,195,49,58,CODE_SMELL,apache
AXHKBq7zm-xqrqgDA4Ua,servicecomb-pack:alpha/alpha-fsm/src/main/java/org/apache/servicecomb/pack/alpha/fsm/repository/elasticsearch/ElasticsearchTransactionRepository.java,servicecomb-pack,java:S1068,OPEN,,MAJOR,"Remove this unused ""searchResultMapper"" private field.",213,d3eb745102ca65b58c7ac86a75693140,,5min,2020-04-30T09:24:46+0200,2020-04-30T09:38:24+0200,,213,213,35,53,CODE_SMELL,apache
AXEZ5YvzVbAm-_Te7LVB,servicecomb-pack:pack-common/src/main/java/org/apache/servicecomb/pack/common/Environment.java,servicecomb-pack,java:S2168,OPEN,,BLOCKER,Remove this dangerous instance of double-checked locking.,50,0543d6283608bf8989cfdeecc1644bf7,,20min,2020-03-27T02:11:51+0100,2020-03-27T03:48:45+0100,,50,50,6,18,BUG,apache
AXERkk_8cbTWKc-hwWo3,servicecomb-pack:alpha/alpha-core/src/main/java/org/apache/servicecomb/pack/alpha/core/fsm/event/internal/CompensateAckTimeoutEvent.java,servicecomb-pack,common-java:DuplicatedBlocks,OPEN,,MAJOR,2 duplicated blocks of code must be removed.,,,,30min,2020-03-25T12:44:56+0100,2020-03-25T13:00:54+0100,,,,,,CODE_SMELL,apache
