key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXLjtt03eAYwie69eYpa,servicecomb-pack:alpha/alpha-fsm/src/main/java/org/apache/servicecomb/pack/alpha/fsm/SagaActor.java,servicecomb-pack,java:S1066,OPEN,,MAJOR,Merge this if statement with the enclosing one.,519.0,e7da7c104cba4824d37ecfb7ba4fea19,,5min,2020-06-24 01:39:04+02:00,2020-06-24 02:24:03+02:00,,519.0,519.0,14.0,16.0,CODE_SMELL,apache,1592959144,1592961843,1.0,0,5
AXLjtt03eAYwie69eYpb,servicecomb-pack:alpha/alpha-fsm/src/main/java/org/apache/servicecomb/pack/alpha/fsm/SagaActor.java,servicecomb-pack,java:S1066,OPEN,,MAJOR,Merge this if statement with the enclosing one.,537.0,e7da7c104cba4824d37ecfb7ba4fea19,,5min,2020-06-24 01:39:04+02:00,2020-06-24 02:24:03+02:00,,537.0,537.0,16.0,18.0,CODE_SMELL,apache,1592959144,1592961843,1.0,0,5
AXLjtt03eAYwie69eYpc,servicecomb-pack:alpha/alpha-fsm/src/main/java/org/apache/servicecomb/pack/alpha/fsm/SagaActor.java,servicecomb-pack,java:S1066,OPEN,,MAJOR,Merge this if statement with the enclosing one.,559.0,e7da7c104cba4824d37ecfb7ba4fea19,,5min,2020-06-24 01:39:04+02:00,2020-06-24 02:24:03+02:00,,559.0,559.0,14.0,16.0,CODE_SMELL,apache,1592959144,1592961843,1.0,0,5
AXLjtt03eAYwie69eYpd,servicecomb-pack:alpha/alpha-fsm/src/main/java/org/apache/servicecomb/pack/alpha/fsm/SagaActor.java,servicecomb-pack,java:S1172,OPEN,,MAJOR,"Remove this unused method parameter ""event"".",602.0,aff1bc087404a269fef0ef60bae2998b,,5min,2020-06-24 01:39:04+02:00,2020-06-24 02:24:03+02:00,,602.0,602.0,43.0,48.0,CODE_SMELL,apache,1592959144,1592961843,1.0,0,5
AXLjtt03eAYwie69eYpe,servicecomb-pack:alpha/alpha-fsm/src/main/java/org/apache/servicecomb/pack/alpha/fsm/SagaActor.java,servicecomb-pack,java:S1193,OPEN,,MAJOR,"Replace the usage of the ""instanceof"" operator by a catch block.",643.0,f7ee901b84f4555ff46c466182858883,,10min,2020-06-24 01:39:04+02:00,2020-06-24 02:24:03+02:00,,643.0,643.0,13.0,23.0,CODE_SMELL,apache,1592959144,1592961843,1.0,0,10
AXIRJcKgmDywjajRKbJJ,servicecomb-pack:alpha/alpha-server/src/main/java/org/apache/servicecomb/pack/alpha/server/AlphaConfig.java,servicecomb-pack,java:S3740,OPEN,,MAJOR,Provide the parametrized type for this generic.,173.0,8ebf5c99896a6f89dde8c0fe67b74f1e,,5min,2020-05-05 16:20:51+02:00,2020-05-05 16:34:52+02:00,,173.0,173.0,49.0,58.0,CODE_SMELL,apache,1588692051,1588692892,1.0,0,5
AXIRJcKgmDywjajRKbJK,servicecomb-pack:alpha/alpha-server/src/main/java/org/apache/servicecomb/pack/alpha/server/AlphaConfig.java,servicecomb-pack,java:S3740,OPEN,,MAJOR,Provide the parametrized type for this generic.,195.0,8ebf5c99896a6f89dde8c0fe67b74f1e,,5min,2020-05-05 16:20:51+02:00,2020-05-05 16:34:52+02:00,,195.0,195.0,49.0,58.0,CODE_SMELL,apache,1588692051,1588692892,1.0,0,5
AXHKBq7zm-xqrqgDA4Ua,servicecomb-pack:alpha/alpha-fsm/src/main/java/org/apache/servicecomb/pack/alpha/fsm/repository/elasticsearch/ElasticsearchTransactionRepository.java,servicecomb-pack,java:S1068,OPEN,,MAJOR,"Remove this unused ""searchResultMapper"" private field.",213.0,d3eb745102ca65b58c7ac86a75693140,,5min,2020-04-30 09:24:46+02:00,2020-04-30 09:38:24+02:00,,213.0,213.0,35.0,53.0,CODE_SMELL,apache,1588235086,1588235904,1.0,0,5
AXEZ5YvzVbAm-_Te7LVB,servicecomb-pack:pack-common/src/main/java/org/apache/servicecomb/pack/common/Environment.java,servicecomb-pack,java:S2168,OPEN,,BLOCKER,Remove this dangerous instance of double-checked locking.,50.0,0543d6283608bf8989cfdeecc1644bf7,,20min,2020-03-27 02:11:51+01:00,2020-03-27 03:48:45+01:00,,50.0,50.0,6.0,18.0,BUG,apache,1585271511,1585277325,1.0,0,20
AXERkk_8cbTWKc-hwWo3,servicecomb-pack:alpha/alpha-core/src/main/java/org/apache/servicecomb/pack/alpha/core/fsm/event/internal/CompensateAckTimeoutEvent.java,servicecomb-pack,common-java:DuplicatedBlocks,OPEN,,MAJOR,2 duplicated blocks of code must be removed.,,,,30min,2020-03-25 12:44:56+01:00,2020-03-25 13:00:54+01:00,,,,,,CODE_SMELL,apache,1585136696,1585137654,1.0,0,30
AXERkk90cbTWKc-hwWo0,servicecomb-pack:alpha/alpha-fsm/src/main/java/org/apache/servicecomb/pack/alpha/fsm/SagaActor.java,servicecomb-pack,java:S3776,CLOSED,FIXED,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.,,6915bcfc4a9df7e09d0fdeee9c7ee1f6,,10min,2020-03-25 12:44:56+01:00,2020-06-24 02:24:03+02:00,,561.0,561.0,15.0,27.0,CODE_SMELL,apache,1585136696,1592961843,91.0,23,10
AXERkk90cbTWKc-hwWo1,servicecomb-pack:alpha/alpha-fsm/src/main/java/org/apache/servicecomb/pack/alpha/fsm/SagaActor.java,servicecomb-pack,java:S1193,OPEN,,MAJOR,"Replace the usage of the ""instanceof"" operator by a catch block.",625.0,16621d13b4aa39447302fc72bb27e161,,10min,2020-03-25 12:44:56+01:00,2020-03-25 13:00:54+01:00,,625.0,625.0,13.0,23.0,CODE_SMELL,apache,1585136696,1585137654,1.0,0,10
AXERkkzscbTWKc-hwWou,servicecomb-pack:alpha/alpha-server/src/test/java/org/apache/servicecomb/pack/alpha/server/fsm/AlphaIntegrationFsmTest.java,servicecomb-pack,java:S3415,OPEN,,MAJOR,"Swap these 2 arguments so they are in the correct order: expected value, actual value.",205.0,ba7f6ea7791f2fb79f9be77c2c1ef754,,2min,2020-03-25 12:44:56+01:00,2020-03-25 13:00:54+01:00,,205.0,205.0,42.0,66.0,CODE_SMELL,apache,1585136696,1585137654,1.0,0,2
AXERkkzscbTWKc-hwWov,servicecomb-pack:alpha/alpha-server/src/test/java/org/apache/servicecomb/pack/alpha/server/fsm/AlphaIntegrationFsmTest.java,servicecomb-pack,java:S3415,OPEN,,MAJOR,"Swap these 2 arguments so they are in the correct order: expected value, actual value.",206.0,798b4b063daf6968512c79e3954e485a,,2min,2020-03-25 12:44:56+01:00,2020-03-25 13:00:54+01:00,,206.0,206.0,50.0,51.0,CODE_SMELL,apache,1585136696,1585137654,1.0,0,2
AXERkkzscbTWKc-hwWow,servicecomb-pack:alpha/alpha-server/src/test/java/org/apache/servicecomb/pack/alpha/server/fsm/AlphaIntegrationFsmTest.java,servicecomb-pack,java:S3415,OPEN,,MAJOR,"Swap these 2 arguments so they are in the correct order: expected value, actual value.",210.0,ac3ed07aa75572b5bf5aaeed7da1c96a,,2min,2020-03-25 12:44:56+01:00,2020-03-25 13:00:54+01:00,,210.0,210.0,71.0,97.0,CODE_SMELL,apache,1585136696,1585137654,1.0,0,2
AXERkkzscbTWKc-hwWox,servicecomb-pack:alpha/alpha-server/src/test/java/org/apache/servicecomb/pack/alpha/server/fsm/AlphaIntegrationFsmTest.java,servicecomb-pack,java:S3415,OPEN,,MAJOR,"Swap these 2 arguments so they are in the correct order: expected value, actual value.",211.0,708f3a13b6202f708eee926d087ee77e,,2min,2020-03-25 12:44:56+01:00,2020-03-25 13:00:54+01:00,,211.0,211.0,71.0,85.0,CODE_SMELL,apache,1585136696,1585137654,1.0,0,2
AXERklLRcbTWKc-hwWo4,servicecomb-pack:pack-common/src/main/java/org/apache/servicecomb/pack/common/EventType.java,servicecomb-pack,java:S115,OPEN,,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,32.0,ff5c1a8da133138ee0086c1e1875f012,,2min,2020-03-25 12:44:56+01:00,2020-03-25 13:00:54+01:00,,32.0,32.0,2.0,27.0,CODE_SMELL,apache,1585136696,1585137654,1.0,0,2
AW-kDxSQlaFiSNXnePAx,servicecomb-pack:alpha/alpha-core/src/main/java/org/apache/servicecomb/pack/alpha/core/fsm/event/TxStartedEvent.java,servicecomb-pack,common-java:DuplicatedBlocks,OPEN,,MAJOR,1 duplicated blocks of code must be removed.,,,,20min,2020-01-14 13:36:04+01:00,2020-01-14 13:36:04+01:00,,,,,,CODE_SMELL,apache,1579005364,1579005364,0.0,0,20
AW-kDxHclaFiSNXnePAf,servicecomb-pack:alpha/alpha-fsm/src/main/java/org/apache/servicecomb/pack/alpha/fsm/domain/AddTxEventDomain.java,servicecomb-pack,common-java:DuplicatedBlocks,OPEN,,MAJOR,1 duplicated blocks of code must be removed.,,,,20min,2020-01-14 13:36:04+01:00,2020-01-14 13:36:04+01:00,,,,,,CODE_SMELL,apache,1579005364,1579005364,0.0,0,20
AW-kDxSBlaFiSNXnePAw,servicecomb-pack:alpha/alpha-core/src/main/java/org/apache/servicecomb/pack/alpha/core/fsm/event/TxCompensateAckSucceedEvent.java,servicecomb-pack,common-java:DuplicatedBlocks,OPEN,,MAJOR,1 duplicated blocks of code must be removed.,,,,20min,2020-01-14 12:33:41+01:00,2020-01-14 13:36:04+01:00,,,,,,CODE_SMELL,apache,1579001621,1579005364,1.0,0,20
