key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AW9V8ODGYn78RzKQmYTY,servicecomb-toolkit:oas-generator/oas-generator-spring/src/main/java/org/apache/servicecomb/toolkit/generator/annotation/RequestMappingClassAnnotationProcessor.java,servicecomb-toolkit,java:S112,OPEN,,MAJOR,Define and throw a dedicated exception instead of using a generic one.,54.0,9417d50eda7ce572b1d43181494dd603,,20min,2019-12-30 09:33:22+01:00,2019-12-30 09:33:22+01:00,,54.0,54.0,16.0,21.0,CODE_SMELL,apache,1577694802,1577694802,0.0,0,20
AW9V8OERYn78RzKQmYTZ,servicecomb-toolkit:oas-generator/oas-generator-spring/src/main/java/org/apache/servicecomb/toolkit/generator/annotation/RequestMappingMethodAnnotationProcessor.java,servicecomb-toolkit,java:S112,OPEN,,MAJOR,Define and throw a dedicated exception instead of using a generic one.,44.0,9417d50eda7ce572b1d43181494dd603,,20min,2019-12-30 09:33:22+01:00,2019-12-30 09:33:22+01:00,,44.0,44.0,16.0,21.0,CODE_SMELL,apache,1577694802,1577694802,0.0,0,20
AW9ViijeiXNHxY_1OuOy,servicecomb-toolkit:oas-generator/oas-generator-core/src/main/java/org/apache/servicecomb/toolkit/generator/util/ModelConverter.java,servicecomb-toolkit,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.,77.0,fc10c1efc5931fc3e9ee1ab2078b7f93,,14min,2019-12-30 07:41:11+01:00,2019-12-30 07:41:11+01:00,,77.0,77.0,23.0,32.0,CODE_SMELL,apache,1577688071,1577688071,0.0,0,14
AW9ViijeiXNHxY_1OuOw,servicecomb-toolkit:oas-generator/oas-generator-core/src/main/java/org/apache/servicecomb/toolkit/generator/util/ModelConverter.java,servicecomb-toolkit,java:S1066,OPEN,,MAJOR,Merge this if statement with the enclosing one.,121.0,250404150b97c3388f3fc1cb31ef8155,,5min,2019-12-30 07:41:11+01:00,2019-12-30 07:41:11+01:00,,121.0,121.0,6.0,8.0,CODE_SMELL,apache,1577688071,1577688071,0.0,0,5
AW9ViijeiXNHxY_1OuOx,servicecomb-toolkit:oas-generator/oas-generator-core/src/main/java/org/apache/servicecomb/toolkit/generator/util/ModelConverter.java,servicecomb-toolkit,java:S2259,OPEN,,MAJOR,"""NullPointerException"" will be thrown when invoking method ""shouldExtractRef()"".",134.0,77fdb7529ece108f9623e551c4509a9e,,10min,2019-12-30 07:41:11+01:00,2019-12-30 07:41:11+01:00,,134.0,134.0,8.0,24.0,BUG,apache,1577688071,1577688071,0.0,0,10
AW9ViijeiXNHxY_1OuOz,servicecomb-toolkit:oas-generator/oas-generator-core/src/main/java/org/apache/servicecomb/toolkit/generator/util/ModelConverter.java,servicecomb-toolkit,java:S1168,OPEN,,MAJOR,Return an empty collection instead of null.,191.0,540c13e9e156b687226421b24f2df178,,30min,2019-12-30 07:41:11+01:00,2019-12-30 07:41:11+01:00,,191.0,191.0,13.0,17.0,CODE_SMELL,apache,1577688071,1577688071,0.0,0,30
AW9ViijeiXNHxY_1OuO0,servicecomb-toolkit:oas-generator/oas-generator-core/src/main/java/org/apache/servicecomb/toolkit/generator/util/ModelConverter.java,servicecomb-toolkit,java:S1168,OPEN,,MAJOR,Return an empty collection instead of null.,217.0,540c13e9e156b687226421b24f2df178,,30min,2019-12-30 07:41:11+01:00,2019-12-30 07:41:11+01:00,,217.0,217.0,13.0,17.0,CODE_SMELL,apache,1577688071,1577688071,0.0,0,30
AW9U26CZC-oUClBdhNR2,servicecomb-toolkit:cli/src/main/java/org/apache/servicecomb/toolkit/cli/CodeGenerate.java,servicecomb-toolkit,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,99.0,c0a4636e14eb4f6b03cb2dde77b07d70,,6min,2019-12-30 04:30:32+01:00,2019-12-30 04:30:32+01:00,,99.0,99.0,14.0,17.0,CODE_SMELL,apache,1577676632,1577676632,0.0,0,6
AW9U25-jC-oUClBdhNRz,servicecomb-toolkit:codegen/src/main/java/org/apache/servicecomb/toolkit/codegen/AbstractJavaCodegenExt.java,servicecomb-toolkit,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal ""mainClassPackage"" 3 times.",55.0,11600cf7d006ec4cdaed4e8a62f41b7d,,8min,2019-12-30 04:30:32+01:00,2019-12-30 04:30:32+01:00,,55.0,55.0,62.0,80.0,CODE_SMELL,apache,1577676632,1577676632,0.0,0,8
AW9U25-jC-oUClBdhNR0,servicecomb-toolkit:codegen/src/main/java/org/apache/servicecomb/toolkit/codegen/AbstractJavaCodegenExt.java,servicecomb-toolkit,java:S3027,OPEN,,MAJOR,"Put single-quotes around '.' to use the faster ""lastIndexOf(char)"" method.",56.0,b7cc6606ad473776bab838466599e04c,,5min,2019-12-30 04:30:32+01:00,2019-12-30 04:30:32+01:00,,56.0,56.0,72.0,75.0,CODE_SMELL,apache,1577676632,1577676632,0.0,0,5
AW9U26APC-oUClBdhNR1,servicecomb-toolkit:codegen/src/main/java/org/apache/servicecomb/toolkit/codegen/SpringCloudCodegen.java,servicecomb-toolkit,java:S1128,OPEN,,MINOR,Remove this unused import 'org.apache.commons.lang3.StringUtils'.,27.0,d5806e02c22773c622b0de99fb5f3640,,2min,2019-12-30 04:30:32+01:00,2019-12-30 04:30:32+01:00,,27.0,27.0,0.0,44.0,CODE_SMELL,apache,1577676632,1577676632,0.0,0,2
AW9Blggsd0Pb5o5B9LY0,servicecomb-toolkit:cli/src/main/java/org/apache/servicecomb/toolkit/cli/CodeGenerate.java,servicecomb-toolkit,java:S1117,OPEN,,MAJOR,"Rename ""properties"" which hides the field declared at line 90.",111.0,42ba1c65b776ae4b6a6f56b9b8ee71e6,,5min,2019-12-26 10:41:46+01:00,2019-12-26 10:41:46+01:00,,111.0,111.0,46.0,56.0,CODE_SMELL,apache,1577353306,1577353306,0.0,0,5
AW8xW86ETj8WHmt3hXjl,servicecomb-toolkit:cli/src/main/java/org/apache/servicecomb/toolkit/cli/DocGenerate.java,servicecomb-toolkit,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal ""contractContent"" 3 times.",77.0,4bd5bf1fd25a590eb08a7e6793ce3abe,,8min,2019-12-23 07:04:14+01:00,2019-12-23 07:04:14+01:00,,77.0,77.0,35.0,52.0,CODE_SMELL,apache,1577081054,1577081054,0.0,0,8
AW8xW86ETj8WHmt3hXjm,servicecomb-toolkit:cli/src/main/java/org/apache/servicecomb/toolkit/cli/DocGenerate.java,servicecomb-toolkit,java:S1488,OPEN,,MINOR,"Immediately return this expression instead of assigning it to the temporary variable ""openAPI"".",113.0,1a20e1be3e61405e221caf3253214456,,2min,2019-12-23 07:04:14+01:00,2019-12-23 07:04:14+01:00,,113.0,113.0,22.0,53.0,CODE_SMELL,apache,1577081054,1577081054,0.0,0,2
AW74MushTjtp3mI4hrJM,servicecomb-toolkit:cli/src/main/java/org/apache/servicecomb/toolkit/cli/ToolkitMain.java,servicecomb-toolkit,java:S106,OPEN,,MAJOR,Replace this use of System.out or System.err by a logger.,60.0,b0ddfdc1248525020931026477f7c8fb,,10min,2019-12-12 04:41:01+01:00,2019-12-12 04:41:01+01:00,,60.0,60.0,25.0,35.0,CODE_SMELL,apache,1576122061,1576122061,0.0,0,10
AW6lYe1TBmP1bM4iP9K1,servicecomb-toolkit:oas-generator/oas-generator-core/src/main/java/org/apache/servicecomb/toolkit/generator/HttpStatuses.java,servicecomb-toolkit,java:S1124,OPEN,,MINOR,Reorder the modifiers to comply with the Java Language Specification.,25.0,3d91d34e38b368cfc63aa6719d9656e4,,2min,2019-11-26 02:43:55+01:00,2019-11-26 02:43:55+01:00,,25.0,25.0,15.0,21.0,CODE_SMELL,apache,1574732635,1574732635,0.0,0,2
AW6NSwB1cqz_69VYvoqw,servicecomb-toolkit:cli/src/main/java/org/apache/servicecomb/toolkit/cli/CheckStyleBase.java,servicecomb-toolkit,java:S112,OPEN,,MAJOR,Define and throw a dedicated exception instead of using a generic one.,65.0,fdda924e16c6c8cb6afc035461946766,,20min,2019-11-21 10:27:54+01:00,2019-11-21 10:27:54+01:00,,65.0,65.0,16.0,32.0,CODE_SMELL,apache,1574328474,1574328474,0.0,0,20
AW6NSwB1cqz_69VYvoqx,servicecomb-toolkit:cli/src/main/java/org/apache/servicecomb/toolkit/cli/CheckStyleBase.java,servicecomb-toolkit,java:S112,OPEN,,MAJOR,Define and throw a dedicated exception instead of using a generic one.,72.0,fdda924e16c6c8cb6afc035461946766,,20min,2019-11-21 10:27:54+01:00,2019-11-21 10:27:54+01:00,,72.0,72.0,16.0,32.0,CODE_SMELL,apache,1574328474,1574328474,0.0,0,20
AW6NSwB1cqz_69VYvoqy,servicecomb-toolkit:cli/src/main/java/org/apache/servicecomb/toolkit/cli/CheckStyleBase.java,servicecomb-toolkit,java:S112,OPEN,,MAJOR,Define and throw a dedicated exception instead of using a generic one.,84.0,bf826201d70aee53abf46c5df0a63177,,20min,2019-11-21 10:27:54+01:00,2019-11-21 10:27:54+01:00,,84.0,84.0,16.0,32.0,CODE_SMELL,apache,1574328474,1574328474,0.0,0,20
AW6NSwB1cqz_69VYvoqz,servicecomb-toolkit:cli/src/main/java/org/apache/servicecomb/toolkit/cli/CheckStyleBase.java,servicecomb-toolkit,java:S4719,OPEN,,MINOR,"Replace ""com.google.common.base.Charsets.UTF_8"" with ""StandardCharsets.UTF_8"".",115.0,70bcc3b92c79a81a539f834057ad4e27,,1min,2019-11-21 10:27:54+01:00,2019-11-21 10:27:54+01:00,,115.0,115.0,66.0,71.0,CODE_SMELL,apache,1574328474,1574328474,0.0,0,1
AW-AAZA39c6oVGF2RVdf,servicecomb-toolkit:cli/src/main/java/org/apache/servicecomb/toolkit/cli/CheckStyleBase.java,servicecomb-toolkit,java:S2093,OPEN,,CRITICAL,"Change this ""try"" to a try-with-resources.",104.0,80d5b17efc16ace990c07580fc3e85eb,,15min,2019-11-21 10:22:51+01:00,2020-01-07 13:35:17+01:00,,104.0,104.0,4.0,7.0,CODE_SMELL,apache,1574328171,1578400517,48.0,36,15
AW6NSvrkcqz_69VYvoqp,servicecomb-toolkit:oas-validator/oas-validator-core/src/main/java/org/apache/servicecomb/toolkit/oasv/FactoryOptions.java,servicecomb-toolkit,java:S1117,OPEN,,MAJOR,"Rename ""options"" which hides the field declared at line 26.",33.0,1f0c2bab7957ae0a824ceb8d23030f6e,,5min,2019-11-21 10:22:51+01:00,2019-11-21 10:27:54+01:00,,33.0,33.0,24.0,31.0,CODE_SMELL,apache,1574328171,1574328474,1.0,0,5
AW6NSvrkcqz_69VYvoqq,servicecomb-toolkit:oas-validator/oas-validator-core/src/main/java/org/apache/servicecomb/toolkit/oasv/FactoryOptions.java,servicecomb-toolkit,java:S2447,OPEN,,CRITICAL,"Null is returned but a ""Boolean"" is expected.",54.0,540c13e9e156b687226421b24f2df178,,20min,2019-11-21 10:22:51+01:00,2019-11-21 10:27:54+01:00,,54.0,54.0,11.0,15.0,CODE_SMELL,apache,1574328171,1574328474,1.0,0,20
AW6NSv0Vcqz_69VYvoqs,servicecomb-toolkit:oas-validator/oas-validator-style/src/main/java/org/apache/servicecomb/toolkit/oasv/style/validator/parameter/ParameterNameCookieCaseValidator.java,servicecomb-toolkit,common-java:DuplicatedBlocks,OPEN,,MAJOR,1 duplicated blocks of code must be removed.,,,,20min,2019-11-21 10:22:51+01:00,2019-11-25 02:30:11+01:00,,,,,,CODE_SMELL,apache,1574328171,1574645411,4.0,3,20
