key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXU3Ythf20qBm7j56BbH,apache_shiro:support/spring/src/test/java/org/apache/shiro/spring/web/config/ShiroWebConfigurationTestSameSiteStrict.java,apache_shiro,java:S3577,OPEN,,MINOR,"Rename class ""ShiroWebConfigurationTestSameSiteStrict"" to match the regular expression: '^((Test|IT)[a-zA-Z0-9_]+|[A-Z][a-zA-Z0-9_]*(Test|Tests|TestCase|IT|ITCase))$'",37,d50270e2f0d84e38a139d48b9060b748,,5min,2020-10-17T17:02:56+0200,2020-10-17T18:25:52+0200,,37,37,13,52,CODE_SMELL,apache
AXU3Ythf20qBm7j56BbI,apache_shiro:support/spring/src/test/java/org/apache/shiro/spring/web/config/ShiroWebConfigurationTestSameSiteStrict.java,apache_shiro,java:S5786,OPEN,,INFO,Remove this 'public' modifier.,37,d50270e2f0d84e38a139d48b9060b748,,2min,2020-10-17T17:02:56+0200,2020-10-17T18:25:52+0200,,37,37,0,6,CODE_SMELL,apache
AXT6QyOcwfDtHEPZuuWr,apache_shiro:lang/src/main/java/org/apache/shiro/lang/util/ClassUtils.java,apache_shiro,java:S1874,OPEN,,MINOR,"Remove this use of ""newInstance""; it is deprecated.",206,117797285277db29458aff4b529cc123,,15min,2020-10-05T21:34:26+0200,2020-10-05T21:34:26+0200,,206,206,25,36,CODE_SMELL,apache
AXT6QyHBwfDtHEPZuuWq,apache_shiro:web/src/main/java/org/apache/shiro/web/servlet/ShiroHttpSession.java,apache_shiro,java:S1874,OPEN,,MINOR,"Remove this use of ""Long""; it is deprecated.",118,ff30ed311e02b0be3d848b132c110f93,,15min,2020-10-05T21:34:26+0200,2020-10-05T21:34:26+0200,,118,118,24,28,CODE_SMELL,apache
AXU3Ytdn20qBm7j56BbB,apache_shiro:web/src/main/java/org/apache/shiro/web/servlet/SimpleCookie.java,apache_shiro,java:S1117,OPEN,,MAJOR,"Rename ""sameSite"" which hides the field declared at line 84.",427,bde24d73d7cce50e6068fe77256dbbc4,,5min,2020-10-01T11:11:53+0200,2020-10-17T18:25:52+0200,,427,427,24,32,CODE_SMELL,apache
AXTvO9vg3S_U1xqKcOna,apache_shiro:crypto/cipher/src/main/java/org/apache/shiro/crypto/cipher/CipherService.java,apache_shiro,java:S1130,CLOSED,FIXED,MINOR,Remove the declaration of thrown exception 'org.apache.shiro.crypto.CryptoException' which is a runtime exception.,,c589f4ac51c729fb123c1c5c7d563225,,5min,2020-08-20T21:24:01+0200,2021-01-13T08:20:41+0100,,99,99,76,91,CODE_SMELL,apache
AXTvO9vl3S_U1xqKcOnj,apache_shiro:crypto/cipher/src/main/java/org/apache/shiro/crypto/cipher/JcaCipherService.java,apache_shiro,java:S1130,CLOSED,FIXED,MINOR,Remove the declaration of thrown exception 'org.apache.shiro.crypto.CryptoException' which is a runtime exception.,,e8f4d1d233d2df799c1f0d2bd319ca95,,5min,2020-08-20T21:24:01+0200,2021-01-13T08:20:41+0100,,348,348,74,89,CODE_SMELL,apache
AXTvO9vl3S_U1xqKcOnk,apache_shiro:crypto/cipher/src/main/java/org/apache/shiro/crypto/cipher/JcaCipherService.java,apache_shiro,java:S1130,CLOSED,FIXED,MINOR,Remove the declaration of thrown exception 'org.apache.shiro.crypto.CryptoException' which is a runtime exception.,,f1e5be2a6018d3f727e82fbf9d2a8128,,5min,2020-08-20T21:24:01+0200,2021-01-13T08:20:41+0100,,352,352,69,84,CODE_SMELL,apache
AXTvO9vl3S_U1xqKcOnl,apache_shiro:crypto/cipher/src/main/java/org/apache/shiro/crypto/cipher/JcaCipherService.java,apache_shiro,java:S1130,CLOSED,FIXED,MINOR,Remove the declaration of thrown exception 'org.apache.shiro.crypto.CryptoException' which is a runtime exception.,,0146a49508634c3a904c6b5e01fdc6e7,,5min,2020-08-20T21:24:01+0200,2021-01-13T08:20:41+0100,,390,390,88,103,CODE_SMELL,apache
AXTvO9263S_U1xqKcOw2,apache_shiro:pom.xml,apache_shiro,xml:S1135,OPEN,,INFO,"Complete the task associated to this ""TODO"" comment.",1520,906c0556ff07d5f1e2c4da4114db5d14,,,2020-08-20T16:42:35+0200,2020-10-03T18:09:01+0200,,1520,1520,20,68,CODE_SMELL,apache
