key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXU3Ythf20qBm7j56BbH,apache_shiro:support/spring/src/test/java/org/apache/shiro/spring/web/config/ShiroWebConfigurationTestSameSiteStrict.java,apache_shiro,java:S3577,OPEN,,MINOR,"Rename class ""ShiroWebConfigurationTestSameSiteStrict"" to match the regular expression: '^((Test|IT)[a-zA-Z0-9_]+|[A-Z][a-zA-Z0-9_]*(Test|Tests|TestCase|IT|ITCase))$'",37.0,d50270e2f0d84e38a139d48b9060b748,,5min,2020-10-17 17:02:56+02:00,2020-10-17 18:25:52+02:00,,37.0,37.0,13.0,52.0,CODE_SMELL,apache,1602950576,1602955552,1.0,6,5
AXU3Ythf20qBm7j56BbI,apache_shiro:support/spring/src/test/java/org/apache/shiro/spring/web/config/ShiroWebConfigurationTestSameSiteStrict.java,apache_shiro,java:S5786,OPEN,,INFO,Remove this 'public' modifier.,37.0,d50270e2f0d84e38a139d48b9060b748,,2min,2020-10-17 17:02:56+02:00,2020-10-17 18:25:52+02:00,,37.0,37.0,0.0,6.0,CODE_SMELL,apache,1602950576,1602955552,1.0,6,2
AXT6QyOcwfDtHEPZuuWr,apache_shiro:lang/src/main/java/org/apache/shiro/lang/util/ClassUtils.java,apache_shiro,java:S1874,OPEN,,MINOR,"Remove this use of ""newInstance""; it is deprecated.",206.0,117797285277db29458aff4b529cc123,,15min,2020-10-05 21:34:26+02:00,2020-10-05 21:34:26+02:00,,206.0,206.0,25.0,36.0,CODE_SMELL,apache,1601930066,1601930066,0.0,0,15
AXT6QyHBwfDtHEPZuuWq,apache_shiro:web/src/main/java/org/apache/shiro/web/servlet/ShiroHttpSession.java,apache_shiro,java:S1874,OPEN,,MINOR,"Remove this use of ""Long""; it is deprecated.",118.0,ff30ed311e02b0be3d848b132c110f93,,15min,2020-10-05 21:34:26+02:00,2020-10-05 21:34:26+02:00,,118.0,118.0,24.0,28.0,CODE_SMELL,apache,1601930066,1601930066,0.0,0,15
AXU3Ytdn20qBm7j56BbB,apache_shiro:web/src/main/java/org/apache/shiro/web/servlet/SimpleCookie.java,apache_shiro,java:S1117,OPEN,,MAJOR,"Rename ""sameSite"" which hides the field declared at line 84.",427.0,bde24d73d7cce50e6068fe77256dbbc4,,5min,2020-10-01 11:11:53+02:00,2020-10-17 18:25:52+02:00,,427.0,427.0,24.0,32.0,CODE_SMELL,apache,1601547113,1602955552,17.0,17,5
AXTvO9vg3S_U1xqKcOna,apache_shiro:crypto/cipher/src/main/java/org/apache/shiro/crypto/cipher/CipherService.java,apache_shiro,java:S1130,CLOSED,FIXED,MINOR,Remove the declaration of thrown exception 'org.apache.shiro.crypto.CryptoException' which is a runtime exception.,,c589f4ac51c729fb123c1c5c7d563225,,5min,2020-08-20 21:24:01+02:00,2021-01-13 08:20:41+01:00,,99.0,99.0,76.0,91.0,CODE_SMELL,apache,1597955041,1610522441,146.0,67,5
AXTvO9vl3S_U1xqKcOnj,apache_shiro:crypto/cipher/src/main/java/org/apache/shiro/crypto/cipher/JcaCipherService.java,apache_shiro,java:S1130,CLOSED,FIXED,MINOR,Remove the declaration of thrown exception 'org.apache.shiro.crypto.CryptoException' which is a runtime exception.,,e8f4d1d233d2df799c1f0d2bd319ca95,,5min,2020-08-20 21:24:01+02:00,2021-01-13 08:20:41+01:00,,348.0,348.0,74.0,89.0,CODE_SMELL,apache,1597955041,1610522441,146.0,67,5
AXTvO9vl3S_U1xqKcOnk,apache_shiro:crypto/cipher/src/main/java/org/apache/shiro/crypto/cipher/JcaCipherService.java,apache_shiro,java:S1130,CLOSED,FIXED,MINOR,Remove the declaration of thrown exception 'org.apache.shiro.crypto.CryptoException' which is a runtime exception.,,f1e5be2a6018d3f727e82fbf9d2a8128,,5min,2020-08-20 21:24:01+02:00,2021-01-13 08:20:41+01:00,,352.0,352.0,69.0,84.0,CODE_SMELL,apache,1597955041,1610522441,146.0,67,5
AXTvO9vl3S_U1xqKcOnl,apache_shiro:crypto/cipher/src/main/java/org/apache/shiro/crypto/cipher/JcaCipherService.java,apache_shiro,java:S1130,CLOSED,FIXED,MINOR,Remove the declaration of thrown exception 'org.apache.shiro.crypto.CryptoException' which is a runtime exception.,,0146a49508634c3a904c6b5e01fdc6e7,,5min,2020-08-20 21:24:01+02:00,2021-01-13 08:20:41+01:00,,390.0,390.0,88.0,103.0,CODE_SMELL,apache,1597955041,1610522441,146.0,67,5
AXTvO9263S_U1xqKcOw2,apache_shiro:pom.xml,apache_shiro,xml:S1135,OPEN,,INFO,"Complete the task associated to this ""TODO"" comment.",1520.0,906c0556ff07d5f1e2c4da4114db5d14,,,2020-08-20 16:42:35+02:00,2020-10-03 18:09:01+02:00,,1520.0,1520.0,20.0,68.0,CODE_SMELL,apache,1597938155,1601744941,45.0,11,0
