key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXc6FFGn1IuZwn2BGi_M,apache_sling-org-apache-sling-app-cms:reference/src/main/java/org/apache/sling/cms/reference/forms/FormConstants.java,apache_sling-org-apache-sling-app-cms,java:S1118,OPEN,,MAJOR,Add a private constructor to hide the implicit public one.,19,2586e0ba464edf71695a08f9a989b3f5,,5min,2021-01-25T15:49:43+0100,2021-01-25T16:04:54+0100,,19,19,13,26,CODE_SMELL,apache
AXc6FFCg1IuZwn2BGi_J,apache_sling-org-apache-sling-app-cms:reference/src/main/java/org/apache/sling/cms/reference/forms/FormUtils.java,apache_sling-org-apache-sling-app-cms,java:S1118,OPEN,,MAJOR,Add a private constructor to hide the implicit public one.,23,91ed510eaae2056122e2ef1364bf4095,,5min,2021-01-25T15:49:43+0100,2021-01-25T16:04:54+0100,,23,23,13,22,CODE_SMELL,apache
AXc6FFEn1IuZwn2BGi_K,apache_sling-org-apache-sling-app-cms:reference/src/main/java/org/apache/sling/cms/reference/forms/impl/actions/DeleteUserGeneratedContentAction.java,apache_sling-org-apache-sling-app-cms,common-java:DuplicatedBlocks,OPEN,,MAJOR,2 duplicated blocks of code must be removed.,,,,30min,2021-01-25T15:49:43+0100,2021-01-25T16:04:54+0100,,,,,,CODE_SMELL,apache
AXc6FFFZ1IuZwn2BGi_L,apache_sling-org-apache-sling-app-cms:reference/src/main/java/org/apache/sling/cms/reference/forms/impl/actions/UpdateUserGeneratedContentAction.java,apache_sling-org-apache-sling-app-cms,common-java:DuplicatedBlocks,OPEN,,MAJOR,2 duplicated blocks of code must be removed.,,,,30min,2021-01-25T15:49:43+0100,2021-01-25T16:04:54+0100,,,,,,CODE_SMELL,apache
AXaqFTdb9EyRfP0Qz23Q,apache_sling-org-apache-sling-app-cms:reference/src/main/java/org/apache/sling/cms/reference/models/ItemList.java,apache_sling-org-apache-sling-app-cms,common-java:DuplicatedBlocks,OPEN,,MAJOR,1 duplicated blocks of code must be removed.,,,,20min,2020-12-28T17:00:48+0100,2020-12-28T17:00:48+0100,,,,,,CODE_SMELL,apache
AXaqFTfM9EyRfP0Qz23R,apache_sling-org-apache-sling-app-cms:reference/src/main/java/org/apache/sling/cms/reference/models/Search.java,apache_sling-org-apache-sling-app-cms,common-java:DuplicatedBlocks,OPEN,,MAJOR,1 duplicated blocks of code must be removed.,,,,20min,2020-12-28T17:00:48+0100,2020-12-28T17:00:48+0100,,,,,,CODE_SMELL,apache
AXZxN8CrMsiankve__Pw,apache_sling-org-apache-sling-app-cms:core/src/main/java/org/apache/sling/cms/core/internal/models/ComponentManagerImpl.java,apache_sling-org-apache-sling-app-cms,java:S3824,OPEN,,MAJOR,"Replace this ""Map.containsKey()"" with a call to ""Map.computeIfAbsent()"".",110,c740d703adfda768445ef9ed041962d1,,10min,2020-12-17T15:46:46+0100,2020-12-17T16:00:11+0100,,110,110,25,57,CODE_SMELL,apache
AXY_SJ0_WDK1xhJrAId0,apache_sling-org-apache-sling-app-cms:reference/src/test/java/org/apache/sling/cms/reference/forms/impl/FormHandlerTest.java,apache_sling-org-apache-sling-app-cms,java:S5785,CLOSED,FIXED,MAJOR,Use assertEquals instead.,,1fcde84ff4f2e6b1f482b88ae684bf54,,,2020-12-07T23:17:31+0100,2021-01-25T16:04:54+0100,,98,98,8,18,CODE_SMELL,apache
AXY_SJyVWDK1xhJrAIdz,apache_sling-org-apache-sling-app-cms:feature/src/main/java/org/apache/sling/cms/feature/Main.java,apache_sling-org-apache-sling-app-cms,java:S106,OPEN,,MAJOR,Replace this use of System.out or System.err by a logger.,27,85b88e9e49ecaab9cec22f4a643c7a50,,10min,2020-12-06T03:48:12+0100,2020-12-07T13:55:43+0100,,27,27,8,18,CODE_SMELL,apache
AXY_SJyVWDK1xhJrAIdy,apache_sling-org-apache-sling-app-cms:feature/src/main/java/org/apache/sling/cms/feature/Main.java,apache_sling-org-apache-sling-app-cms,java:S1130,OPEN,,MINOR,"Remove the declaration of thrown exception 'java.io.IOException', as it cannot be thrown from method's body.",26,592bccc4002cf3dfc6991fcccb0be68e,,5min,2020-07-30T20:17:43+0200,2020-12-07T13:55:43+0100,,26,26,50,61,CODE_SMELL,apache
