key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXc6FFGn1IuZwn2BGi_M,apache_sling-org-apache-sling-app-cms:reference/src/main/java/org/apache/sling/cms/reference/forms/FormConstants.java,apache_sling-org-apache-sling-app-cms,java:S1118,OPEN,,MAJOR,Add a private constructor to hide the implicit public one.,19.0,2586e0ba464edf71695a08f9a989b3f5,,5min,2021-01-25 15:49:43+01:00,2021-01-25 16:04:54+01:00,,19.0,19.0,13.0,26.0,CODE_SMELL,apache,1611586183,1611587094,1.0,0,5
AXc6FFCg1IuZwn2BGi_J,apache_sling-org-apache-sling-app-cms:reference/src/main/java/org/apache/sling/cms/reference/forms/FormUtils.java,apache_sling-org-apache-sling-app-cms,java:S1118,OPEN,,MAJOR,Add a private constructor to hide the implicit public one.,23.0,91ed510eaae2056122e2ef1364bf4095,,5min,2021-01-25 15:49:43+01:00,2021-01-25 16:04:54+01:00,,23.0,23.0,13.0,22.0,CODE_SMELL,apache,1611586183,1611587094,1.0,0,5
AXc6FFEn1IuZwn2BGi_K,apache_sling-org-apache-sling-app-cms:reference/src/main/java/org/apache/sling/cms/reference/forms/impl/actions/DeleteUserGeneratedContentAction.java,apache_sling-org-apache-sling-app-cms,common-java:DuplicatedBlocks,OPEN,,MAJOR,2 duplicated blocks of code must be removed.,,,,30min,2021-01-25 15:49:43+01:00,2021-01-25 16:04:54+01:00,,,,,,CODE_SMELL,apache,1611586183,1611587094,1.0,0,30
AXc6FFFZ1IuZwn2BGi_L,apache_sling-org-apache-sling-app-cms:reference/src/main/java/org/apache/sling/cms/reference/forms/impl/actions/UpdateUserGeneratedContentAction.java,apache_sling-org-apache-sling-app-cms,common-java:DuplicatedBlocks,OPEN,,MAJOR,2 duplicated blocks of code must be removed.,,,,30min,2021-01-25 15:49:43+01:00,2021-01-25 16:04:54+01:00,,,,,,CODE_SMELL,apache,1611586183,1611587094,1.0,0,30
AXaqFTdb9EyRfP0Qz23Q,apache_sling-org-apache-sling-app-cms:reference/src/main/java/org/apache/sling/cms/reference/models/ItemList.java,apache_sling-org-apache-sling-app-cms,common-java:DuplicatedBlocks,OPEN,,MAJOR,1 duplicated blocks of code must be removed.,,,,20min,2020-12-28 17:00:48+01:00,2020-12-28 17:00:48+01:00,,,,,,CODE_SMELL,apache,1609171248,1609171248,0.0,0,20
AXaqFTfM9EyRfP0Qz23R,apache_sling-org-apache-sling-app-cms:reference/src/main/java/org/apache/sling/cms/reference/models/Search.java,apache_sling-org-apache-sling-app-cms,common-java:DuplicatedBlocks,OPEN,,MAJOR,1 duplicated blocks of code must be removed.,,,,20min,2020-12-28 17:00:48+01:00,2020-12-28 17:00:48+01:00,,,,,,CODE_SMELL,apache,1609171248,1609171248,0.0,0,20
AXZxN8CrMsiankve__Pw,apache_sling-org-apache-sling-app-cms:core/src/main/java/org/apache/sling/cms/core/internal/models/ComponentManagerImpl.java,apache_sling-org-apache-sling-app-cms,java:S3824,OPEN,,MAJOR,"Replace this ""Map.containsKey()"" with a call to ""Map.computeIfAbsent()"".",110.0,c740d703adfda768445ef9ed041962d1,,10min,2020-12-17 15:46:46+01:00,2020-12-17 16:00:11+01:00,,110.0,110.0,25.0,57.0,CODE_SMELL,apache,1608216406,1608217211,1.0,0,10
AXY_SJ0_WDK1xhJrAId0,apache_sling-org-apache-sling-app-cms:reference/src/test/java/org/apache/sling/cms/reference/forms/impl/FormHandlerTest.java,apache_sling-org-apache-sling-app-cms,java:S5785,CLOSED,FIXED,MAJOR,Use assertEquals instead.,,1fcde84ff4f2e6b1f482b88ae684bf54,,,2020-12-07 23:17:31+01:00,2021-01-25 16:04:54+01:00,,98.0,98.0,8.0,18.0,CODE_SMELL,apache,1607379451,1611587094,49.0,16,0
AXY_SJyVWDK1xhJrAIdz,apache_sling-org-apache-sling-app-cms:feature/src/main/java/org/apache/sling/cms/feature/Main.java,apache_sling-org-apache-sling-app-cms,java:S106,OPEN,,MAJOR,Replace this use of System.out or System.err by a logger.,27.0,85b88e9e49ecaab9cec22f4a643c7a50,,10min,2020-12-06 03:48:12+01:00,2020-12-07 13:55:43+01:00,,27.0,27.0,8.0,18.0,CODE_SMELL,apache,1607222892,1607345743,2.0,1,10
AXY_SJyVWDK1xhJrAIdy,apache_sling-org-apache-sling-app-cms:feature/src/main/java/org/apache/sling/cms/feature/Main.java,apache_sling-org-apache-sling-app-cms,java:S1130,OPEN,,MINOR,"Remove the declaration of thrown exception 'java.io.IOException', as it cannot be thrown from method's body.",26.0,592bccc4002cf3dfc6991fcccb0be68e,,5min,2020-07-30 20:17:43+02:00,2020-12-07 13:55:43+01:00,,26.0,26.0,50.0,61.0,CODE_SMELL,apache,1596136663,1607345743,130.0,105,5
