key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXWYSRPsjFLZgff0CEcz,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/packaging/impl/SimpleDistributionPackage.java,apache_sling-org-apache-sling-distribution-core,java:S1124,OPEN,,MINOR,Reorder the modifiers to comply with the Java Language Specification.,42,4f5e9c79cf2d2cbeb387611ff60d8768,,2min,2020-11-05T12:38:22+0100,2020-11-05T12:38:22+0100,,42,42,18,24,CODE_SMELL,apache
AXWYSRPsjFLZgff0CEc0,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/packaging/impl/SimpleDistributionPackage.java,apache_sling-org-apache-sling-distribution-core,java:S1124,OPEN,,MINOR,Reorder the modifiers to comply with the Java Language Specification.,44,1128e04f94e5cfe2fcc2e5fcffd093c6,,2min,2020-11-05T12:38:22+0100,2020-11-05T12:38:22+0100,,44,44,18,24,CODE_SMELL,apache
AXWYSRPsjFLZgff0CEc1,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/packaging/impl/SimpleDistributionPackage.java,apache_sling-org-apache-sling-distribution-core,java:S1124,OPEN,,MINOR,Reorder the modifiers to comply with the Java Language Specification.,45,4ce832de240b2a767ad0e32ecd0e85b5,,2min,2020-11-05T12:38:22+0100,2020-11-05T12:38:22+0100,,45,45,18,24,CODE_SMELL,apache
AXKjU2oL6slmDoAKBdGR,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/transport/impl/SimpleHttpDistributionTransport.java,apache_sling-org-apache-sling-distribution-core,java:S1128,OPEN,,MINOR,Remove this unused import 'org.apache.http.entity.BufferedHttpEntity'.,33,4dcd276cdb73819fff6413e4c60733c3,,2min,2020-06-11T14:20:02+0200,2020-06-11T14:20:02+0200,,33,33,0,49,CODE_SMELL,apache
AXKjU2oL6slmDoAKBdGS,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/transport/impl/SimpleHttpDistributionTransport.java,apache_sling-org-apache-sling-distribution-core,java:S1128,OPEN,,MINOR,Remove this unused import 'org.apache.http.entity.InputStreamEntity'.,35,65efba05207a8c4b399d8e3350ea4835,,2min,2020-06-11T14:20:02+0200,2020-06-11T14:20:02+0200,,35,35,0,48,CODE_SMELL,apache
AXHA4pRXkVC5aeEvxl5U,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/agent/impl/PrivilegeDistributionRequestAuthorizationStrategy.java,apache_sling-org-apache-sling-distribution-core,java:S2293,OPEN,,MINOR,"Replace the type specification in this constructor call with the diamond operator (""<>"").",116,e28d46d603aa063607dfb230229549b4,,1min,2020-04-22T11:16:24+0200,2020-04-22T18:07:37+0200,,116,116,55,66,CODE_SMELL,apache
AXF4-CPjaPDFCRVJ8_nh,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/servlet/DistributionPackageImporterServlet.java,apache_sling-org-apache-sling-distribution-core,java:S2629,OPEN,,MAJOR,Invoke method(s) only conditionally.,82,b5fd73b8fe9e38b0a69d7603eff8b763,,5min,2020-04-06T14:11:22+0200,2020-04-07T18:13:15+0200,,82,82,117,144,CODE_SMELL,apache
AW8lKtAtb5dlTs-8SvuY,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/queue/impl/simple/SimpleDistributionQueue.java,apache_sling-org-apache-sling-distribution-core,java:S1602,OPEN,,MINOR,Remove useless curly braces around statement and then remove useless return keyword,212,409851da1eb4d360c97a22db1607d389,,5min,2019-12-20T19:20:49+0100,2019-12-20T21:08:16+0100,,212,212,70,71,CODE_SMELL,apache
AW8lKtCPb5dlTs-8SvuZ,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/queue/impl/simple/SimpleDistributionQueueProcessor.java,apache_sling-org-apache-sling-distribution-core,java:S1611,OPEN,,MINOR,"Remove the parentheses around the ""entry"" parameter",46,3921c9d7d2a35dabaac228f4e34b3ccb,,2min,2019-12-20T19:20:49+0100,2019-12-20T21:08:16+0100,,46,46,16,17,CODE_SMELL,apache
AW8lKtCPb5dlTs-8Svua,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/queue/impl/simple/SimpleDistributionQueueProcessor.java,apache_sling-org-apache-sling-distribution-core,java:S1125,OPEN,,MINOR,"Remove the literal ""false"" boolean value.",56,0d72becc386f146dc70ff1d1c411251f,,5min,2019-12-20T19:20:49+0100,2019-12-20T21:08:16+0100,,56,56,28,33,CODE_SMELL,apache
AW8jVLYCFN2GgBToHgk6,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/queue/impl/PriorityQueueDispatchingStrategy.java,apache_sling-org-apache-sling-distribution-core,java:S2293,OPEN,,MINOR,"Replace the type specification in this constructor call with the diamond operator (""<>"").",51,bf72abcc08c3769e8e6b1bfa94bda8ad,,1min,2019-12-20T13:41:51+0100,2019-12-20T13:41:51+0100,,51,51,100,116,CODE_SMELL,apache
AW8jVLWqFN2GgBToHgk4,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/queue/impl/simple/SimpleDistributionQueueProvider.java,apache_sling-org-apache-sling-distribution-core,java:S3824,OPEN,,MAJOR,"Replace this ""Map.get()"" and condition with a call to ""Map.computeIfAbsent()"".",92,75e828dfe30ad31f90ad7676b07300f9,,10min,2019-12-20T13:41:51+0100,2019-12-20T13:41:51+0100,,92,92,40,57,CODE_SMELL,apache
AW8jVLWqFN2GgBToHgk5,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/queue/impl/simple/SimpleDistributionQueueProvider.java,apache_sling-org-apache-sling-distribution-core,java:S1604,OPEN,,MAJOR,Make this anonymous inner class a lambda,120,c91939aa1544990134f4861e675288e2,,5min,2019-12-20T13:41:51+0100,2019-12-20T13:41:51+0100,,120,120,52,66,CODE_SMELL,apache
