key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXWYSRPsjFLZgff0CEcz,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/packaging/impl/SimpleDistributionPackage.java,apache_sling-org-apache-sling-distribution-core,java:S1124,OPEN,,MINOR,Reorder the modifiers to comply with the Java Language Specification.,42.0,4f5e9c79cf2d2cbeb387611ff60d8768,,2min,2020-11-05 12:38:22+01:00,2020-11-05 12:38:22+01:00,,42.0,42.0,18.0,24.0,CODE_SMELL,apache,1604576302,1604576302,0.0,0,2
AXWYSRPsjFLZgff0CEc0,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/packaging/impl/SimpleDistributionPackage.java,apache_sling-org-apache-sling-distribution-core,java:S1124,OPEN,,MINOR,Reorder the modifiers to comply with the Java Language Specification.,44.0,1128e04f94e5cfe2fcc2e5fcffd093c6,,2min,2020-11-05 12:38:22+01:00,2020-11-05 12:38:22+01:00,,44.0,44.0,18.0,24.0,CODE_SMELL,apache,1604576302,1604576302,0.0,0,2
AXWYSRPsjFLZgff0CEc1,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/packaging/impl/SimpleDistributionPackage.java,apache_sling-org-apache-sling-distribution-core,java:S1124,OPEN,,MINOR,Reorder the modifiers to comply with the Java Language Specification.,45.0,4ce832de240b2a767ad0e32ecd0e85b5,,2min,2020-11-05 12:38:22+01:00,2020-11-05 12:38:22+01:00,,45.0,45.0,18.0,24.0,CODE_SMELL,apache,1604576302,1604576302,0.0,0,2
AXKjU2oL6slmDoAKBdGR,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/transport/impl/SimpleHttpDistributionTransport.java,apache_sling-org-apache-sling-distribution-core,java:S1128,OPEN,,MINOR,Remove this unused import 'org.apache.http.entity.BufferedHttpEntity'.,33.0,4dcd276cdb73819fff6413e4c60733c3,,2min,2020-06-11 14:20:02+02:00,2020-06-11 14:20:02+02:00,,33.0,33.0,0.0,49.0,CODE_SMELL,apache,1591881602,1591881602,0.0,0,2
AXKjU2oL6slmDoAKBdGS,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/transport/impl/SimpleHttpDistributionTransport.java,apache_sling-org-apache-sling-distribution-core,java:S1128,OPEN,,MINOR,Remove this unused import 'org.apache.http.entity.InputStreamEntity'.,35.0,65efba05207a8c4b399d8e3350ea4835,,2min,2020-06-11 14:20:02+02:00,2020-06-11 14:20:02+02:00,,35.0,35.0,0.0,48.0,CODE_SMELL,apache,1591881602,1591881602,0.0,0,2
AXHA4pRXkVC5aeEvxl5U,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/agent/impl/PrivilegeDistributionRequestAuthorizationStrategy.java,apache_sling-org-apache-sling-distribution-core,java:S2293,OPEN,,MINOR,"Replace the type specification in this constructor call with the diamond operator (""<>"").",116.0,e28d46d603aa063607dfb230229549b4,,1min,2020-04-22 11:16:24+02:00,2020-04-22 18:07:37+02:00,,116.0,116.0,55.0,66.0,CODE_SMELL,apache,1587550584,1587575257,1.0,0,1
AXF4-CPjaPDFCRVJ8_nh,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/servlet/DistributionPackageImporterServlet.java,apache_sling-org-apache-sling-distribution-core,java:S2629,OPEN,,MAJOR,Invoke method(s) only conditionally.,82.0,b5fd73b8fe9e38b0a69d7603eff8b763,,5min,2020-04-06 14:11:22+02:00,2020-04-07 18:13:15+02:00,,82.0,82.0,117.0,144.0,CODE_SMELL,apache,1586178682,1586279595,2.0,0,5
AW8lKtAtb5dlTs-8SvuY,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/queue/impl/simple/SimpleDistributionQueue.java,apache_sling-org-apache-sling-distribution-core,java:S1602,OPEN,,MINOR,Remove useless curly braces around statement and then remove useless return keyword,212.0,409851da1eb4d360c97a22db1607d389,,5min,2019-12-20 19:20:49+01:00,2019-12-20 21:08:16+01:00,,212.0,212.0,70.0,71.0,CODE_SMELL,apache,1576866049,1576872496,1.0,0,5
AW8lKtCPb5dlTs-8SvuZ,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/queue/impl/simple/SimpleDistributionQueueProcessor.java,apache_sling-org-apache-sling-distribution-core,java:S1611,OPEN,,MINOR,"Remove the parentheses around the ""entry"" parameter",46.0,3921c9d7d2a35dabaac228f4e34b3ccb,,2min,2019-12-20 19:20:49+01:00,2019-12-20 21:08:16+01:00,,46.0,46.0,16.0,17.0,CODE_SMELL,apache,1576866049,1576872496,1.0,0,2
AW8lKtCPb5dlTs-8Svua,apache_sling-org-apache-sling-distribution-core:src/main/java/org/apache/sling/distribution/queue/impl/simple/SimpleDistributionQueueProcessor.java,apache_sling-org-apache-sling-distribution-core,java:S1125,OPEN,,MINOR,"Remove the literal ""false"" boolean value.",56.0,0d72becc386f146dc70ff1d1c411251f,,5min,2019-12-20 19:20:49+01:00,2019-12-20 21:08:16+01:00,,56.0,56.0,28.0,33.0,CODE_SMELL,apache,1576866049,1576872496,1.0,0,5
