key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXcc-_Si_1kzdpHNALXN,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/servlets/post/PostSendErrorTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,java:S1075,OPEN,,MINOR,Remove this hard-coded path-delimiter.,46,ccc9bc53c5e717cdc5aef96c5dfcce45,,20min,2021-01-20T00:26:58+0100,2021-01-20T00:29:20+0100,,46,46,31,34,CODE_SMELL,apache
AXcc-_Si_1kzdpHNALXO,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/servlets/post/PostSendErrorTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,java:S1075,OPEN,,MINOR,Remove this hard-coded path-delimiter.,63,ccc9bc53c5e717cdc5aef96c5dfcce45,,20min,2021-01-20T00:26:58+0100,2021-01-20T00:29:20+0100,,63,63,31,34,CODE_SMELL,apache
AXcc-_Si_1kzdpHNALXP,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/servlets/post/PostSendErrorTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,java:S125,OPEN,,MAJOR,This block of commented-out lines of code should be removed.,83,905fae58de55e3542ed1ef526341a440,,5min,2021-01-20T00:26:58+0100,2021-01-20T00:29:20+0100,,83,83,6,86,CODE_SMELL,apache
AXcc-_Si_1kzdpHNALXQ,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/servlets/post/PostSendErrorTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,java:S1075,OPEN,,MINOR,Remove this hard-coded path-delimiter.,111,ccc9bc53c5e717cdc5aef96c5dfcce45,,20min,2021-01-20T00:26:58+0100,2021-01-20T00:29:20+0100,,111,111,31,34,CODE_SMELL,apache
AXcc6k1_aVUuIGVocgG9,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/servlets/resolver/errorhandler/ErrorHandlingTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal ""Internal Server Error (500) - custom error page"" 3 times.",121,9821d148f02590993b1b1d5bf9d98167,,8min,2021-01-20T00:07:14+0100,2021-01-20T00:10:04+0100,,121,121,26,75,CODE_SMELL,apache
AXO2-djBuw3EeNfUGn8_,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/accessManager/ModifyAceTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,java:S2293,OPEN,,MINOR,"Replace the type specification in this constructor call with the diamond operator (""<>"").",1363,6f66222d54593b068734fc78611b67f8,,1min,2020-08-04T02:57:00+0200,2020-08-04T02:57:00+0200,,1363,1363,48,63,CODE_SMELL,apache
AXO2-djBuw3EeNfUGn9A,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/accessManager/ModifyAceTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,java:S3252,OPEN,,CRITICAL,"Use static access with ""org.apache.sling.commons.testing.integration.HttpTestBase"" for ""CONTENT_TYPE_JSON"".",1371,3566533c54ecbfb30132957d19eade72,,5min,2020-08-04T02:57:00+0200,2020-08-04T02:57:00+0200,,1371,1371,71,88,CODE_SMELL,apache
AXO2-djBuw3EeNfUGn9C,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/accessManager/ModifyAceTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,java:S2293,OPEN,,MINOR,"Replace the type specification in this constructor call with the diamond operator (""<>"").",1390,6f66222d54593b068734fc78611b67f8,,1min,2020-08-04T02:57:00+0200,2020-08-04T02:57:00+0200,,1390,1390,48,63,CODE_SMELL,apache
AXO2-djBuw3EeNfUGn9D,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/accessManager/ModifyAceTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,java:S3252,OPEN,,CRITICAL,"Use static access with ""org.apache.sling.commons.testing.integration.HttpTestBase"" for ""CONTENT_TYPE_JSON"".",1398,d69af54d7bbe8a33b01442ad3ee045f4,,5min,2020-08-04T02:57:00+0200,2020-08-04T02:57:00+0200,,1398,1398,71,88,CODE_SMELL,apache
AXO2-djJuw3EeNfUGn9E,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/accessManager/RemoveAcesTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,common-java:DuplicatedBlocks,OPEN,,MAJOR,2 duplicated blocks of code must be removed.,,,,30min,2020-08-04T02:57:00+0200,2020-08-04T02:57:00+0200,,,,,,CODE_SMELL,apache
