key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXcc-_Si_1kzdpHNALXN,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/servlets/post/PostSendErrorTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,java:S1075,OPEN,,MINOR,Remove this hard-coded path-delimiter.,46.0,ccc9bc53c5e717cdc5aef96c5dfcce45,,20min,2021-01-20 00:26:58+01:00,2021-01-20 00:29:20+01:00,,46.0,46.0,31.0,34.0,CODE_SMELL,apache,1611098818,1611098960,1.0,0,20
AXcc-_Si_1kzdpHNALXO,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/servlets/post/PostSendErrorTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,java:S1075,OPEN,,MINOR,Remove this hard-coded path-delimiter.,63.0,ccc9bc53c5e717cdc5aef96c5dfcce45,,20min,2021-01-20 00:26:58+01:00,2021-01-20 00:29:20+01:00,,63.0,63.0,31.0,34.0,CODE_SMELL,apache,1611098818,1611098960,1.0,0,20
AXcc-_Si_1kzdpHNALXP,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/servlets/post/PostSendErrorTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,java:S125,OPEN,,MAJOR,This block of commented-out lines of code should be removed.,83.0,905fae58de55e3542ed1ef526341a440,,5min,2021-01-20 00:26:58+01:00,2021-01-20 00:29:20+01:00,,83.0,83.0,6.0,86.0,CODE_SMELL,apache,1611098818,1611098960,1.0,0,5
AXcc-_Si_1kzdpHNALXQ,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/servlets/post/PostSendErrorTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,java:S1075,OPEN,,MINOR,Remove this hard-coded path-delimiter.,111.0,ccc9bc53c5e717cdc5aef96c5dfcce45,,20min,2021-01-20 00:26:58+01:00,2021-01-20 00:29:20+01:00,,111.0,111.0,31.0,34.0,CODE_SMELL,apache,1611098818,1611098960,1.0,0,20
AXcc6k1_aVUuIGVocgG9,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/servlets/resolver/errorhandler/ErrorHandlingTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,java:S1192,OPEN,,CRITICAL,"Define a constant instead of duplicating this literal ""Internal Server Error (500) - custom error page"" 3 times.",121.0,9821d148f02590993b1b1d5bf9d98167,,8min,2021-01-20 00:07:14+01:00,2021-01-20 00:10:04+01:00,,121.0,121.0,26.0,75.0,CODE_SMELL,apache,1611097634,1611097804,1.0,0,8
AXO2-djBuw3EeNfUGn8_,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/accessManager/ModifyAceTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,java:S2293,OPEN,,MINOR,"Replace the type specification in this constructor call with the diamond operator (""<>"").",1363.0,6f66222d54593b068734fc78611b67f8,,1min,2020-08-04 02:57:00+02:00,2020-08-04 02:57:00+02:00,,1363.0,1363.0,48.0,63.0,CODE_SMELL,apache,1596506220,1596506220,0.0,0,1
AXO2-djBuw3EeNfUGn9A,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/accessManager/ModifyAceTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,java:S3252,OPEN,,CRITICAL,"Use static access with ""org.apache.sling.commons.testing.integration.HttpTestBase"" for ""CONTENT_TYPE_JSON"".",1371.0,3566533c54ecbfb30132957d19eade72,,5min,2020-08-04 02:57:00+02:00,2020-08-04 02:57:00+02:00,,1371.0,1371.0,71.0,88.0,CODE_SMELL,apache,1596506220,1596506220,0.0,0,5
AXO2-djBuw3EeNfUGn9C,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/accessManager/ModifyAceTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,java:S2293,OPEN,,MINOR,"Replace the type specification in this constructor call with the diamond operator (""<>"").",1390.0,6f66222d54593b068734fc78611b67f8,,1min,2020-08-04 02:57:00+02:00,2020-08-04 02:57:00+02:00,,1390.0,1390.0,48.0,63.0,CODE_SMELL,apache,1596506220,1596506220,0.0,0,1
AXO2-djBuw3EeNfUGn9D,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/accessManager/ModifyAceTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,java:S3252,OPEN,,CRITICAL,"Use static access with ""org.apache.sling.commons.testing.integration.HttpTestBase"" for ""CONTENT_TYPE_JSON"".",1398.0,d69af54d7bbe8a33b01442ad3ee045f4,,5min,2020-08-04 02:57:00+02:00,2020-08-04 02:57:00+02:00,,1398.0,1398.0,71.0,88.0,CODE_SMELL,apache,1596506220,1596506220,0.0,0,5
AXO2-djJuw3EeNfUGn9E,apache_sling-org-apache-sling-launchpad-integration-tests:src/main/java/org/apache/sling/launchpad/webapp/integrationtest/accessManager/RemoveAcesTest.java,apache_sling-org-apache-sling-launchpad-integration-tests,common-java:DuplicatedBlocks,OPEN,,MAJOR,2 duplicated blocks of code must be removed.,,,,30min,2020-08-04 02:57:00+02:00,2020-08-04 02:57:00+02:00,,,,,,CODE_SMELL,apache,1596506220,1596506220,0.0,0,30
