key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXcVk1d7I7GV5O5Ejn-J,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/mapping/MapEntries.java,apache_sling-org-apache-sling-resourceresolver,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 57 to the 15 allowed.,1067,f5271a4293fdceaeb66c782e773332f6,,47min,2021-01-12T10:34:00+0100,2021-01-18T13:57:44+0100,,1067,1067,20,29,CODE_SMELL,apache
AXY9O93a-JGKSh-jqoGA,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/mapping/MapConfigurationProvider.java,apache_sling-org-apache-sling-resourceresolver,java:S1874,OPEN,,MINOR,"Remove this use of ""Integer""; it is deprecated.",73,bac8f241bb21a395f0d13c901d02ba0f,,15min,2020-12-07T13:44:22+0100,2020-12-07T13:44:22+0100,,73,73,23,30,CODE_SMELL,apache
AXb2AIiH-cThr_oPIwJz,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/ResourceResolverFactoryConfig.java,apache_sling-org-apache-sling-resourceresolver,java:S100,OPEN,,MINOR,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,156,f5340978ad6eb0885bc76a520d72e52b,,5min,2020-11-23T12:55:29+0100,2020-12-02T13:06:33+0100,,156,156,13,54,CODE_SMELL,apache
AXcVk1d7I7GV5O5Ejn94,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/mapping/MapEntries.java,apache_sling-org-apache-sling-resourceresolver,java:S116,OPEN,,MINOR,"Rename this field ""LOGGING_ERROR_PERIOD"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",1407,bfcd58febf2ae8c44ee2c5d2d8889687,,2min,2020-10-19T12:20:11+0200,2021-01-18T13:57:44+0100,,1407,1407,23,43,CODE_SMELL,apache
AXcVk1d7I7GV5O5Ejn95,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/mapping/MapEntries.java,apache_sling-org-apache-sling-resourceresolver,java:S1170,OPEN,,MINOR,Make this final field static too.,1407,bfcd58febf2ae8c44ee2c5d2d8889687,,2min,2020-10-19T12:20:11+0200,2021-01-18T13:57:44+0100,,1407,1407,23,43,CODE_SMELL,apache
AXcVk1d7I7GV5O5Ejn9v,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/mapping/MapEntries.java,apache_sling-org-apache-sling-resourceresolver,java:S2184,OPEN,,MINOR,"Cast one of the operands of this multiplication operation to a ""long"".",1407,bfcd58febf2ae8c44ee2c5d2d8889687,,5min,2020-10-19T12:20:11+0200,2021-01-18T13:57:44+0100,,1407,1407,56,57,BUG,apache
AXcVk1d7I7GV5O5Ejn98,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/mapping/MapEntries.java,apache_sling-org-apache-sling-resourceresolver,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.,272,72775465c77b518b7b3541c67ddea64c,,10min,2020-10-16T15:19:33+0200,2021-01-18T13:57:44+0100,,272,272,20,34,CODE_SMELL,apache
AXcVk1d7I7GV5O5Ejn9x,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/mapping/MapEntries.java,apache_sling-org-apache-sling-resourceresolver,java:S112,OPEN,,MAJOR,Define and throw a dedicated exception instead of using a generic one.,771,0285e6eea6d36962c14bbd7979f5d86a,,20min,2020-09-29T15:23:39+0200,2021-01-18T13:57:44+0100,,771,771,26,42,CODE_SMELL,apache
AXcVk1d7I7GV5O5Ejn-L,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/mapping/MapEntries.java,apache_sling-org-apache-sling-resourceresolver,java:S4276,OPEN,,MINOR,Refactor this code to use the more specialised Functional Interface 'BooleanSupplier',1157,e5bf7e7558413292ec303d6e9ab749d1,,5min,2020-09-29T15:23:39+0200,2021-01-18T13:57:44+0100,,1157,1157,8,25,CODE_SMELL,apache
AXQQ8CWOsslb6JJgMsp1,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/ResourceResolverImpl.java,apache_sling-org-apache-sling-resourceresolver,java:S2589,OPEN,,MAJOR,"Remove this expression which always evaluates to ""true""",818,e626bb7f67d4a8be97a201dc71fa1f7a,,10min,2020-08-21T14:12:10+0200,2020-08-21T14:12:10+0200,,818,818,16,31,CODE_SMELL,apache
