key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXcVk1d7I7GV5O5Ejn-J,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/mapping/MapEntries.java,apache_sling-org-apache-sling-resourceresolver,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 57 to the 15 allowed.,1067.0,f5271a4293fdceaeb66c782e773332f6,,47min,2021-01-12 10:34:00+01:00,2021-01-18 13:57:44+01:00,,1067.0,1067.0,20.0,29.0,CODE_SMELL,apache,1610444040,1610974664,7.0,2,47
AXY9O93a-JGKSh-jqoGA,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/mapping/MapConfigurationProvider.java,apache_sling-org-apache-sling-resourceresolver,java:S1874,OPEN,,MINOR,"Remove this use of ""Integer""; it is deprecated.",73.0,bac8f241bb21a395f0d13c901d02ba0f,,15min,2020-12-07 13:44:22+01:00,2020-12-07 13:44:22+01:00,,73.0,73.0,23.0,30.0,CODE_SMELL,apache,1607345062,1607345062,0.0,0,15
AXb2AIiH-cThr_oPIwJz,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/ResourceResolverFactoryConfig.java,apache_sling-org-apache-sling-resourceresolver,java:S100,OPEN,,MINOR,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,156.0,f5340978ad6eb0885bc76a520d72e52b,,5min,2020-11-23 12:55:29+01:00,2020-12-02 13:06:33+01:00,,156.0,156.0,13.0,54.0,CODE_SMELL,apache,1606132529,1606910793,10.0,0,5
AXcVk1d7I7GV5O5Ejn94,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/mapping/MapEntries.java,apache_sling-org-apache-sling-resourceresolver,java:S116,OPEN,,MINOR,"Rename this field ""LOGGING_ERROR_PERIOD"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",1407.0,bfcd58febf2ae8c44ee2c5d2d8889687,,2min,2020-10-19 12:20:11+02:00,2021-01-18 13:57:44+01:00,,1407.0,1407.0,23.0,43.0,CODE_SMELL,apache,1603106411,1610974664,92.0,3,2
AXcVk1d7I7GV5O5Ejn95,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/mapping/MapEntries.java,apache_sling-org-apache-sling-resourceresolver,java:S1170,OPEN,,MINOR,Make this final field static too.,1407.0,bfcd58febf2ae8c44ee2c5d2d8889687,,2min,2020-10-19 12:20:11+02:00,2021-01-18 13:57:44+01:00,,1407.0,1407.0,23.0,43.0,CODE_SMELL,apache,1603106411,1610974664,92.0,3,2
AXcVk1d7I7GV5O5Ejn9v,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/mapping/MapEntries.java,apache_sling-org-apache-sling-resourceresolver,java:S2184,OPEN,,MINOR,"Cast one of the operands of this multiplication operation to a ""long"".",1407.0,bfcd58febf2ae8c44ee2c5d2d8889687,,5min,2020-10-19 12:20:11+02:00,2021-01-18 13:57:44+01:00,,1407.0,1407.0,56.0,57.0,BUG,apache,1603106411,1610974664,92.0,3,5
AXcVk1d7I7GV5O5Ejn98,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/mapping/MapEntries.java,apache_sling-org-apache-sling-resourceresolver,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.,272.0,72775465c77b518b7b3541c67ddea64c,,10min,2020-10-16 15:19:33+02:00,2021-01-18 13:57:44+01:00,,272.0,272.0,20.0,34.0,CODE_SMELL,apache,1602857973,1610974664,94.0,4,10
AXcVk1d7I7GV5O5Ejn9x,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/mapping/MapEntries.java,apache_sling-org-apache-sling-resourceresolver,java:S112,OPEN,,MAJOR,Define and throw a dedicated exception instead of using a generic one.,771.0,0285e6eea6d36962c14bbd7979f5d86a,,20min,2020-09-29 15:23:39+02:00,2021-01-18 13:57:44+01:00,,771.0,771.0,26.0,42.0,CODE_SMELL,apache,1601389419,1610974664,111.0,5,20
AXcVk1d7I7GV5O5Ejn-L,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/mapping/MapEntries.java,apache_sling-org-apache-sling-resourceresolver,java:S4276,OPEN,,MINOR,Refactor this code to use the more specialised Functional Interface 'BooleanSupplier',1157.0,e5bf7e7558413292ec303d6e9ab749d1,,5min,2020-09-29 15:23:39+02:00,2021-01-18 13:57:44+01:00,,1157.0,1157.0,8.0,25.0,CODE_SMELL,apache,1601389419,1610974664,111.0,5,5
AXQQ8CWOsslb6JJgMsp1,apache_sling-org-apache-sling-resourceresolver:src/main/java/org/apache/sling/resourceresolver/impl/ResourceResolverImpl.java,apache_sling-org-apache-sling-resourceresolver,java:S2589,OPEN,,MAJOR,"Remove this expression which always evaluates to ""true""",818.0,e626bb7f67d4a8be97a201dc71fa1f7a,,10min,2020-08-21 14:12:10+02:00,2020-08-21 14:12:10+02:00,,818.0,818.0,16.0,31.0,CODE_SMELL,apache,1598015530,1598015530,0.0,0,10
