key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXcDB4LTAFokuTyT2NAC,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/PrecompiledJSPRunner.java,apache_sling-org-apache-sling-scripting-jsp,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,46,ae30f2c1e01aba5b00ecf1d921873917,,6min,2021-01-14T23:31:24+0100,2021-01-14T23:31:24+0100,,46,46,12,30,CODE_SMELL,apache
AXcDB4LTAFokuTyT2NAB,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/PrecompiledJSPRunner.java,apache_sling-org-apache-sling-scripting-jsp,java:S2259,OPEN,,MAJOR,"A ""NullPointerException"" could be thrown; ""jsp"" is nullable here.",76,8086a14a9b0f2dd14c50b21072583c38,,10min,2021-01-14T23:31:24+0100,2021-01-14T23:31:24+0100,,76,76,84,96,BUG,apache
AXcDB4K_AFokuTyT2NAA,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/SlingTldLocationsCache.java,apache_sling-org-apache-sling-scripting-jsp,java:S3824,OPEN,,MAJOR,"Replace this ""Map.containsKey()"" with a call to ""Map.computeIfAbsent()"".",135,f903e7808e0c30408f0b490806af41cb,,10min,2021-01-14T23:31:24+0100,2021-01-14T23:31:24+0100,,135,135,40,69,CODE_SMELL,apache
AXcDB3-jAFokuTyT2M_x,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/compiler/ELFunctionMapper.java,apache_sling-org-apache-sling-scripting-jsp,java:S3824,OPEN,,MAJOR,"Replace this ""Map.containsKey()"" with a call to ""Map.computeIfAbsent()"".",157,58dc09b42a2f1e4cd66ccbbf02979fe1,,10min,2021-01-14T23:31:24+0100,2021-01-14T23:31:24+0100,,157,157,26,49,CODE_SMELL,apache
AXcDB3-zAFokuTyT2M_y,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/compiler/ELNode.java,apache_sling-org-apache-sling-scripting-jsp,java:S1610,OPEN,,MINOR,"Convert the abstract class ""ELNode"" into an interface.",34,cb4641fe0420536963ea43b6265d1912,,10min,2021-01-14T23:31:24+0100,2021-01-14T23:31:24+0100,,34,34,15,21,CODE_SMELL,apache
AXcDB3_rAFokuTyT2M_z,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/compiler/JspRuntimeContext.java,apache_sling-org-apache-sling-scripting-jsp,java:S3824,OPEN,,MAJOR,"Replace this ""Map.get()"" and condition with a call to ""Map.computeIfAbsent()"".",257,05a87fd9acb78f4457a5d328079978f5,,10min,2021-01-14T23:31:24+0100,2021-01-14T23:31:24+0100,,257,257,38,55,CODE_SMELL,apache
AXcDB36IAFokuTyT2M_v,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/compiler/PageInfo.java,apache_sling-org-apache-sling-scripting-jsp,java:S3824,OPEN,,MAJOR,"Replace this ""Map.get()"" and condition with a call to ""Map.computeIfAbsent()"".",321,4ea6cceaa509ea4e5015f112fe348bfe,,10min,2021-01-14T23:31:24+0100,2021-01-14T23:31:24+0100,,321,321,40,67,CODE_SMELL,apache
AXcDB380AFokuTyT2M_w,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/compiler/SmapUtil.java,apache_sling-org-apache-sling-scripting-jsp,java:S3824,OPEN,,MAJOR,"Replace this ""Map.containsKey()"" with a call to ""Map.computeIfAbsent()"".",759,a8d0e9f4f143701f400ee998534af3b8,,10min,2021-01-14T23:31:24+0100,2021-01-14T23:31:24+0100,,759,759,34,56,CODE_SMELL,apache
AXcDB4BxAFokuTyT2M__,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/runtime/JspWriterImpl.java,apache_sling-org-apache-sling-scripting-jsp,java:S1604,OPEN,,MAJOR,Make this anonymous inner class a lambda,131,e4aab5b5f90673311fc89e4c0147c47c,,5min,2021-01-14T23:31:24+0100,2021-01-14T23:31:24+0100,,131,131,61,77,CODE_SMELL,apache
AXcDB4BZAFokuTyT2M_2,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/runtime/PageContextImpl.java,apache_sling-org-apache-sling-scripting-jsp,java:S1604,OPEN,,MAJOR,Make this anonymous inner class a lambda,220,668b069c3aa08bb85c4c447c6d6160b1,,5min,2021-01-14T23:31:24+0100,2021-01-14T23:31:24+0100,,220,220,44,60,CODE_SMELL,apache
AXcDB4BZAFokuTyT2M_3,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/runtime/PageContextImpl.java,apache_sling-org-apache-sling-scripting-jsp,java:S1604,OPEN,,MAJOR,Make this anonymous inner class a lambda,243,668b069c3aa08bb85c4c447c6d6160b1,,5min,2021-01-14T23:31:24+0100,2021-01-14T23:31:24+0100,,243,243,44,60,CODE_SMELL,apache
AXcDB4BZAFokuTyT2M_4,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/runtime/PageContextImpl.java,apache_sling-org-apache-sling-scripting-jsp,java:S1604,OPEN,,MAJOR,Make this anonymous inner class a lambda,285,dfc789dafa3da31da6603cdf1957a83e,,5min,2021-01-14T23:31:24+0100,2021-01-14T23:31:24+0100,,285,285,37,53,CODE_SMELL,apache
AXcDB4BZAFokuTyT2M_5,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/runtime/PageContextImpl.java,apache_sling-org-apache-sling-scripting-jsp,java:S1604,OPEN,,MAJOR,Make this anonymous inner class a lambda,312,dfc789dafa3da31da6603cdf1957a83e,,5min,2021-01-14T23:31:24+0100,2021-01-14T23:31:24+0100,,312,312,37,53,CODE_SMELL,apache
AXcDB4BZAFokuTyT2M_6,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/runtime/PageContextImpl.java,apache_sling-org-apache-sling-scripting-jsp,java:S1604,OPEN,,MAJOR,Make this anonymous inner class a lambda,362,dfc789dafa3da31da6603cdf1957a83e,,5min,2021-01-14T23:31:24+0100,2021-01-14T23:31:24+0100,,362,362,37,53,CODE_SMELL,apache
AXcDB4BZAFokuTyT2M_7,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/runtime/PageContextImpl.java,apache_sling-org-apache-sling-scripting-jsp,java:S1604,OPEN,,MAJOR,Make this anonymous inner class a lambda,409,f9a6d6d2e748763356e0cc183c43754b,,5min,2021-01-14T23:31:24+0100,2021-01-14T23:31:24+0100,,409,409,23,39,CODE_SMELL,apache
