key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization,creation_date_timestamp,update_date_timestamp,survived_days,survived commits,effort_mins
AXcDB4LTAFokuTyT2NAC,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/PrecompiledJSPRunner.java,apache_sling-org-apache-sling-scripting-jsp,java:S3776,OPEN,,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,46.0,ae30f2c1e01aba5b00ecf1d921873917,,6min,2021-01-14 23:31:24+01:00,2021-01-14 23:31:24+01:00,,46.0,46.0,12.0,30.0,CODE_SMELL,apache,1610663484,1610663484,0.0,0,6
AXcDB4LTAFokuTyT2NAB,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/PrecompiledJSPRunner.java,apache_sling-org-apache-sling-scripting-jsp,java:S2259,OPEN,,MAJOR,"A ""NullPointerException"" could be thrown; ""jsp"" is nullable here.",76.0,8086a14a9b0f2dd14c50b21072583c38,,10min,2021-01-14 23:31:24+01:00,2021-01-14 23:31:24+01:00,,76.0,76.0,84.0,96.0,BUG,apache,1610663484,1610663484,0.0,0,10
AXcDB4K_AFokuTyT2NAA,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/SlingTldLocationsCache.java,apache_sling-org-apache-sling-scripting-jsp,java:S3824,OPEN,,MAJOR,"Replace this ""Map.containsKey()"" with a call to ""Map.computeIfAbsent()"".",135.0,f903e7808e0c30408f0b490806af41cb,,10min,2021-01-14 23:31:24+01:00,2021-01-14 23:31:24+01:00,,135.0,135.0,40.0,69.0,CODE_SMELL,apache,1610663484,1610663484,0.0,0,10
AXcDB3-jAFokuTyT2M_x,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/compiler/ELFunctionMapper.java,apache_sling-org-apache-sling-scripting-jsp,java:S3824,OPEN,,MAJOR,"Replace this ""Map.containsKey()"" with a call to ""Map.computeIfAbsent()"".",157.0,58dc09b42a2f1e4cd66ccbbf02979fe1,,10min,2021-01-14 23:31:24+01:00,2021-01-14 23:31:24+01:00,,157.0,157.0,26.0,49.0,CODE_SMELL,apache,1610663484,1610663484,0.0,0,10
AXcDB3-zAFokuTyT2M_y,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/compiler/ELNode.java,apache_sling-org-apache-sling-scripting-jsp,java:S1610,OPEN,,MINOR,"Convert the abstract class ""ELNode"" into an interface.",34.0,cb4641fe0420536963ea43b6265d1912,,10min,2021-01-14 23:31:24+01:00,2021-01-14 23:31:24+01:00,,34.0,34.0,15.0,21.0,CODE_SMELL,apache,1610663484,1610663484,0.0,0,10
AXcDB3_rAFokuTyT2M_z,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/compiler/JspRuntimeContext.java,apache_sling-org-apache-sling-scripting-jsp,java:S3824,OPEN,,MAJOR,"Replace this ""Map.get()"" and condition with a call to ""Map.computeIfAbsent()"".",257.0,05a87fd9acb78f4457a5d328079978f5,,10min,2021-01-14 23:31:24+01:00,2021-01-14 23:31:24+01:00,,257.0,257.0,38.0,55.0,CODE_SMELL,apache,1610663484,1610663484,0.0,0,10
AXcDB36IAFokuTyT2M_v,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/compiler/PageInfo.java,apache_sling-org-apache-sling-scripting-jsp,java:S3824,OPEN,,MAJOR,"Replace this ""Map.get()"" and condition with a call to ""Map.computeIfAbsent()"".",321.0,4ea6cceaa509ea4e5015f112fe348bfe,,10min,2021-01-14 23:31:24+01:00,2021-01-14 23:31:24+01:00,,321.0,321.0,40.0,67.0,CODE_SMELL,apache,1610663484,1610663484,0.0,0,10
AXcDB380AFokuTyT2M_w,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/compiler/SmapUtil.java,apache_sling-org-apache-sling-scripting-jsp,java:S3824,OPEN,,MAJOR,"Replace this ""Map.containsKey()"" with a call to ""Map.computeIfAbsent()"".",759.0,a8d0e9f4f143701f400ee998534af3b8,,10min,2021-01-14 23:31:24+01:00,2021-01-14 23:31:24+01:00,,759.0,759.0,34.0,56.0,CODE_SMELL,apache,1610663484,1610663484,0.0,0,10
AXcDB4BxAFokuTyT2M__,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/runtime/JspWriterImpl.java,apache_sling-org-apache-sling-scripting-jsp,java:S1604,OPEN,,MAJOR,Make this anonymous inner class a lambda,131.0,e4aab5b5f90673311fc89e4c0147c47c,,5min,2021-01-14 23:31:24+01:00,2021-01-14 23:31:24+01:00,,131.0,131.0,61.0,77.0,CODE_SMELL,apache,1610663484,1610663484,0.0,0,5
AXcDB4BZAFokuTyT2M_2,apache_sling-org-apache-sling-scripting-jsp:src/main/java/org/apache/sling/scripting/jsp/jasper/runtime/PageContextImpl.java,apache_sling-org-apache-sling-scripting-jsp,java:S1604,OPEN,,MAJOR,Make this anonymous inner class a lambda,220.0,668b069c3aa08bb85c4c447c6d6160b1,,5min,2021-01-14 23:31:24+01:00,2021-01-14 23:31:24+01:00,,220.0,220.0,44.0,60.0,CODE_SMELL,apache,1610663484,1610663484,0.0,0,5
