key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXdOu8VPMzpneQ-0sG-p,apache_struts:plugins/config-browser/src/main/java/org/apache/struts2/config_browser/ShowBeansAction.java,apache_struts,java:S1117,OPEN,,MAJOR,"Rename ""bindings"" which hides the field declared at line 46.",68,7337eb706e3d699d13d7ab4ae3452fa9,,5min,2021-01-29T16:16:31+0100,2021-01-29T16:16:31+0100,,68,68,21,29,CODE_SMELL,apache
AXbwd6i_cVuveqdRQAw0,apache_struts:apps/showcase/src/main/java/org/apache/struts2/showcase/application/TestDataProvider.java,apache_struts,java:S1874,CLOSED,FIXED,MINOR,"Remove this use of ""Long""; it is deprecated.",,d8f09a39226ecaded1a1f0c07631e48d,,15min,2021-01-11T08:57:39+0100,2021-01-23T18:25:45+0100,,69,69,20,24,CODE_SMELL,apache
AXbwd6i_cVuveqdRQAw1,apache_struts:apps/showcase/src/main/java/org/apache/struts2/showcase/application/TestDataProvider.java,apache_struts,java:S1874,CLOSED,FIXED,MINOR,"Remove this use of ""Float""; it is deprecated.",,d8f09a39226ecaded1a1f0c07631e48d,,15min,2021-01-11T08:57:39+0100,2021-01-23T18:25:45+0100,,69,69,65,70,CODE_SMELL,apache
AXbwd6i_cVuveqdRQAwy,apache_struts:apps/showcase/src/main/java/org/apache/struts2/showcase/application/TestDataProvider.java,apache_struts,java:S1874,CLOSED,FIXED,MINOR,"Remove this use of ""Long""; it is deprecated.",,1e60f7933993e53c4a34a26774d4b595,,15min,2021-01-11T08:57:39+0100,2021-01-23T18:25:45+0100,,67,67,20,24,CODE_SMELL,apache
AXbwd6i_cVuveqdRQAwz,apache_struts:apps/showcase/src/main/java/org/apache/struts2/showcase/application/TestDataProvider.java,apache_struts,java:S1874,CLOSED,FIXED,MINOR,"Remove this use of ""Float""; it is deprecated.",,1e60f7933993e53c4a34a26774d4b595,,15min,2021-01-11T08:57:39+0100,2021-01-23T18:25:45+0100,,67,67,64,69,CODE_SMELL,apache
AXbwd6iWcVuveqdRQAwt,apache_struts:apps/showcase/src/main/java/org/apache/struts2/showcase/hangman/Vocab.java,apache_struts,java:S1874,CLOSED,FIXED,MINOR,"Remove this use of ""Character""; it is deprecated.",,00ecee4c83919ce4b704358c81e5e653,,15min,2021-01-11T08:57:39+0100,2021-01-23T18:25:45+0100,,79,79,16,25,CODE_SMELL,apache
AXbwd6iWcVuveqdRQAwu,apache_struts:apps/showcase/src/main/java/org/apache/struts2/showcase/hangman/Vocab.java,apache_struts,java:S1874,CLOSED,FIXED,MINOR,"Remove this use of ""Character""; it is deprecated.",,01f9d9bd87e11c6f680aa1bf4a8d4a33,,15min,2021-01-11T08:57:39+0100,2021-01-23T18:25:45+0100,,80,80,16,25,CODE_SMELL,apache
AXbwd6iWcVuveqdRQAwv,apache_struts:apps/showcase/src/main/java/org/apache/struts2/showcase/hangman/Vocab.java,apache_struts,java:S1874,CLOSED,FIXED,MINOR,"Remove this use of ""Character""; it is deprecated.",,1ff2b7029a0b4c954fd9031c88d29fcd,,15min,2021-01-11T08:57:39+0100,2021-01-23T18:25:45+0100,,83,83,16,25,CODE_SMELL,apache
AXbwd6iWcVuveqdRQAww,apache_struts:apps/showcase/src/main/java/org/apache/struts2/showcase/hangman/Vocab.java,apache_struts,java:S1874,CLOSED,FIXED,MINOR,"Remove this use of ""Character""; it is deprecated.",,04c32b0f50ddb6569bba75b1fda062da,,15min,2021-01-11T08:57:39+0100,2021-01-23T18:25:45+0100,,84,84,16,25,CODE_SMELL,apache
AXbwd6iWcVuveqdRQAwx,apache_struts:apps/showcase/src/main/java/org/apache/struts2/showcase/hangman/Vocab.java,apache_struts,java:S1874,CLOSED,FIXED,MINOR,"Remove this use of ""Character""; it is deprecated.",,545a36e0d5b624116a696be5fc5d023e,,15min,2021-01-11T08:57:39+0100,2021-01-23T18:25:45+0100,,85,85,16,25,CODE_SMELL,apache
AXbwd6lpcVuveqdRQAw2,apache_struts:apps/showcase/src/main/java/org/apache/struts2/showcase/person/PersonManager.java,apache_struts,java:S1874,CLOSED,FIXED,MINOR,"Remove this use of ""Long""; it is deprecated.",,e37ff6a8b7f15efe4a289e26d67c099b,,15min,2021-01-11T08:57:39+0100,2021-01-23T18:25:45+0100,,35,35,29,33,CODE_SMELL,apache
